experiment,method,label,sample_episodes,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample,actor_class,fit_steps,direction_method,variant,source_n,target_n
P-E,SA,mc_raw,32,False,direction_steps,100.0,0.0,4,100.0,100.0,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,32,False,q_bound,5.0,0.0,4,5.0,5.0,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,32,False,q_coefficient_0,0.31646261175110946,0.34652466091551665,4,0.03885042955579139,0.5940747939464275,training_seed_or_data_batch,True,,,,,,
P-E,SA,mc_raw,32,False,q_coefficient_1,0.5208165530864125,0.16440525897739997,4,0.3836770231568301,0.657956083015995,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,128,False,source_steps_total,628.0,0.0,4,628.0,628.0,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,128,False,source_steps_training,128.0,0.0,4,128.0,128.0,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,128,False,source_steps_validation,500.0,0.0,4,500.0,500.0,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,128,False,direction_error,0.04091276778259947,0.043207173281909636,4,0.007696330721919778,0.08210999728271934,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,128,False,direction_norm,0.12750679677869162,0.11712053549336701,4,0.04849227499986247,0.2412204415525356,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,128,False,exact_score,0.02561523221740044,0.04320717328190965,4,-0.015581997282719449,0.058831669278080145,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,128,False,validation_score,0.04693278109887693,0.026668723914704692,4,0.024752403832291395,0.07127582452665397,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,128,False,validation_score_variance,0.7017186166503593,0.5038672811897842,4,0.3321439279845689,1.1986663989657957,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,128,False,validation_gradient_trace_variance,4.017803968033823,0.8985908437972092,4,3.2476978257862825,4.846536146208981,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,128,False,fixed_oracle_q_score_variance,0.33883406163827007,0.08230050243666427,4,0.27086892636352267,0.4067991969130175,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,128,False,fixed_oracle_q_gradient_trace_variance,3.949914529257927,0.8811029095125714,4,3.1984792691048565,4.786487205893671,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,128,False,curvature_min,0.84,0.0,4,0.84,0.84,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,128,False,curvature_max,0.8400000000000001,0.0,4,0.8400000000000001,0.8400000000000001,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,128,False,optimization_seconds,0.008875350002199411,0.000341945879767625,4,0.00863844994455576,0.009183374932035804,training_seed_or_data_batch,True,,,,,,
P-E,AN,exact_advantage,128,False,direction_loss,-0.12745335347791742,0.11670039730768593,4,-0.24047545523969965,-0.04908554939110514,training_seed_or_data_batch,True,,,,,,
