condition,metric,planned_runs,failed_or_interrupted,statistics_scope,count,mean,std,ci_low,ci_high
fit_quarter,decline_fraction,10,0,completed_runs_only,10,0.0,0.0,0.0,0.0
fit_quarter,candidate_count,10,0,completed_runs_only,10,73.2,1.3165611772087666,72.4,74.0
fit_quarter,mean_fit_kl,10,0,completed_runs_only,10,0.00017136804755759355,1.9628663353491216e-05,0.0001592341739774328,0.00018215870536541313
fit_quarter,optimizer_updates,10,0,completed_runs_only,10,37068.8,585.6378858418684,36710.4,37388.8
fit_quarter,reached_1_95,10,0,completed_runs_only,10,1.0,0.0,1.0,1.0
fit_quarter,episodes_to_1_95,10,0,completed_threshold_reachers_only,10,68812.8,4548.834986382044,66150.4,71680.0
fit_quarter,reached_1_96,10,0,completed_runs_only,10,1.0,0.0,1.0,1.0
fit_quarter,episodes_to_1_96,10,0,completed_threshold_reachers_only,10,71475.2,4773.787985796324,68608.0,74342.4
fit_quarter,direction_check_rejections,10,0,completed_runs_only,10,0.0,0.0,0.0,0.0
fit_quarter,return_check_false_rejections,10,0,completed_runs_only,10,3.1,1.3703203194062978,2.3,3.9
fit_quarter,direction_check_episodes,10,0,completed_runs_only,10,55398.4,1483.9169788097986,54476.8,56217.6
fit_quarter,return_old_episodes,10,0,completed_runs_only,10,74956.8,1348.158645461777,74137.6,75776.0
fit_quarter,return_candidate_episodes,10,0,completed_runs_only,10,74956.8,1348.158645461777,74137.6,75776.0
