condition,seed,status,run_dir,seconds,source_episodes,budget,unused_budget,rounds,stop_reason,initial_return,final_return,budget_normalized_auc,accepted_updates,declining_updates,decline_fraction,total_decline,candidate_count,return_check_rejections,mean_fit_kl,reached_1_95,episodes_to_1_95,reached_1_96,episodes_to_1_96,return_check_false_rejections,direction_check_rejections,direction_train_episodes,pg_train_episodes,critic_episodes,direction_check_episodes,return_old_episodes,return_candidate_episodes,optimizer_updates
pg,107,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\pg\seed_107,66.52793570002541,262144,262144,0,256,source_budget,0.38376000000000043,1.9612919019201274,1.8714374900542872,256,0,0.0,-0.0,0,0,,True,57344,True,166912,0,0,0,262144,0,0,0,0,256
pg,108,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\pg\seed_108,66.80328499991447,262144,262144,0,256,source_budget,0.38376000000000016,1.9613416835469033,1.868294788356189,256,0,0.0,-0.0,0,0,,True,57344,True,163840,0,0,0,262144,0,0,0,0,256
pg,109,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\pg\seed_109,67.62579210009426,262144,262144,0,256,source_budget,0.3837599999999999,1.9615158963447277,1.8751834263867453,256,0,0.0,-0.0,0,0,,True,53248,True,148480,0,0,0,262144,0,0,0,0,256
no_direction_check,100,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_direction_check\seed_100,217.9489410002716,262144,262144,0,68,source_budget,0.3837600000000004,1.9626655998873694,1.8389777657949262,57,0,0.0,-0.0,94,37,0.00018282186535202764,True,49152,True,52224,2,0,69632,0,0,0,96256,96256,82944
no_direction_check,101,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_direction_check\seed_101,205.73974280012771,261120,262144,1024,69,source_budget,0.3837599999999998,1.9626655998858593,1.8399648602959575,56,0,0.0,-0.0,93,37,0.0001920586544580649,True,49152,True,54272,1,0,70656,0,0,0,95232,95232,82944
no_direction_check,102,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_direction_check\seed_102,205.52170570008457,260096,262144,2048,66,source_budget,0.3837600000000004,1.9626655998781035,1.839814875082151,55,0,0.0,-0.0,94,39,0.00017555457246122265,True,49152,True,52224,3,0,67584,0,0,0,96256,96256,81920
no_direction_check,103,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_direction_check\seed_103,214.05699880002066,261120,262144,1024,67,source_budget,0.38375999999999993,1.9626655998719424,1.8440082332655499,54,0,0.0,-0.0,94,40,0.0001771549689099158,True,46080,True,49152,1,0,68608,0,0,0,96256,96256,82432
no_direction_check,104,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_direction_check\seed_104,204.62231120001525,261120,262144,1024,71,source_budget,0.3837599999999998,1.962665599908041,1.8428257595614808,64,0,0.0,-0.0,92,28,0.00021255814243060394,True,61440,True,61440,4,0,72704,0,0,0,94208,94208,83456
no_direction_check,105,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_direction_check\seed_105,213.15685229981318,262144,262144,0,66,source_budget,0.38375999999999993,1.962665599856303,1.8415824816596313,47,0,0.0,-0.0,95,48,0.00017103517309358067,True,49152,True,57344,3,0,67584,0,0,0,97280,97280,82432
no_direction_check,106,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_direction_check\seed_106,198.7420363998972,261120,262144,1024,69,source_budget,0.38376000000000016,1.9626655998932,1.84173125365563,61,0,0.0,-0.0,93,32,0.00019579235736698081,True,51200,True,54272,1,0,70656,0,0,0,95232,95232,82944
no_direction_check,107,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_direction_check\seed_107,215.18733670003712,260096,262144,2048,68,source_budget,0.38376000000000043,1.9626655998859057,1.842452819385684,56,0,0.0,-0.0,93,37,0.00018647660571404883,True,49152,True,52224,2,0,69632,0,0,0,95232,95232,82432
no_direction_check,108,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_direction_check\seed_108,211.31599770020694,262144,262144,0,70,source_budget,0.38376000000000016,1.9626655998933011,1.8432544128793193,56,0,0.0,-0.0,93,37,0.00020779738465629956,True,49152,True,49152,7,0,71680,0,0,0,95232,95232,83456
no_direction_check,109,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_direction_check\seed_109,202.63957859994844,260096,262144,2048,64,source_budget,0.3837599999999999,1.9626655998378928,1.841222373246458,47,0,0.0,-0.0,95,48,0.00015173281053428784,True,54272,True,57344,3,0,65536,0,0,0,97280,97280,81408
no_return_check,100,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_return_check\seed_100,328.8329182001762,262144,262144,0,128,source_budget,0.3837600000000004,1.9626655999671634,1.8817258943220447,128,0,0.0,-0.0,128,0,0.0003283602995226025,True,32768,True,34816,0,0,131072,0,0,131072,0,0,131072
no_return_check,101,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_return_check\seed_101,332.1214447999373,262144,262144,0,128,source_budget,0.3837599999999998,1.9626655999661942,1.8819838614389042,128,0,0.0,-0.0,128,0,0.0003310813250149212,True,32768,True,34816,0,0,131072,0,0,131072,0,0,131072
no_return_check,102,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_return_check\seed_102,331.6884892000817,262144,262144,0,128,source_budget,0.3837600000000004,1.9626655999651301,1.8822265585479423,128,0,0.0,-0.0,128,0,0.0003301530724064207,True,32768,True,32768,0,0,131072,0,0,131072,0,0,131072
no_return_check,103,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_return_check\seed_103,335.2797558000311,262144,262144,0,128,source_budget,0.38375999999999993,1.9626655999670932,1.882779100894186,128,0,0.0,-0.0,128,0,0.00033447475779722354,True,32768,True,32768,0,0,131072,0,0,131072,0,0,131072
no_return_check,104,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_return_check\seed_104,333.7341784001328,262144,262144,0,128,source_budget,0.3837599999999998,1.962665599967176,1.8834847031592246,128,0,0.0,-0.0,128,0,0.0003348161811463582,True,32768,True,34816,0,0,131072,0,0,131072,0,0,131072
no_return_check,105,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_return_check\seed_105,332.92647150019184,262144,262144,0,128,source_budget,0.38375999999999993,1.9626655999664315,1.8805951029259707,128,0,0.0,-0.0,128,0,0.00033374048781065213,True,32768,True,34816,0,0,131072,0,0,131072,0,0,131072
no_return_check,106,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_return_check\seed_106,331.28699340019375,262144,262144,0,128,source_budget,0.38376000000000016,1.9626655999666218,1.8828060375954212,128,0,0.0,-0.0,128,0,0.0003325311935902743,True,32768,True,32768,0,0,131072,0,0,131072,0,0,131072
no_return_check,107,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_return_check\seed_107,330.6081087999046,262144,262144,0,128,source_budget,0.38376000000000043,1.9626655999670204,1.881666104827102,128,0,0.0,-0.0,128,0,0.00032687260124080955,True,32768,True,34816,0,0,131072,0,0,131072,0,0,131072
no_return_check,108,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_return_check\seed_108,333.4425989999436,262144,262144,0,128,source_budget,0.38376000000000016,1.9626655999661302,1.8825213079046481,128,0,0.0,-0.0,128,0,0.00033581248185340505,True,32768,True,32768,0,0,131072,0,0,131072,0,0,131072
no_return_check,109,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\no_return_check\seed_109,333.58625210030004,262144,262144,0,128,source_budget,0.3837599999999999,1.9626655999656335,1.8824448887670329,128,0,0.0,-0.0,128,0,0.00033754673940984546,True,32768,True,34816,0,0,131072,0,0,131072,0,0,131072
fit_quarter,100,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\fit_quarter\seed_100,118.02048319997266,260096,262144,2048,52,source_budget,0.3837600000000004,1.9626655991422428,1.800193993036583,42,0,0.0,-0.0,75,33,0.00014129506220309293,True,67584,True,71680,3,0,53248,0,0,53248,76800,76800,36224
fit_quarter,101,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\fit_quarter\seed_101,109.04774149972945,260096,262144,2048,52,source_budget,0.3837599999999998,1.9626655990756374,1.79681655119485,41,0,0.0,-0.0,75,34,0.00014010661158084774,True,77824,True,77824,5,0,53248,0,0,53248,76800,76800,36224
fit_quarter,102,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\fit_quarter\seed_102,112.6357455002144,260096,262144,2048,56,source_budget,0.3837600000000004,1.9626655994294664,1.8015036032454592,50,0,0.0,-0.0,71,21,0.00019738628382252228,True,71680,True,75776,5,0,57344,0,0,57344,72704,72704,37760
fit_quarter,103,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\fit_quarter\seed_103,121.21119310008362,260096,262144,2048,55,source_budget,0.38375999999999993,1.962665599376919,1.8009051449638145,48,0,0.0,-0.0,72,24,0.000181354816515993,True,71680,True,71680,2,0,56320,0,0,56320,73728,73728,37376
fit_quarter,104,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\fit_quarter\seed_104,112.96960680000484,262144,262144,0,55,source_budget,0.3837599999999998,1.9626655993631619,1.8017557996035332,46,0,0.0,-0.0,73,27,0.00018441586366954986,True,67584,True,71680,2,0,56320,0,0,56320,74752,74752,37504
fit_quarter,105,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\fit_quarter\seed_105,109.75628839991987,260096,262144,2048,53,source_budget,0.38375999999999993,1.9626655991874589,1.8019188045286032,42,0,0.0,-0.0,74,32,0.00016019827460379485,True,65536,True,65536,2,0,54272,0,0,54272,75776,75776,36608
fit_quarter,106,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\fit_quarter\seed_106,118.5312707000412,262144,262144,0,55,source_budget,0.38376000000000016,1.9626655993424338,1.806287957604729,46,0,0.0,-0.0,73,27,0.0001856929286353442,True,61440,True,65536,4,0,56320,0,0,56320,74752,74752,37504
fit_quarter,107,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\fit_quarter\seed_107,115.79870899999514,260096,262144,2048,55,source_budget,0.38376000000000043,1.9626655994202047,1.8000089124350644,50,0,0.0,-0.0,72,22,0.00018317851263356148,True,71680,True,77824,3,0,56320,0,0,56320,73728,73728,37376
fit_quarter,108,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\fit_quarter\seed_108,112.43974869977683,262144,262144,0,55,source_budget,0.38376000000000016,1.9626655993762094,1.805854184403266,47,0,0.0,-0.0,73,26,0.00017913411598846686,True,67584,True,71680,1,0,56320,0,0,56320,74752,74752,37504
fit_quarter,109,complete,D:\manifold\manifold\manifold_project\experiments\pair_coordination\results\suite_20260917_213155_279796\training\fit_quarter\seed_109,114.92778160003945,260096,262144,2048,53,source_budget,0.3837599999999999,1.9626655991922188,1.8034144956201066,42,0,0.0,-0.0,74,32,0.00016091800592276225,True,65536,True,65536,4,0,54272,0,0,54272,75776,75776,36608
