condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
fit_quarter,106,26214,24576,6,1.266121086763592
fit_quarter,106,39321,36864,9,1.6309104001673336
fit_quarter,106,52428,49152,12,1.8513290819041965
fit_quarter,106,65536,65536,16,1.9625401298874436
fit_quarter,106,78643,77824,18,1.9625401298874436
fit_quarter,106,91750,88064,20,1.9626655615354194
fit_quarter,106,104857,102400,23,1.9626655944578884
fit_quarter,106,117964,112640,25,1.9626655959187507
fit_quarter,106,131072,129024,28,1.9626655967620519
fit_quarter,106,144179,141312,31,1.9626655979658296
fit_quarter,106,157286,155648,34,1.9626655984576227
fit_quarter,106,170393,169984,37,1.9626655987540287
fit_quarter,106,183500,178176,39,1.9626655989206965
fit_quarter,106,196608,196608,42,1.9626655990242319
fit_quarter,106,209715,208896,45,1.9626655991752413
fit_quarter,106,222822,221184,47,1.9626655991752413
fit_quarter,106,235929,233472,50,1.9626655992831432
fit_quarter,106,249036,245760,52,1.9626655992981465
fit_quarter,106,262144,262144,55,1.9626655993424338
fit_quarter,107,0,0,0,0.38376000000000043
fit_quarter,107,13107,12288,3,0.7878775983209058
fit_quarter,107,26214,24576,6,1.248198461981963
fit_quarter,107,39321,36864,9,1.615364391961287
fit_quarter,107,52428,49152,12,1.8378142659467194
fit_quarter,107,65536,63488,15,1.9177013405751215
fit_quarter,107,78643,77824,18,1.962625046717848
fit_quarter,107,91750,90112,21,1.9626655913531719
fit_quarter,107,104857,100352,23,1.9626655943917897
fit_quarter,107,117964,116736,26,1.9626655963718094
fit_quarter,107,131072,129024,29,1.9626655978527305
fit_quarter,107,144179,143360,32,1.9626655984162547
fit_quarter,107,157286,155648,34,1.962665598561337
fit_quarter,107,170393,169984,37,1.9626655987843509
fit_quarter,107,183500,182272,40,1.962665599015434
fit_quarter,107,196608,194560,43,1.9626655991706399
fit_quarter,107,209715,208896,46,1.9626655992730018
fit_quarter,107,222822,219136,48,1.962665599323066
fit_quarter,107,235929,235520,51,1.962665599382042
fit_quarter,107,249036,247808,53,1.9626655994091304
fit_quarter,107,262144,260096,55,1.9626655994202047
fit_quarter,108,0,0,0,0.38376000000000016
fit_quarter,108,13107,12288,3,0.7977084787884825
fit_quarter,108,26214,24576,6,1.2664787749829183
fit_quarter,108,39321,36864,9,1.640589758756456
fit_quarter,108,52428,49152,12,1.8502109976453325
fit_quarter,108,65536,61440,15,1.9485197785342248
fit_quarter,108,78643,75776,18,1.962665332809161
fit_quarter,108,91750,90112,21,1.9626655936656312
fit_quarter,108,104857,104448,24,1.962665596463904
fit_quarter,108,117964,114688,26,1.9626655971503428
fit_quarter,108,131072,129024,29,1.96266559805477
fit_quarter,108,144179,143360,32,1.9626655985249462
fit_quarter,108,157286,155648,34,1.9626655985249462
fit_quarter,108,170393,169984,37,1.96266559881025
fit_quarter,108,183500,180224,39,1.9626655989368693
fit_quarter,108,196608,194560,42,1.9626655990999338
fit_quarter,108,209715,208896,45,1.9626655991934678
fit_quarter,108,222822,219136,47,1.9626655992350175
fit_quarter,108,235929,231424,50,1.9626655993336217
fit_quarter,108,249036,243712,52,1.9626655993462596
fit_quarter,108,262144,262144,55,1.9626655993762094
fit_quarter,109,0,0,0,0.3837599999999999
fit_quarter,109,13107,12288,3,0.8022839690353101
fit_quarter,109,26214,24576,6,1.2467695788806126
fit_quarter,109,39321,36864,9,1.6204822674963193
fit_quarter,109,52428,49152,12,1.8371337670338181
fit_quarter,109,65536,65536,16,1.9600270022047261
fit_quarter,109,78643,77824,18,1.9626519256476809
fit_quarter,109,91750,88064,20,1.962665584074609
fit_quarter,109,104857,100352,22,1.962665584074609
fit_quarter,109,117964,114688,25,1.9626655947183604
fit_quarter,109,131072,131072,28,1.9626655968211713
fit_quarter,109,144179,141312,30,1.9626655973348492
fit_quarter,109,157286,153600,32,1.9626655975371934
fit_quarter,109,170393,167936,35,1.9626655981036172
fit_quarter,109,183500,178176,37,1.9626655984054184
fit_quarter,109,196608,194560,40,1.9626655986571127
fit_quarter,109,209715,204800,42,1.9626655987588344
fit_quarter,109,222822,217088,44,1.9626655988033674
fit_quarter,109,235929,233472,47,1.9626655989284392
fit_quarter,109,249036,245760,50,1.9626655991003528
fit_quarter,109,262144,260096,53,1.9626655991922188
