condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
sampled,100,131072,126976,28,1.9626655993988698
sampled,100,144179,143360,31,1.962665599573831
sampled,100,157286,153600,33,1.9626655996023143
sampled,100,170393,169984,36,1.9626655996700393
sampled,100,183500,180224,38,1.9626655997120979
sampled,100,196608,192512,40,1.9626655997226152
sampled,100,209715,208896,43,1.962665599754894
sampled,100,222822,221184,45,1.9626655997651037
sampled,100,235929,235520,48,1.9626655997922133
sampled,100,249036,247808,50,1.9626655997983158
sampled,100,262144,260096,52,1.9626655998040097
sampled,101,0,0,0,0.3837599999999998
sampled,101,13107,12288,3,0.762361583702346
sampled,101,26214,24576,6,1.2116324181939673
sampled,101,39321,36864,9,1.5854239538423072
sampled,101,52428,49152,12,1.8112826634784491
sampled,101,65536,61440,15,1.9346811435352562
sampled,101,78643,77824,18,1.9607333023825053
sampled,101,91750,88064,20,1.9626645587796125
sampled,101,104857,104448,23,1.96266559728191
sampled,101,117964,116736,25,1.962665598502787
sampled,101,131072,131072,28,1.9626655992879258
sampled,101,144179,143360,30,1.9626655993585256
sampled,101,157286,155648,33,1.962665599563972
sampled,101,170393,167936,35,1.9626655996154732
sampled,101,183500,180224,37,1.9626655996399263
sampled,101,196608,196608,40,1.9626655996852171
sampled,101,209715,208896,42,1.9626655997057196
sampled,101,222822,221184,45,1.9626655997644238
sampled,101,235929,233472,47,1.9626655997644238
sampled,101,249036,243712,49,1.9626655997768219
sampled,101,262144,260096,52,1.9626655997874691
sampled,102,0,0,0,0.3837600000000004
sampled,102,13107,12288,3,0.7941240802365789
sampled,102,26214,24576,6,1.261136230598861
sampled,102,39321,36864,9,1.6170021508869477
sampled,102,52428,49152,12,1.836699170620288
sampled,102,65536,61440,15,1.942524607490209
sampled,102,78643,77824,18,1.9626644824171644
sampled,102,91750,88064,20,1.9626655978516845
sampled,102,104857,102400,23,1.9626655991078774
sampled,102,117964,116736,26,1.9626655994354085
sampled,102,131072,131072,29,1.9626655996017255
sampled,102,144179,141312,31,1.9626655996406346
sampled,102,157286,155648,34,1.9626655997000058
sampled,102,170393,169984,37,1.9626655997477491
sampled,102,183500,182272,40,1.962665599796008
sampled,102,196608,194560,42,1.9626655998076519
sampled,102,209715,206848,45,1.9626655998332303
sampled,102,222822,219136,48,1.9626655998554485
sampled,102,235929,235520,51,1.9626655998630045
sampled,102,249036,245760,53,1.9626655998674192
sampled,102,262144,260096,56,1.9626655998771119
sampled,103,0,0,0,0.38375999999999993
sampled,103,13107,12288,3,0.7647320781013777
sampled,103,26214,24576,6,1.2386230512988379
sampled,103,39321,36864,9,1.6260216843034438
sampled,103,52428,49152,12,1.8501740632162738
sampled,103,65536,61440,15,1.9529003206698834
sampled,103,78643,75776,18,1.9626655836962412
sampled,103,91750,90112,21,1.9626655987386612
sampled,103,104857,100352,23,1.962665599198156
sampled,103,117964,116736,26,1.9626655994546538
sampled,103,131072,126976,28,1.962665599539943
sampled,103,144179,143360,31,1.9626655996114022
sampled,103,157286,153600,33,1.962665599645519
sampled,103,170393,167936,36,1.9626655997067795
sampled,103,183500,182272,39,1.9626655997402536
sampled,103,196608,192512,41,1.96266559975981
sampled,103,209715,206848,44,1.9626655997972262
sampled,103,222822,217088,46,1.9626655998055575
sampled,103,235929,233472,49,1.962665599824909
sampled,103,249036,245760,52,1.9626655998459503
sampled,103,262144,260096,55,1.9626655998577194
sampled,104,0,0,0,0.3837599999999998
sampled,104,13107,12288,3,0.7918372641507896
sampled,104,26214,24576,6,1.2428537693272435
sampled,104,39321,36864,9,1.6103824711209678
sampled,104,52428,49152,12,1.8367728546588278
sampled,104,65536,65536,16,1.9582189346518537
sampled,104,78643,77824,18,1.9626655880828936
sampled,104,91750,88064,20,1.9626655981779921
sampled,104,104857,102400,23,1.9626655990492639
sampled,104,117964,112640,25,1.9626655992216229
sampled,104,131072,126976,28,1.9626655994923774
sampled,104,144179,143360,31,1.962665599558572
sampled,104,157286,151552,33,1.9626655996459768
sampled,104,170393,167936,36,1.9626655996955098
sampled,104,183500,180224,38,1.96266559972324
sampled,104,196608,194560,41,1.96266559977428
sampled,104,209715,208896,44,1.9626655997961433
sampled,104,222822,217088,46,1.96266559981705
sampled,104,235929,231424,49,1.9626655998367137
sampled,104,249036,245760,52,1.9626655998508027
sampled,104,262144,262144,55,1.962665599858525
sampled,105,0,0,0,0.38375999999999993
sampled,105,13107,12288,3,0.7650393499973978
sampled,105,26214,24576,6,1.257393860598627
sampled,105,39321,36864,9,1.6366576094936873
sampled,105,52428,49152,12,1.8488157360286297
sampled,105,65536,65536,16,1.9626454903075343
sampled,105,78643,75776,18,1.9626655657754806
sampled,105,91750,86016,20,1.9626655960650383
sampled,105,104857,102400,23,1.9626655982340713
sampled,105,117964,114688,26,1.9626655992527815
sampled,105,131072,131072,29,1.962665599461587
sampled,105,144179,141312,31,1.9626655995125701
sampled,105,157286,153600,33,1.9626655995460285
sampled,105,170393,169984,36,1.962665599614643
sampled,105,183500,180224,38,1.9626655996439433
sampled,105,196608,194560,41,1.9626655997168148
sampled,105,209715,208896,44,1.9626655997581757
sampled,105,222822,221184,46,1.9626655997581757
sampled,105,235929,231424,48,1.9626655997789761
sampled,105,249036,243712,50,1.9626655997843223
sampled,105,262144,260096,53,1.9626655997994873
sampled,106,0,0,0,0.38376000000000016
sampled,106,13107,12288,3,0.8125252920347502
sampled,106,26214,24576,6,1.276662396678483
sampled,106,39321,36864,9,1.6414583651815875
sampled,106,52428,49152,12,1.8604437594223502
sampled,106,65536,65536,16,1.9626553780764853
sampled,106,78643,77824,18,1.9626553780764853
sampled,106,91750,88064,20,1.962665595214943
sampled,106,104857,102400,23,1.962665598800677
sampled,106,117964,112640,25,1.9626655990973234
sampled,106,131072,129024,28,1.9626655992981354
sampled,106,144179,141312,31,1.9626655995487556
sampled,106,157286,155648,34,1.962665599649889
sampled,106,170393,169984,37,1.96266559971259
sampled,106,183500,178176,39,1.9626655997502673
sampled,106,196608,196608,42,1.962665599774191
sampled,106,209715,208896,45,1.9626655998083882
sampled,106,222822,221184,47,1.9626655998083882
sampled,106,235929,233472,50,1.9626655998316227
sampled,106,249036,245760,52,1.9626655998345517
sampled,106,262144,262144,55,1.962665599845509
sampled,107,0,0,0,0.38376000000000043
sampled,107,13107,12288,3,0.7866978902729276
sampled,107,26214,24576,6,1.2500860482277603
sampled,107,39321,36864,9,1.6257856312412162
sampled,107,52428,49152,12,1.8440698929225732
sampled,107,65536,65536,16,1.960770921572471
sampled,107,78643,77824,18,1.962665593639374
sampled,107,91750,90112,21,1.9626655989501747
sampled,107,104857,100352,23,1.9626655991587727
sampled,107,117964,116736,26,1.9626655993657431
sampled,107,131072,129024,29,1.9626655995800883
sampled,107,144179,143360,32,1.9626655996842994
sampled,107,157286,155648,34,1.9626655997053148
sampled,107,170393,169984,37,1.9626655997442746
sampled,107,183500,182272,40,1.9626655997912499
sampled,107,196608,194560,43,1.9626655998216496
sampled,107,209715,208896,46,1.9626655998419085
sampled,107,222822,219136,48,1.9626655998534552
sampled,107,235929,235520,51,1.9626655998651419
sampled,107,249036,247808,53,1.9626655998708396
sampled,107,262144,260096,55,1.962665599872745
sampled,108,0,0,0,0.38376000000000016
sampled,108,13107,12288,3,0.7947139468313076
sampled,108,26214,24576,6,1.2592467443997728
sampled,108,39321,36864,9,1.645495534788449
sampled,108,52428,49152,12,1.8496678933478796
sampled,108,65536,61440,15,1.947077110862295
sampled,108,78643,75776,18,1.9626634791107058
sampled,108,91750,90112,21,1.9626655985029215
sampled,108,104857,104448,24,1.9626655991516937
sampled,108,117964,114688,26,1.9626655993396915
sampled,108,131072,129024,29,1.9626655995440947
sampled,108,144179,143360,32,1.9626655996499436
sampled,108,157286,155648,34,1.9626655996499436
sampled,108,170393,169984,37,1.9626655997196998
sampled,108,183500,180224,39,1.9626655997519775
sampled,108,196608,194560,42,1.9626655997942
sampled,108,209715,208896,45,1.962665599814652
sampled,108,222822,219136,47,1.9626655998260405
sampled,108,235929,231424,50,1.962665599847475
sampled,108,249036,243712,52,1.9626655998497473
sampled,108,262144,262144,55,1.9626655998565807
sampled,109,0,0,0,0.3837599999999999
sampled,109,13107,12288,3,0.8090386538524788
sampled,109,26214,24576,6,1.2431067047563205
sampled,109,39321,36864,9,1.6254067501039555
sampled,109,52428,49152,12,1.8387964674871917
sampled,109,65536,65536,16,1.9626456455377763
sampled,109,78643,77824,18,1.9626456455377763
sampled,109,91750,88064,20,1.9626655967138682
sampled,109,104857,100352,22,1.9626655967138682
sampled,109,117964,114688,25,1.9626655989138098
sampled,109,131072,131072,28,1.9626655993301831
sampled,109,144179,141312,30,1.9626655994225153
sampled,109,157286,153600,32,1.9626655994596194
sampled,109,170393,167936,35,1.9626655995723483
sampled,109,183500,178176,37,1.962665599648204
sampled,109,196608,194560,40,1.9626655996968498
sampled,109,209715,204800,42,1.962665599720491
sampled,109,222822,217088,44,1.962665599729254
sampled,109,235929,233472,47,1.9626655997590308
sampled,109,249036,245760,50,1.9626655997966265
sampled,109,262144,260096,53,1.9626655998176454
pg,100,0,0,0,0.3837600000000004
pg,100,13107,12288,12,1.1026018305561363
pg,100,26214,25600,25,1.7628117789987778
pg,100,39321,38912,38,1.9212956057882788
