experiment,method,label,oracle_label_group,seed,update,source_steps_total,source_steps_training,source_steps_critic,source_steps_direction_check,source_steps_return_check,source_steps_monitor,source_complete_episodes,agent_decisions,budget,training_return,monitor_return,exact_source_return_diagnostic,actual_return_gain_diagnostic,old_new_kl,baseline_kind,baseline_missing_states,entropy,seconds,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,critic_validation_mse,label_mse_against_exact_joint_advantage,critic_explained_variance,direction_error,direction_norm,exact_direction_score_diagnostic
T-L,AN,mc_learned_baseline,False,44,29,20648,7424,7424,0,0,5800,10324,41296,262144,0.8894531250000002,0.9423,0.9045936735144452,0.00616358134835715,0.00010629758726156502,public_state_tabular_independent_mc,0,0.3316597712471603,1.2311028999974951,True,accepted_return_check_disabled,0.1,1,1.3730601899805156e-09,-0.02210143329175184,100,5.0,0.0692381805419922,0.02634125989723314,0.0054619552419282735,0.002367272498395384,0.02228012034853941,0.012404995899701034
T-L,AN,mc_learned_baseline,False,44,30,21360,7680,7680,0,0,6000,10680,42720,262144,0.8847656250000001,0.9306000000000002,0.9108910354780588,0.006297361963613635,0.00012961921410987881,public_state_tabular_independent_mc,0,0.32481083635290503,1.2712096000323072,True,accepted_return_check_disabled,0.1,1,2.116764290833001e-09,-0.027709373463962673,100,5.0,0.06840866170760401,0.025997641836854664,0.012484554694598304,0.0049317300780765275,0.027834464174826025,0.008180597701623112
T-L,AN,mc_learned_baseline,False,44,31,22072,7936,7936,0,0,6200,11036,44144,262144,0.9147656250000001,0.8889,0.9149279742184865,0.0040369387404276535,6.520082946795444e-05,public_state_tabular_independent_mc,0,0.32024052331134734,1.3132439999608323,True,accepted_return_check_disabled,0.1,1,1.1578463009317904e-09,-0.013703561726148589,100,5.0,0.04563996860670008,0.01621500449722905,0.013821299203410686,0.0025891594412341947,0.013654945431677976,0.00890406776471123
T-L,AN,mc_learned_baseline,False,44,32,22784,8192,8192,0,0,6400,11392,45568,262144,0.9517968750000002,0.8916,0.916892002122049,0.0019640279035625374,2.3673315207425193e-05,public_state_tabular_independent_mc,0,0.3174256469147985,1.353209999972023,True,accepted_return_check_disabled,0.1,1,2.8654334094961597e-10,-0.005203775346361114,100,5.0,0.02069061379481677,0.0056419050970726225,0.00643086959638417,0.004678929344423505,0.004868583217702404,0.005784129387929583
T-L,AN,mc_learned_baseline,False,44,33,23496,8448,8448,0,0,6600,11748,46992,262144,0.9053906250000001,0.9213000000000001,0.9210348933793746,0.004142891257325587,8.845948901665794e-05,public_state_tabular_independent_mc,0,0.31260997411285574,1.4001623999793082,True,accepted_return_check_disabled,0.1,1,1.4354971441808958e-09,-0.01942486252067418,100,5.0,0.05084567603958228,0.015447872454193563,0.01833061904570943,0.005211585899312582,0.01863434368992581,0.004950145418002733
T-L,AN,mc_learned_baseline,False,44,34,24208,8704,8704,0,0,6800,12104,48416,262144,0.9007031250000002,0.9303000000000001,0.9251892398993149,0.0041543465199402885,7.115907247259e-05,public_state_tabular_independent_mc,0,0.3075120617152344,1.4404044999973848,True,accepted_return_check_disabled,0.1,1,1.0068160170615944e-09,-0.015498203428074536,100,5.0,0.048038097244435266,0.016112435427306643,0.02490961575918582,0.0007505986696935002,0.014900494810183115,0.008387224778737826
T-L,AN,mc_learned_baseline,False,44,35,24920,8960,8960,0,0,7000,12460,49840,262144,0.8960156250000002,0.9008999999999999,0.9291204503606215,0.003931210461306622,0.0001077410204452154,public_state_tabular_independent_mc,0,0.3025721645965596,1.4832940000342205,True,accepted_return_check_disabled,0.1,1,4.779291312027698e-10,-0.022589211978847383,100,5.0,0.045491918228826284,0.016078704299630982,0.02781638240783868,0.008940841837842948,0.02396918195739256,-0.0008078263901318168
T-L,AN,mc_learned_baseline,False,44,36,25632,9216,9216,0,0,7200,12816,51264,262144,0.9285937500000001,0.9092999999999999,0.9322981738715662,0.0031777235109446966,7.73902835856624e-05,public_state_tabular_independent_mc,0,0.2984938292463602,1.5232865000143647,True,accepted_return_check_disabled,0.1,1,6.510116994872712e-10,-0.01617244126678542,100,5.0,0.03756771545410157,0.010512983335035683,0.010067320719604256,0.005452893467801711,0.016713861590706695,0.0016953969158683795
T-L,AN,mc_learned_baseline,False,44,37,26344,9472,9472,0,0,7400,13172,52688,262144,0.9375000000000002,0.9512999999999999,0.9333110368871024,0.0010128630155361584,1.285466693239966e-05,public_state_tabular_independent_mc,0,0.29655896446441343,1.5616515000583604,True,accepted_return_check_disabled,0.1,1,4.285159517222669e-10,-0.0026379076699338967,100,5.0,0.010897818803568613,0.0002903547012481152,0.08294229908016304,0.0036319890447569355,0.0026081911346701233,0.0027543867608687657
T-L,AN,mc_learned_baseline,False,44,38,27056,9728,9728,0,0,7600,13528,54112,262144,0.9400781250000001,0.9390000000000001,0.93519719856434,0.0018861616772376522,3.56897280168647e-05,public_state_tabular_independent_mc,0,0.293693570406055,1.5983689000131562,True,accepted_return_check_disabled,0.1,1,5.20334616840911e-10,-0.0078194690479791,100,5.0,0.021866133468772836,0.005839550368527112,-0.011845236312173046,0.003428857353355128,0.0076327315019865585,0.002970665789464538
T-L,AN,mc_learned_baseline,False,44,39,27768,9984,9984,0,0,7800,13884,55536,262144,0.9236718750000001,0.9512999999999999,0.937370323825684,0.0021731252613439445,3.5407805014986646e-05,public_state_tabular_independent_mc,0,0.2903675798038494,1.6401498999912292,True,accepted_return_check_disabled,0.1,1,5.712204548484459e-10,-0.007787083312077643,100,5.0,0.024746801757812506,0.005496364996896381,0.03923350822047866,0.001466483996814961,0.007326306379739201,0.004618132870576856
T-L,AN,mc_learned_baseline,False,44,40,28480,10240,10240,0,0,8000,14240,56960,262144,0.9492187500000002,0.9246000000000001,0.9383815866001314,0.0010112627744474079,1.3026199254220486e-05,public_state_tabular_independent_mc,0,0.2883934893405112,1.6810721000656486,True,accepted_return_check_disabled,0.1,1,2.882299838755196e-10,-0.002662819670883923,100,5.0,0.010041503906250006,7.504321622607652e-05,0.06021566807112788,0.0030433266404339097,0.0026379027656938028,0.0027036194575441822
T-L,AN,mc_learned_baseline,False,44,41,29192,10496,10496,0,0,8200,14596,58384,262144,0.9260156250000002,0.966,0.9403726281258299,0.0019910415256985114,5.0861466294752986e-05,public_state_tabular_independent_mc,0,0.2852407443367258,1.7205603000475094,True,accepted_return_check_disabled,0.1,1,4.762234119122536e-10,-0.010546141531613883,100,5.0,0.021620092773437502,0.005429296234555169,0.04495229475430851,0.005378243457939124,0.01108358241592151,0.0003883131701632129
T-L,AN,mc_learned_baseline,False,44,42,29904,10752,10752,0,0,8400,14952,59808,262144,0.9541406250000002,0.9630000000000001,0.9426923503587236,0.002319722232893673,4.811910976008777e-05,public_state_tabular_independent_mc,0,0.2817715981282402,1.7614208000013605,True,accepted_return_check_disabled,0.1,1,8.998531586968493e-10,-0.00919980346783068,100,5.0,0.023281711688036832,0.0053385047387612405,0.01524789177700514,0.0025727342695031096,0.010211850842031788,0.002877148455796553
T-L,AN,mc_learned_baseline,False,44,43,30616,11008,11008,0,0,8600,15308,61232,262144,0.9445312500000003,0.9570000000000001,0.9437733922915342,0.0010810419328106669,1.4201363353058963e-05,public_state_tabular_independent_mc,0,0.27964695244353366,1.8014301999937743,True,accepted_return_check_disabled,0.1,1,5.277257887840844e-11,-0.0028344242354442018,100,5.0,0.010587382318737064,0.00026803047542346014,0.06634906990938882,0.002172047690454284,0.0028396044359112835,0.0028427170590848184
T-L,AN,mc_learned_baseline,False,44,44,31328,11264,11264,0,0,8800,15664,62656,262144,0.9353906250000003,0.96,0.9458082740108409,0.002034881719306658,4.257991107660713e-05,public_state_tabular_independent_mc,0,0.2764572211752491,1.8402559000533074,True,accepted_return_check_disabled,0.1,1,5.373961650068588e-10,-0.009445338937982316,100,5.0,0.024332617187500006,0.005541525108039154,0.026900838003101724,0.002618240075382296,0.009072202267622929,0.00241020644360089
T-L,AN,mc_learned_baseline,False,44,45,32040,11520,11520,0,0,9000,16020,64080,262144,0.9515625000000003,0.9870000000000002,0.946822929825549,0.0010146558147081652,1.2777120022317925e-05,public_state_tabular_independent_mc,0,0.27443130098510615,1.8773968999739736,True,accepted_return_check_disabled,0.1,1,1.3850213587860704e-10,-0.0025989377919489647,100,5.0,0.010012690570613861,7.952963839511764e-05,0.047171618761813305,0.0018952397824871909,0.00258079472948175,0.0027800187189070723
T-L,AN,mc_learned_baseline,False,44,46,32752,11776,11776,0,0,9200,16376,65504,262144,0.9609375000000002,0.9630000000000001,0.9478464671457615,0.001023537320212431,1.2636465014663212e-05,public_state_tabular_independent_mc,0,0.27239012806615825,1.9173747999593616,True,accepted_return_check_disabled,0.1,1,1.4223641821310487e-10,-0.0025708788801007652,100,5.0,0.009845944699869325,0.00019103065999388853,0.03527609140330157,0.0018376209569536538,0.0025527169413289974,0.002855638030014364
T-L,AN,mc_learned_baseline,False,44,47,33464,12032,12032,0,0,9400,16732,66928,262144,0.9515625000000002,0.9570000000000001,0.9489167963912586,0.0010703292454971036,1.406589847352686e-05,public_state_tabular_independent_mc,0,0.2702367665077233,1.9551262999884784,True,accepted_return_check_disabled,0.1,1,1.9105350138331638e-10,-0.0027875915862079466,100,5.0,0.01005523681640625,0.00019383337038871088,0.04941911124019749,0.0018926266794594341,0.0028025935831834012,0.0028135409389418603
T-L,AN,mc_learned_baseline,False,44,48,34176,12288,12288,0,0,9600,17088,68352,262144,0.9421875000000002,0.954,0.9499682673976272,0.0010514710063685984,1.3456457652249975e-05,public_state_tabular_independent_mc,0,0.26811441790734275,1.995344000053592,True,accepted_return_check_disabled,0.1,1,4.515422144444341e-11,-0.0026866380197270337,100,5.0,0.010494689941406257,3.5625311850135896e-05,0.0686229079212779,0.0018882213347472436,0.0026912546403722827,0.0028357680140844764
T-L,AN,mc_learned_baseline,False,44,49,34888,12544,12544,0,0,9800,17444,69776,262144,0.9539062500000002,0.9540000000000001,0.9511220758449253,0.0011538084472980659,1.5902138570733916e-05,public_state_tabular_independent_mc,0,0.2657829769399436,2.0357657000422478,True,accepted_return_check_disabled,0.1,1,2.5401190811582047e-11,-0.00317134045559686,100,5.0,0.010431786758557778,0.0006314531880207118,0.03015301394623604,0.001852281797165704,0.0031858138971952144,0.0028879331445990602
T-L,AN,mc_learned_baseline,False,44,50,35600,12800,12800,0,0,10000,17800,71200,262144,0.9468750000000001,0.951,0.9522944625471103,0.001172386702185002,1.6477202587798813e-05,public_state_tabular_independent_mc,0,0.2633989527451598,2.079663300071843,True,accepted_return_check_disabled,0.1,1,1.8094018460416336e-10,-0.0033515833423232782,100,5.0,0.010426025390625007,0.00011840807033235006,0.05233865527321746,0.0018871243262915736,0.0033311142820972714,0.0028669539356554327
