condition,seed,scene,reset_seed,action_seed,success,success_steps,episode_steps,restricted_steps,end_reason,J,final_coverage,collision_pairs_total,path_length
ippo,40,180,2470240967,1061804176,1,21,21,21,success,-10.163511095509588,1.0,0.0,4.287803072450442
ippo,40,181,3528471741,1323328472,1,35,35,35,success,-20.613745465527312,1.0,4.0,9.83951784372557
ippo,40,182,2911587752,4074340476,1,190,190,190,success,-45.05778386816337,1.0,16.0,36.53389598576669
ippo,40,183,395798198,4201995392,1,29,29,29,success,-20.097956342058733,1.0,8.0,6.318734439336814
ippo,40,184,3206482376,3850659323,1,47,47,47,success,-17.581719735574264,1.0,6.0,9.697342365087566
ippo,40,185,547984991,3607788070,1,67,67,67,success,-25.90363802155303,1.0,7.0,14.77004323107542
ippo,40,186,2630779656,3552115610,1,21,21,21,success,-8.318595989929316,1.0,0.0,3.935804067300253
ippo,40,187,2286206322,2133860329,1,10,10,10,success,-4.451583443785428,1.0,0.0,2.246203991123644
ippo,40,188,1028413547,483519647,1,174,174,174,success,-69.14150895498541,1.0,76.0,41.69848979635472
ippo,40,189,3954971611,339275944,1,24,24,24,success,-6.412726427229865,1.0,3.0,4.132118603135086
ippo,40,190,1565184387,3604524309,1,207,207,207,success,-61.32655756255204,1.0,48.0,40.07119169668396
ippo,40,191,1541645080,3550743315,1,65,65,65,success,-31.916174899814635,1.0,11.0,15.494081632426273
ippo,40,192,1358142315,66658535,1,50,50,50,success,-15.75548181476893,1.0,12.0,8.637164502132762
ippo,40,193,3792492909,1947276631,1,20,20,20,success,-8.465760958876551,1.0,4.0,4.224870614060105
ippo,40,194,3966649805,1539956774,1,35,35,35,success,-19.124651450233916,1.0,2.0,9.344440484886356
ippo,40,195,4287786056,536147962,1,19,19,19,success,-9.544856430001557,1.0,1.0,3.8406353161618263
ippo,40,196,3898621550,2943160775,1,69,69,69,success,-28.41142974337747,1.0,7.0,14.058706636688195
ippo,40,197,1282899432,896785034,1,38,38,38,success,-12.132694393439294,1.0,0.0,6.516839255615062
ippo,40,198,3304655122,725218852,1,45,45,45,success,-20.597653625371375,1.0,1.0,8.97420086248984
ippo,40,199,2374250539,2505643757,1,35,35,35,success,-19.76355718102809,1.0,4.0,10.286508138813273
