experiment,method,label,oracle_label_group,seed,update,source_steps_total,source_steps_training,source_steps_critic,source_steps_direction_check,source_steps_return_check,source_steps_monitor,source_complete_episodes,agent_decisions,budget,training_return,monitor_return,exact_source_return_diagnostic,actual_return_gain_diagnostic,old_new_kl,baseline_kind,baseline_missing_states,entropy,seconds,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,direction_check_score,direction_check_mode,return_check_gain,return_check_mode,return_check_standard_error,critic_validation_mse,label_mse_against_exact_joint_advantage,critic_explained_variance,direction_error,direction_norm,exact_direction_score_diagnostic
T-L,AN,mc_learned_baseline,False,46,13,49192,3328,3328,13312,26624,2600,24596,98384,65536,0.7075781250000002,0.8034,0.7160324814817729,0.02364604395625025,0.0003396111300613409,public_state_tabular_independent_mc,0,0.46966288071895856,0.6363897999981418,True,accepted_empirical,0.1,1,5.922028521102823e-09,-0.06963886851459662,100,5.0,0.06023986535403067,empirical,0.0216796875,empirical,0.006826896365990999,0.262352048828125,0.11488221302472332,0.00332226565406879,0.001994642413069134,0.06974580591277428,0.05988441111506747
T-L,AN,mc_learned_baseline,False,46,14,52976,3584,3584,14336,28672,2800,26488,105952,65536,0.6989062500000001,0.7142999999999999,0.738406581850896,0.02237410036912313,0.0003225002391700709,public_state_tabular_independent_mc,0,0.4573383313673318,0.682383400038816,True,accepted_empirical,0.1,1,4.5438470150124265e-09,-0.0663498591455335,100,5.0,0.04989457964513756,empirical,0.011660156250000001,empirical,0.005526178880654281,0.2608390329861111,0.10933579652469777,0.002895102379153802,0.000836005595305781,0.06673900625806284,0.056572913351314424
T-L,AN,mc_learned_baseline,False,46,15,56760,3840,3840,15360,30720,3000,28380,113520,65536,0.6946875000000001,0.7863,0.7581146185820209,0.019708036731124867,0.00027465821061776514,public_state_tabular_independent_mc,0,0.44615734904492793,0.7235173999797553,True,accepted_empirical,0.1,1,1.1030812389992995e-09,-0.057834087361120126,100,5.0,0.049642988134888856,empirical,0.017109375,empirical,0.006268112781507789,0.2542905555077652,0.09968703941363019,0.030429058253399588,0.0012129220119731457,0.05655478403038682,0.05171831657376164
T-L,AN,mc_learned_baseline,False,46,16,60544,4096,4096,16384,32768,3200,30272,121088,65536,0.7582031250000001,0.8976000000000001,0.776756195006553,0.018641576424532125,0.00026649418644712,public_state_tabular_independent_mc,0,0.4343569532040751,0.7666861000470817,True,accepted_empirical,0.1,1,3.6174520453360707e-09,-0.05438944351885247,100,5.0,0.027722180681907963,empirical,0.0179296875,empirical,0.00783318091211123,0.203152657056882,0.0827633734190946,0.008292348912003256,0.001049674330912083,0.05478874809868882,0.04773636827349308
T-L,AN,mc_learned_baseline,False,46,17,64328,4352,4352,17408,34816,3400,32164,128656,65536,0.7605468750000002,0.7593000000000001,0.7946574677510564,0.01790127274450337,0.0002867877666227615,public_state_tabular_independent_mc,0,0.4229679320988231,0.8108154999790713,True,accepted_empirical,0.1,1,2.3860431924115885e-09,-0.059594525910442765,100,5.0,0.0316461837198887,empirical,0.008613281250000002,empirical,0.005266458071939793,0.21370259998370472,0.08409476840879021,0.02650494286467142,0.0049848291219719565,0.059946027900519484,0.03974436796252428
T-L,SA,mc_learned_baseline,False,46,1,3784,256,256,1024,2048,200,1892,7568,65536,0.19148437499999996,0.2754,0.350147253140022,0.031133253140021966,0.00038166369479999507,public_state_tabular_independent_mc,0,0.6164913292017307,0.04799029999412596,True,accepted_empirical,0.1,1,1.3931509485211113e-09,-0.08312775598679459,100,5.0,0.07813501987555137,empirical,0.033222656249999996,empirical,0.009446114536774767,0.4074925527356591,0.1717049778337192,0.012895825385180526,0.0009753430557388043,0.07706559884988562,0.08777221768320859
T-L,SA,mc_learned_baseline,False,46,2,7568,512,512,2048,4096,400,3784,15136,65536,0.39328125,0.3617999999999999,0.3845119083967925,0.034364655256770515,0.0004614194969442008,public_state_tabular_independent_mc,0,0.6064193197656316,0.09415869996882975,True,accepted_empirical,0.1,1,7.565776054951611e-09,-0.08679035683375136,100,5.0,0.08872609577245877,empirical,0.04828125,empirical,0.010920737347101552,0.40845704092481483,0.17317812278860184,0.007553673350572887,0.00019222413992916543,0.09354373542785786,0.08915309761414038
T-L,SA,mc_learned_baseline,False,46,3,11352,768,768,3072,6144,600,5676,22704,65536,0.30351562499999996,0.5138999999999999,0.4165705753250035,0.03205866692821102,0.00040518306446252255,public_state_tabular_independent_mc,0,0.5957577453876786,0.13573330000508577,True,accepted_empirical,0.1,1,6.923703039378717e-09,-0.08358213013371754,100,5.0,0.08710512135257306,empirical,0.030468750000000003,empirical,0.008236219324075872,0.4476620265629334,0.19443311061936855,0.03462149794633196,0.000918960299538112,0.08162751192246114,0.08854045624738334
T-L,SA,mc_learned_baseline,False,46,4,15136,1024,1024,4096,8192,800,7568,30272,65536,0.393046875,0.5258999999999999,0.45106109537094025,0.03449052004593672,0.0004754340266622406,public_state_tabular_independent_mc,0,0.5847129543076628,0.183001899975352,True,accepted_empirical,0.1,1,4.877774245962386e-09,-0.09816490169950834,100,5.0,0.08396111486873255,empirical,0.035039062499999996,empirical,0.009300872796840942,0.4051957002416941,0.1720462731483866,0.009012405843473181,0.001234182017624159,0.09634933445541172,0.08779107064624952
T-L,SA,mc_learned_baseline,False,46,5,18920,1280,1280,5120,10240,1000,9460,37840,65536,0.4228125,0.3954,0.48329081174809674,0.03222971637715649,0.0004194684562074344,public_state_tabular_independent_mc,0,0.573580781776478,0.22731310001108795,True,accepted_empirical,0.1,1,3.344267714237813e-09,-0.08674885254855369,100,5.0,0.08970226566588113,empirical,0.0256640625,empirical,0.008830306238192781,0.3969432863383908,0.1691287697266849,0.0023720021754668474,0.0006064926406538354,0.08516669760846413,0.08731309936271736
T-L,SA,mc_learned_baseline,False,46,6,22704,1536,1536,6144,12288,1200,11352,45408,65536,0.50109375,0.5244,0.5164662027638001,0.033175391015703326,0.0004628553132299475,public_state_tabular_independent_mc,0,0.5601218479993018,0.27658900001551956,True,accepted_empirical,0.1,1,4.977953213382755e-09,-0.0910078908988624,100,5.0,0.08057852199537277,empirical,0.032695312500000004,empirical,0.010168791738538832,0.3836238227032463,0.1614983420402474,0.007831556835983688,0.0024637556803555494,0.09368857760280111,0.08384421612221096
T-L,SA,mc_learned_baseline,False,46,7,26488,1792,1792,7168,14336,1400,13244,52976,65536,0.54328125,0.4958999999999999,0.5476005533398156,0.031134350576015546,0.00041632533843487257,public_state_tabular_independent_mc,0,0.548373926674116,0.32945309998467565,True,accepted_empirical,0.1,1,4.42721238735838e-09,-0.07955484976158815,100,5.0,0.09066343833786773,empirical,0.014589843749999998,empirical,0.006705717508442658,0.3542593998915485,0.15039008437617432,0.005515720753195175,0.0014584028057213305,0.08491929880023465,0.0828239121808703
T-L,SA,mc_learned_baseline,False,46,8,30272,2048,2048,8192,16384,1600,15136,60544,65536,0.448828125,0.6081,0.5760693084510188,0.02846875511120317,0.0003547920838496125,public_state_tabular_independent_mc,0,0.536647032464521,0.37775750004220754,True,accepted_empirical,0.1,1,3.00299066700296e-09,-0.08489619101308989,100,5.0,0.07548968473194567,empirical,0.005507812499999999,empirical,0.007220214509049067,0.3952762150694923,0.1645192952239683,0.010284451101300052,0.0004360508084667435,0.07213300385726559,0.08113316865693429
T-L,SA,mc_learned_baseline,False,46,9,34056,2304,2304,9216,18432,1800,17028,68112,65536,0.6442968750000001,0.5583,0.6063983405850626,0.03032903213404381,0.0004267350709706082,public_state_tabular_independent_mc,0,0.5240142411860071,0.4266283999895677,True,accepted_empirical,0.1,1,5.251105025643975e-09,-0.08036799456654553,100,5.0,0.06907319982174528,empirical,0.044531249999999994,empirical,0.009932288088357692,0.3131419335421969,0.13578400624480932,-0.00801787805212495,0.0016344860939215187,0.08823291166404293,0.07704367195128603
T-L,SA,mc_learned_baseline,False,46,10,37840,2560,2560,10240,20480,2000,18920,75680,65536,0.5946093750000001,0.7487999999999999,0.6335312349380093,0.027132894352946746,0.00035293368425731936,public_state_tabular_independent_mc,0,0.5115245750224631,0.473818700062111,True,accepted_empirical,0.1,1,4.724894622404204e-09,-0.07487413943770033,100,5.0,0.07481043871554996,empirical,0.04763671875,empirical,0.010728501938476824,0.33620949353267204,0.13600168396672305,0.01975499620733423,7.503723595100832e-05,0.07232232401229888,0.07495838700889379
T-L,SA,mc_learned_baseline,False,46,11,41624,2816,2816,11264,22528,2200,20812,83248,65536,0.534375,0.6350999999999999,0.6588220289737899,0.025290794035780606,0.0003267964424752116,public_state_tabular_independent_mc,0,0.4998120718703516,0.5219070999883115,True,accepted_empirical,0.1,1,2.8880631573313632e-09,-0.08316670055692511,100,5.0,0.0782744065760072,empirical,0.018046875000000004,empirical,0.008019707371002114,0.3524605085969302,0.15110995458371185,-0.016002978802507783,0.000800383229996505,0.06705964790582797,0.07057042842167238
T-L,SA,mc_learned_baseline,False,46,12,45408,3072,3072,12288,24576,2400,22704,90816,65536,0.61546875,0.6129000000000001,0.6836386249271416,0.024816595953351617,0.00033340562435569664,public_state_tabular_independent_mc,0,0.4867926936751745,0.5687066999962553,True,accepted_empirical,0.1,1,4.256231407316782e-09,-0.07235154035492299,100,5.0,0.06034398352308192,empirical,0.029179687500000002,empirical,0.008136999895190454,0.3200442968174388,0.1273012245595911,0.026802558911020347,0.0006478377752210021,0.0684035779790402,0.06684187362049973
T-L,SA,mc_learned_baseline,False,46,13,49192,3328,3328,13312,26624,2600,24596,98384,65536,0.6801562500000001,0.7917000000000001,0.7061803386440039,0.02254171371686231,0.0002968189578270342,public_state_tabular_independent_mc,0,0.4755785622281985,0.6147651000646874,True,accepted_empirical,0.1,1,2.5357890235209743e-09,-0.06850737559730653,100,5.0,0.06260899795666784,empirical,0.02455078125,empirical,0.007568965138843144,0.28191907179090714,0.123947735851061,-0.003223708663615321,0.001299701195259409,0.06149663232628804,0.062212261603220013
T-L,SA,mc_learned_baseline,False,46,14,52976,3584,3584,14336,28672,2800,26488,105952,65536,0.6989062500000001,0.6908999999999998,0.7272758793689041,0.021095540724900275,0.00027345728069299685,public_state_tabular_independent_mc,0,0.4641536050292888,0.6660139999585226,True,accepted_empirical,0.1,1,1.8364078336713414e-09,-0.059524480528499936,100,5.0,0.05814785033978418,empirical,0.01845703125,empirical,0.006526679524560259,0.2608390329861111,0.10912995566838171,0.002895102379153802,0.0001247571342028807,0.05655624771439783,0.05922630129501134
