experiment,method,variant,source_n,target_n,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-T,AN,fixed-edge,4,4,False,target_local_energy,0.06652799999999993,0.0,10,0.06652799999999993,0.06652799999999993,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,target_path_derivative,0.269039290006031,0.033832853252925996,10,0.24981348536959483,0.2901036819802793,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,target_normalized_path_derivative,0.06725982250150775,0.008458213313231499,10,0.06245337134239871,0.07252592049506983,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,old_return,0.28159999999999996,0.0,10,0.28159999999999996,0.28159999999999996,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,return,0.30970470393418753,0.003793563569885694,10,0.307563484301702,0.31203493551275097,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,return_gain,0.028104703934187607,0.003793563569885694,10,0.02596348430170198,0.030434935512751025,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,source_steps_total,2064.0,0.0,10,2064.0,2064.0,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,source_steps_training,2048.0,0.0,10,2048.0,2048.0,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,source_steps_direction_check,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,source_steps_return_check,16.0,0.0,10,16.0,16.0,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,eta,0.1,0.0,10,0.1,0.1,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,attempts,1.0,0.0,10,1.0,1.0,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,forward_kl_training,3.326599021451087e-09,2.9145240519885228e-09,10,1.6275356076891302e-09,5.118383969958492e-09,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,direction_loss,-0.06956381576423196,0.017826978136562255,10,-0.08078784601714657,-0.059661588488773606,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,direction_steps,100.0,0.0,10,100.0,100.0,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,q_bound,5.0,0.0,10,5.0,5.0,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,return_check_gain,0.05500000000000001,0.1739252713092609,10,0.0,0.165,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,return_check_standard_error,0.05500000000000001,0.1739252713092609,10,0.0,0.165,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,target_true_coefficient_0,0.05999999999999981,7.314236392868128e-18,10,0.05999999999999981,0.05999999999999981,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,target_true_coefficient_1,0.3599999999999998,0.0,10,0.3599999999999998,0.3599999999999998,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,frozen_actor_p_0,0.3020127570455565,0.002200529039528118,10,0.30071657492030035,0.3033186757537148,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,frozen_actor_p_1,0.7151158572144936,0.00180058443929823,10,0.7140516181165016,0.716213736038229,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,source_direction_error,0.0017881488528157948,0.0015516113406845243,10,0.0009955464128000083,0.0027581877109285158,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,source_realization_residual,6.87690628001654e-07,6.07044151417734e-07,10,3.335301584374462e-07,1.0634460071195917e-06,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,target_direction_error,0.0017745965841210825,0.001506622113541465,10,0.00099802932900995,0.0027196991279316114,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,transport_error_upper_bound,0.001849041189775558,0.0015959275768902092,10,0.0010405081053464068,0.002843017109130059,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,4,False,normalized_derivative_lower_bound,0.056232403945213706,0.004347887628883504,10,0.053616439431016884,0.05860069883954438,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,target_plus_type_probability,0.5999999999999999,1.1702778228589004e-16,10,0.5999999999999999,0.5999999999999999,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,density_ratio,1.0,0.0,10,1.0,1.0,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,neighbor_weight,3.333333333333333,0.0,10,3.333333333333333,3.333333333333333,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,semantic_drift,0.009557333333333307,0.0,10,0.009557333333333307,0.009557333333333307,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,target_local_energy,0.11909333333333313,1.4628472785736255e-17,10,0.11909333333333313,0.11909333333333313,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,target_path_derivative,0.5316859645186888,0.07066005605066135,10,0.49202200437625515,0.5753435048689477,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,target_normalized_path_derivative,0.08861432741978147,0.01177667600844356,10,0.08200366739604255,0.09589058414482461,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,old_return,0.4479999999999998,5.851389114294502e-17,10,0.4479999999999998,0.4479999999999998,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,return,0.5043946191641331,0.00820153799617385,10,0.49987037482501323,0.509481046619716,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,return_gain,0.056394619164133276,0.00820153799617385,10,0.05187037482501342,0.06148104661971625,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,source_steps_total,2064.0,0.0,10,2064.0,2064.0,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,source_steps_training,2048.0,0.0,10,2048.0,2048.0,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,source_steps_direction_check,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,source_steps_return_check,16.0,0.0,10,16.0,16.0,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,eta,0.1,0.0,10,0.1,0.1,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,attempts,1.0,0.0,10,1.0,1.0,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,forward_kl_training,3.326599021451087e-09,2.9145240519885228e-09,10,1.6275356076891302e-09,5.118383969958492e-09,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,direction_loss,-0.06956381576423196,0.017826978136562255,10,-0.08078784601714657,-0.059661588488773606,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,direction_steps,100.0,0.0,10,100.0,100.0,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,q_bound,5.0,0.0,10,5.0,5.0,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,return_check_gain,0.05500000000000001,0.1739252713092609,10,0.0,0.165,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,return_check_standard_error,0.05500000000000001,0.1739252713092609,10,0.0,0.165,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,target_true_coefficient_0,0.16666666666666632,0.0,10,0.16666666666666632,0.16666666666666632,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,target_true_coefficient_1,0.46666666666666645,1.1702778228589004e-16,10,0.46666666666666645,0.46666666666666645,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,frozen_actor_p_0,0.3020127570455565,0.002200529039528118,10,0.30071657492030035,0.3033186757537148,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,frozen_actor_p_1,0.7151158572144936,0.00180058443929823,10,0.7140516181165016,0.716213736038229,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,source_direction_error,0.0017881488528157948,0.0015516113406845243,10,0.0009955464128000083,0.0027581877109285158,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,source_realization_residual,6.87690628001654e-07,6.07044151417734e-07,10,3.335301584374462e-07,1.0634460071195917e-06,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,target_direction_error,0.01163092008090684,0.006616923782411276,10,0.007613302893422691,0.015463809739327128,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,transport_error_upper_bound,0.01921092013800102,0.004873022421335597,10,0.016594920041260112,0.02220972106698265,training_seed_or_data_batch,False
P-T,AN,fixed-edge,4,6,False,normalized_derivative_lower_bound,0.07158085216419344,0.005817277789017968,10,0.0680808094850306,0.07474952404869939,training_seed_or_data_batch,False
P-T,AN,composition,4,2,False,target_plus_type_probability,0.4,0.0,10,0.4,0.4,training_seed_or_data_batch,False
P-T,AN,composition,4,2,False,density_ratio,1.4999999999999998,0.0,10,1.4999999999999998,1.4999999999999998,training_seed_or_data_batch,False
P-T,AN,composition,4,2,False,neighbor_weight,2.0,0.0,10,2.0,2.0,training_seed_or_data_batch,False
P-T,AN,composition,4,2,False,semantic_drift,0.08601599999999991,1.4628472785736255e-17,10,0.08601599999999991,0.08601599999999991,training_seed_or_data_batch,False
P-T,AN,composition,4,2,False,target_local_energy,0.03460799999999999,7.314236392868128e-18,10,0.03460799999999999,0.03460799999999999,training_seed_or_data_batch,False
P-T,AN,composition,4,2,False,target_path_derivative,-0.0026883908677135596,0.013290158761456264,10,-0.010490308586398588,0.00515007123889438,training_seed_or_data_batch,False
