condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
no_direction_check,41,58982,58368,19,1.9626655981489582
no_direction_check,41,65536,64512,21,1.9626655990413875
no_direction_check,41,72089,67584,22,1.9626655992333908
no_direction_check,41,78643,77824,24,1.9626655992333908
no_direction_check,41,85196,82944,25,1.962665599309372
no_direction_check,41,91750,89088,27,1.9626655994864044
no_direction_check,41,98304,97280,29,1.962665599545503
no_direction_check,41,104857,103424,31,1.9626655996306333
no_direction_check,41,111411,108544,32,1.9626655996493154
no_direction_check,41,117964,116736,34,1.96266559968993
no_direction_check,41,124518,121856,35,1.96266559968993
no_direction_check,41,131072,130048,37,1.96266559968993
no_direction_check,42,0,0,0,0.38375999999999993
no_direction_check,42,6553,6144,2,0.6262477335399744
no_direction_check,42,13107,12288,4,0.9259782772832065
no_direction_check,42,19660,18432,6,1.22225058611466
no_direction_check,42,26214,24576,8,1.487428517541219
no_direction_check,42,32768,30720,10,1.6890947017935072
no_direction_check,42,39321,36864,12,1.826374550727622
no_direction_check,42,45875,43008,14,1.9121140402742125
no_direction_check,42,52428,52224,17,1.9626633309095347
no_direction_check,42,58982,58368,19,1.9626655976161114
no_direction_check,42,65536,61440,20,1.9626655985020005
no_direction_check,42,72089,71680,22,1.9626655987638602
no_direction_check,42,78643,76800,23,1.9626655989583568
no_direction_check,42,85196,84992,25,1.9626655991793627
no_direction_check,42,91750,91136,27,1.9626655994305355
no_direction_check,42,98304,96256,28,1.9626655994736872
no_direction_check,42,104857,104448,30,1.9626655995679962
no_direction_check,42,111411,109568,31,1.9626655995943723
no_direction_check,42,117964,115712,33,1.9626655996646034
no_direction_check,42,124518,121856,35,1.9626655997163498
no_direction_check,42,131072,131072,38,1.9626655997680136
no_return_check,40,0,0,0,0.38376000000000016
no_return_check,40,6553,6144,3,0.7673134302405056
no_return_check,40,13107,12288,6,1.2402178686222713
no_return_check,40,19660,18432,9,1.5916612130455667
no_return_check,40,26214,24576,12,1.8290863072620642
no_return_check,40,32768,32768,16,1.956860615125839
no_return_check,40,39321,38912,19,1.9626655972939682
no_return_check,40,45875,45056,22,1.96266559914519
no_return_check,40,52428,51200,25,1.9626655994835223
no_return_check,40,58982,57344,28,1.9626655996319502
no_return_check,40,65536,65536,32,1.9626655997388298
no_return_check,40,72089,71680,35,1.9626655997849058
no_return_check,40,78643,77824,38,1.962665599815847
no_return_check,40,85196,83968,41,1.9626655998418108
no_return_check,40,91750,90112,44,1.962665599859885
no_return_check,40,98304,98304,48,1.962665599877906
no_return_check,40,104857,104448,51,1.9626655998884754
no_return_check,40,111411,110592,54,1.96266559989784
no_return_check,40,117964,116736,57,1.9626655999052454
no_return_check,40,124518,122880,60,1.962665599912076
no_return_check,40,131072,131072,64,1.9626655999194735
no_return_check,41,0,0,0,0.38376000000000016
no_return_check,41,6553,6144,3,0.7741157049883194
no_return_check,41,13107,12288,6,1.2125550154726072
no_return_check,41,19660,18432,9,1.582336509940009
