condition,seed,budget_checkpoint,model_source_episodes,model_round,expected_return
no_return_check,41,65536,64512,56,1.9626655991501996
no_return_check,41,72089,71424,62,1.9626655992706303
no_return_check,41,78643,78336,68,1.9626655993627817
no_return_check,41,85196,84096,73,1.9626655994219997
no_return_check,41,91750,91008,79,1.9626655994761606
no_return_check,41,98304,97920,85,1.9626655995258946
no_return_check,41,104857,104832,91,1.962665599566785
no_return_check,41,111411,110592,96,1.9626655995946454
no_return_check,41,117964,117504,102,1.9626655996228477
no_return_check,41,124518,124416,108,1.962665599649433
no_return_check,41,131072,130176,113,1.9626655996677382
no_return_check,42,0,0,0,0.38375999999999993
no_return_check,42,6553,5760,5,1.093015340325007
no_return_check,42,13107,12672,11,1.7980740520121925
no_return_check,42,19660,19584,17,1.9626643649935491
no_return_check,42,26214,25344,22,1.962665592975312
no_return_check,42,32768,32256,28,1.9626655968385813
no_return_check,42,39321,39168,34,1.9626655979758811
no_return_check,42,45875,44928,39,1.9626655984616743
no_return_check,42,52428,51840,45,1.962665598820659
no_return_check,42,58982,58752,51,1.9626655990273811
no_return_check,42,65536,64512,56,1.9626655991499236
no_return_check,42,72089,71424,62,1.9626655992585849
no_return_check,42,78643,78336,68,1.962665599338108
no_return_check,42,85196,84096,73,1.9626655994031992
no_return_check,42,91750,91008,79,1.9626655994577382
no_return_check,42,98304,97920,85,1.9626655995048774
no_return_check,42,104857,104832,91,1.9626655995438873
no_return_check,42,111411,110592,96,1.9626655995721694
no_return_check,42,117964,117504,102,1.9626655996008109
no_return_check,42,124518,124416,108,1.9626655996272886
no_return_check,42,131072,130176,113,1.9626655996478128
