experiment,method,label,oracle_label_group,seed,update,source_steps_total,source_steps_training,source_steps_critic,source_steps_direction_check,source_steps_return_check,source_steps_monitor,source_complete_episodes,agent_decisions,budget,training_return,monitor_return,exact_source_return_diagnostic,actual_return_gain_diagnostic,old_new_kl,baseline_kind,baseline_missing_states,entropy,seconds,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,direction_check_score,direction_check_mode,return_check_gain,return_check_mode,return_check_standard_error,critic_validation_mse,label_mse_against_exact_joint_advantage,critic_explained_variance,direction_error,direction_norm,exact_direction_score_diagnostic
T-L,SA,mc_learned_baseline,False,44,26,100432,6656,6656,26624,55296,5200,50216,200864,262144,0.8667187500000002,0.8424,0.884404854221889,0.007937557876403045,0.00010804964771669112,public_state_tabular_independent_mc,0,0.34804427809289984,1.2765109000029042,True,accepted_empirical,0.1,1,1.4108335867940873e-09,-0.02625335723365639,100,5.0,0.022587742480169492,empirical,0.005742187499999999,empirical,0.0033298317769591677,0.10155003622377348,0.04097764608964047,-0.004409019764862965,6.577034986291628e-05,0.02244269054461742,0.021599693275540902
T-L,SA,mc_learned_baseline,False,44,27,104216,6912,6912,27648,57344,5400,52108,208432,262144,0.8617968750000002,0.8654999999999999,0.891270712132078,0.0068658579101890105,8.921145592641455e-05,public_state_tabular_independent_mc,0,0.3417226864872057,1.3249498000368476,True,accepted_empirical,0.1,1,1.1579113887223662e-09,-0.022187689499312345,100,5.0,0.01129764383215542,empirical,0.009140625,empirical,0.004631750951627781,0.09291437251252949,0.03573531873033768,0.013923307411241037,3.3457325695716905e-05,0.018596939317960602,0.019560483090987617
T-L,SA,mc_learned_baseline,False,44,28,108000,7168,7168,28672,59392,5600,54000,216000,262144,0.8962500000000002,0.8654999999999999,0.8977514176079824,0.0064807054759044025,8.780559528368811e-05,public_state_tabular_independent_mc,0,0.335354111487422,1.3747436000267044,True,accepted_empirical,0.1,1,8.12127427252948e-10,-0.014897361936031493,100,5.0,0.026506021820700436,empirical,0.0011718750000000002,empirical,0.0011718750000000004,0.06061155007308381,0.020491928565116464,0.02283870868491822,2.024571079639076e-05,0.01822573957397507,0.01771729041714405
T-L,SA,mc_learned_baseline,False,44,29,111784,7424,7424,29696,61440,5800,55892,223568,262144,0.8617968750000001,0.9183000000000001,0.90341740507136,0.005665987463377653,7.409251406564037e-05,public_state_tabular_independent_mc,0,0.3296703989289157,1.4278541000094265,True,accepted_empirical,0.1,1,9.782394776836965e-10,-0.022807456964377377,100,5.0,0.00895593067653738,empirical,0.00345703125,empirical,0.0024283244799077467,0.09096358268229167,0.035759973689228106,0.0063279855168344445,9.984651020463585e-06,0.015441906404855939,0.01603271031222976
T-L,SA,mc_learned_baseline,False,44,30,115568,7680,7680,30720,63488,6000,57784,231136,262144,0.8732812500000001,0.9126000000000001,0.9087358469533051,0.00531844188194508,7.206783042575469e-05,public_state_tabular_independent_mc,0,0.32398784096828687,1.4762508000712842,True,accepted_empirical,0.1,1,9.691978329761305e-10,-0.020826694900466666,100,5.0,0.01712488440690357,empirical,0.00287109375,empirical,0.0026336286320183624,0.08157384596891734,0.030737166379696316,0.013889561763111957,2.7364450731202793e-05,0.014924072679291796,0.014509946574281361
T-L,SA,mc_learned_baseline,False,44,31,119352,7936,7936,31744,65536,6200,59676,238704,262144,0.9145312500000001,0.9216,0.9118211752045615,0.003085328251256403,4.2148390261142545e-05,public_state_tabular_independent_mc,0,0.32030803880265035,1.516276300069876,True,accepted_empirical,0.1,1,4.069168248539019e-10,-0.009090329618768331,100,5.0,0.015440811137887561,empirical,0.0017578125000000003,empirical,0.0013091700850443525,0.037267907714843757,0.010610325524594849,0.03559090098462092,0.004875742729266494,0.008675145968081029,0.008310015662596636
T-L,SA,mc_learned_baseline,False,44,32,121088,8192,8192,32768,65536,6400,60544,242176,262144,0.9262500000000002,0.9303,0.9118211752045615,0.0,0.0,public_state_tabular_independent_mc,0,0.32030803880265035,1.5375588000752032,False,direction_rejected,0.0,0,,-0.009209019333164925,100,5.0,-0.03408461838986358,empirical,,,,0.038506883260038996,0.011024108882904943,-0.0059324649268708285,0.0413874064116024,0.08201250319500483,-0.028890557530354632
T-L,SA,mc_learned_baseline,False,44,33,124872,8448,8448,33792,67584,6600,62436,249744,262144,0.9126562500000002,0.9042,0.9162617186258407,0.004440543421279197,5.835425514982513e-05,public_state_tabular_independent_mc,0,0.31539049772977196,1.5868541999952868,True,accepted_empirical,0.1,1,4.029785705087979e-10,-0.014289714961687317,100,5.0,0.0038030021558380146,empirical,0.0028710937500000004,empirical,0.00249960207525044,0.05627805174050575,0.021496799059624067,0.005882192167916966,1.1735360814652294e-05,0.012134916816432985,0.012485113520433121
T-L,SA,mc_learned_baseline,False,44,34,126608,8704,8704,34816,67584,6800,63304,253216,262144,0.8913281250000002,0.9098999999999999,0.9162617186258407,0.0,0.0,public_state_tabular_independent_mc,0,0.31539049772977196,1.6111439000815153,False,direction_rejected,0.0,0,,-0.011945130762219855,100,5.0,-0.03730499089132201,empirical,,,,0.05127048505057327,0.015629746702675792,0.019280469494025954,0.041884012504068396,0.07953241767381525,-0.030527294190451762
T-L,SA,mc_learned_baseline,False,44,35,132440,8960,8960,35840,71680,7000,66220,264880,262144,0.9215625000000002,0.9453000000000001,0.918733332860763,0.002471614234922259,2.050488921247883e-05,public_state_tabular_independent_mc,0,0.31263630044655666,1.680618799990043,True,accepted_empirical,0.05,2,4.4388557520652e-10,-0.00839662646448788,100,5.0,0.015670002948717895,empirical,0.0028710937500000004,empirical,0.0024996020752504396,0.03741086649802253,0.0106691013419512,0.028875690637591767,0.0012601392071104744,0.01672356427119111,0.010096579106506163
