round,source_steps,accepted,candidates,direction_pass,direction_score,train_J,critic_mse,train_value_target,explained_variance,return_difference,fit_kl_before,fit_kl_after,fit_kl_p95,fit_kl_max,target_below_floor,policy_step_kl,policy_entropy,update_seconds,method,seed,source_steps_total,train_discounted_return
27,89600,True,1,,,-136.85723066329956,2267.77197265625,-136.85723876953125,-6.186962127685547e-05,,0.0002740929776336998,3.903763717971742e-05,0.000126074708532542,0.00038514845073223114,0.0,0.00024680932983756065,1.6023013591766357,51.75114690000191,AN,40,89600,-136.85723066329956
28,92800,True,1,,,-148.9318504333496,7952.4091796875,-148.93185424804688,-2.9921531677246094e-05,,0.00019117431656923145,4.513350722845644e-05,0.00014539521362166852,0.0005398201756179333,0.0,0.00014821974036749452,1.6022857427597046,50.775360599625856,AN,40,92800,-148.9318504333496
29,96000,True,1,,,-153.66051292419434,2731.85693359375,-153.6605224609375,-3.7670135498046875e-05,,0.0004493518208619207,7.30996616766788e-05,0.00021641292551066726,0.0007603170815855265,0.0,0.00036255817394703627,1.604315161705017,53.029399500228465,AN,40,96000,-153.66051292419434
30,99200,True,1,,,-134.07945585250854,2166.605224609375,-134.07945251464844,-2.2292137145996094e-05,,5.574717215495184e-05,1.2171130947535858e-05,6.096030483604409e-05,0.00028609856963157654,0.0,4.1393028368474916e-05,1.6038166284561157,52.0044916998595,AN,40,99200,-134.07945585250854
31,102400,True,1,,,-134.39931201934814,2251.35888671875,-134.39930725097656,-6.902217864990234e-05,,0.0001995184284169227,4.270187855581753e-05,0.0001674201339483261,0.0006632758304476738,0.0,0.0001447522809030488,1.6045174598693848,52.08818329963833,AN,40,102400,-134.39931201934814
32,105600,True,1,,,-138.56119060516357,1326.207275390625,-138.56118774414062,-5.507469177246094e-05,,8.369511488126591e-05,2.7651838536257856e-05,0.0001569323503645137,0.0007486501708626747,0.0,5.379111098591238e-05,1.6041910648345947,51.9981901999563,AN,40,105600,-138.56119060516357
33,108800,True,1,,,-131.26156377792358,1417.2357177734375,-131.26156616210938,-2.872943878173828e-05,,0.00019666300795506686,3.914647822966799e-05,0.00014446258137468249,0.0005060643889009953,0.0,0.0001484063541283831,1.6049973964691162,52.201055199839175,AN,40,108800,-131.26156377792358
34,112000,True,1,,,-155.72927713394165,1236.063720703125,-155.72927856445312,-2.8133392333984375e-05,,0.0003607163089327514,4.204262586426921e-05,0.00014792659203521907,0.0005651805549860001,0.0,0.000315998651785776,1.6038035154342651,52.00039549963549,AN,40,112000,-155.72927713394165
35,115200,True,1,,,-138.45943212509155,790.8076171875,-138.45944213867188,-4.017353057861328e-05,,0.00021556390856858343,3.9505343011114746e-05,0.00015663386147934943,0.0005432786419987679,0.0,0.00016536557814106345,1.6047581434249878,51.82248410023749,AN,40,115200,-138.45943212509155
36,118400,True,1,,,-145.39070892333984,2799.663330078125,-145.3907012939453,-1.8596649169921875e-05,,0.00030530215008184314,5.438852167571895e-05,0.0001875716698123142,0.0006905158516019583,0.0,0.00023512793995905668,1.6038607358932495,51.942935900297016,AN,40,118400,-145.39070892333984
37,121600,True,1,,,-129.72680568695068,1693.57275390625,-129.726806640625,-2.956390380859375e-05,,0.0003507776418700814,3.491019015200436e-05,0.00012387348397169262,0.0007029864937067032,0.0,0.00030293315649032593,1.6025983095169067,50.77471939986572,AN,40,121600,-129.72680568695068
38,124800,True,1,,,-132.1827654838562,1645.8262939453125,-132.18276977539062,-1.5854835510253906e-05,,0.0002564734604675323,4.316300692153163e-05,0.00014915417705196887,0.0004846537485718727,0.0,0.00019891052215825766,1.6045289039611816,53.260041599627584,AN,40,124800,-132.1827654838562
39,128000,True,1,,,-144.94246292114258,1647.89599609375,-144.94247436523438,-2.562999725341797e-05,,0.00025075682788155973,4.853729114984162e-05,0.00018054935208056122,0.000680786557495594,0.0,0.00019071430142503232,1.6047766208648682,50.44214429985732,AN,40,128000,-144.94246292114258
40,131200,True,1,,,-128.7994146347046,866.8988647460938,-128.79940795898438,-1.9431114196777344e-05,,0.0001353483385173604,2.19307385123102e-05,8.069275645539165e-05,0.0002805241383612156,0.0,0.00010446021042298526,1.605223536491394,53.33331950008869,AN,40,131200,-128.7994146347046
41,136000,True,1,,,-137.633770942688,1439.9658203125,-137.63375854492188,-3.1828880310058594e-05,,0.00020364805823192,2.92470558633795e-05,0.00011115546658402309,0.000512951985001564,0.0,0.0002090843190671876,1.6052660942077637,52.12092859996483,AN,40,136000,-137.633770942688
42,139200,True,1,,,-147.30240726470947,2671.96435546875,-147.3024139404297,-1.728534698486328e-05,,0.00028792934608645737,3.933803964173421e-05,0.00011836494377348572,0.0003538811579346657,0.0,0.00023253307153936476,1.6052758693695068,51.81053099967539,AN,40,139200,-147.30240726470947
43,142400,True,1,,,-125.62823295593262,2544.85498046875,-125.62823486328125,-2.014636993408203e-05,,0.00015472965606022626,4.038468250655569e-05,0.000167758553288877,0.0005278405733406544,0.0,9.791841875994578e-05,1.6050277948379517,51.61759290006012,AN,40,142400,-125.62823295593262
44,145600,True,1,,,-125.27150869369507,1175.6572265625,-125.27151489257812,-2.205371856689453e-05,,0.0003069404629059136,3.63694089173805e-05,0.0001235753734363243,0.0006840452551841736,0.0,0.00027793244225904346,1.6040476560592651,51.98777470039204,AN,40,145600,-125.27150869369507
45,148800,True,1,,,-147.57438325881958,1157.729248046875,-147.57437133789062,-1.4662742614746094e-05,,0.000166761499713175,5.513773430720903e-05,0.0002372517337789759,0.0007890351116657257,0.0,0.00010379051673226058,1.6037611961364746,52.05357210012153,AN,40,148800,-147.57438325881958
46,152000,True,1,,,-135.1900177001953,1708.7564697265625,-135.19000244140625,-8.940696716308594e-06,,9.881275036605075e-05,1.3783313079329673e-05,6.280319212237373e-05,0.00036104535683989525,0.0,8.691586117492989e-05,1.6036536693572998,50.57002880005166,AN,40,152000,-135.1900177001953
47,155200,True,1,,,-138.44824075698853,2469.16796875,-138.4482421875,-1.1682510375976562e-05,,0.000120588178106118,3.196204124833457e-05,0.00012423304724507034,0.0005036918446421623,0.0,0.00010197097435593605,1.6041254997253418,53.00348659977317,AN,40,155200,-138.44824075698853
48,158400,True,1,,,-128.21595191955566,1033.968994140625,-128.2159423828125,-1.7404556274414062e-05,,0.00017103539721574634,3.3642645576037467e-05,0.00013286496687214822,0.0004734083195216954,0.0,0.0001339573209406808,1.6044855117797852,51.852067899890244,AN,40,158400,-128.21595191955566
49,161600,True,1,,,-137.35960960388184,2078.964599609375,-137.359619140625,-7.271766662597656e-06,,0.00038536175270564854,6.259106885408983e-05,0.0001810855756048113,0.0011502108536660671,0.0,0.00032176118111237884,1.6034287214279175,51.890194399748,AN,40,161600,-137.35960960388184
