round,source_steps,author_stats,critic_mse,explained_variance,train_value_target,ppo_kl,policy_entropy,clip_fraction,updates,accepted,candidates,direction_pass,direction_score,train_J,return_difference,fit_kl_before,fit_kl_after,fit_kl_p95,fit_kl_max,target_below_floor,update_seconds,method,seed,source_steps_total,train_discounted_return
24,80000,"{""value_loss"": 0.02348859398625791, ""policy_loss"": -0.008831785858501463, ""dist_entropy"": 1.5553909152746201, ""actor_grad_norm"": 0.08190157264471054, ""critic_grad_norm"": 0.035329777747392654, ""ratio"": 1.0007611513137817}",42.43790054321289,0.9468941146479701,-107.32124328613281,0.007827475666999817,1.5535072088241577,0.09539062529802322,40,True,0,,,-102.13448429107666,,,,,,,52.91701100021601,MAPPO-E,40,80000,-102.13448429107666
25,83200,"{""value_loss"": 0.02337279599159956, ""policy_loss"": -0.008970964624313637, ""dist_entropy"": 1.5466396719217301, ""actor_grad_norm"": 0.10912233591079712, ""critic_grad_norm"": 0.04643672704696655, ""ratio"": 1.0012307167053223}",40.29073715209961,0.9457015195560547,-109.54193115234375,0.008833012543618679,1.5423356294631958,0.11640624701976776,40,True,0,,,-105.44779205322266,,,,,,,53.649582399986684,MAPPO-E,40,83200,-105.44779205322266
26,86400,"{""value_loss"": 0.039326899126172064, ""policy_loss"": -0.007655658474686788, ""dist_entropy"": 1.5435771286487578, ""actor_grad_norm"": 0.09435831010341644, ""critic_grad_norm"": 0.0584837980568409, ""ratio"": 1.0004098415374756}",71.4448471069336,0.9059065597565918,-107.61266326904297,0.008847440592944622,1.5389978885650635,0.11179687082767487,40,True,0,,,-107.57380819320679,,,,,,,52.703018999658525,MAPPO-E,40,86400,-107.57380819320679
27,89600,"{""value_loss"": 0.021836256235837938, ""policy_loss"": -0.01121597581077367, ""dist_entropy"": 1.539024457335472, ""actor_grad_norm"": 0.13748274743556976, ""critic_grad_norm"": 0.04212194308638573, ""ratio"": 1.0017341375350952}",39.58354949951172,0.9363533255323467,-105.22523498535156,0.01198206190019846,1.5283277034759521,0.15742187201976776,40,True,0,,,-102.5030460357666,,,,,,,54.31751669989899,MAPPO-E,40,89600,-102.5030460357666
28,92800,"{""value_loss"": 0.017007054993882775, ""policy_loss"": -0.010844734907732346, ""dist_entropy"": 1.5167630523443223, ""actor_grad_norm"": 0.176608607172966, ""critic_grad_norm"": 0.023697717115283012, ""ratio"": 0.9992176294326782}",31.635009765625,0.9526692821945669,-103.48554229736328,0.010311676189303398,1.5186915397644043,0.13390624523162842,40,True,0,,,-98.62406826019287,,,,,,,53.11944769974798,MAPPO-E,40,92800,-98.62406826019287
29,96000,"{""value_loss"": 0.04269174188375473, ""policy_loss"": -0.012450062014977448, ""dist_entropy"": 1.5055702745914459, ""actor_grad_norm"": 0.16622214019298553, ""critic_grad_norm"": 0.050007082521915436, ""ratio"": 1.000986099243164}",76.26399993896484,0.8820070617678742,-102.9327621459961,0.010703654028475285,1.5060356855392456,0.13835936784744263,40,True,0,,,-104.15315866470337,,,,,,,53.13773630000651,MAPPO-E,40,96000,-104.15315866470337
30,99200,"{""value_loss"": 0.026413922617211937, ""policy_loss"": -0.011551263128058053, ""dist_entropy"": 1.5009691923856736, ""actor_grad_norm"": 0.1879751980304718, ""critic_grad_norm"": 0.042236488312482834, ""ratio"": 0.9996894001960754}",48.06747055053711,0.9207177104466451,-101.03333282470703,0.011434242129325867,1.4987064599990845,0.150390625,40,True,0,,,-102.4216890335083,,,,,,,53.00797939999029,MAPPO-E,40,99200,-102.4216890335083
31,102400,"{""value_loss"": 0.01964972955174744, ""policy_loss"": -0.012499308484802896, ""dist_entropy"": 1.4846487641334534, ""actor_grad_norm"": 0.2420666664838791, ""critic_grad_norm"": 0.021604547277092934, ""ratio"": 1.000280737876892}",36.584388732910156,0.9394436490446124,-101.61988067626953,0.012320750392973423,1.4751298427581787,0.1725781261920929,40,True,0,,,-94.8149356842041,,,,,,,51.86773489974439,MAPPO-E,40,102400,-94.8149356842041
32,105600,"{""value_loss"": 0.01611087820492685, ""policy_loss"": -0.012244683189783246, ""dist_entropy"": 1.4761082082986832, ""actor_grad_norm"": 0.27835750579833984, ""critic_grad_norm"": 0.019582577049732208, ""ratio"": 0.9987587928771973}",29.744976043701172,0.9483507415502141,-100.00663757324219,0.013459824956953526,1.462719440460205,0.17804686725139618,40,True,0,,,-96.71905422210693,,,,,,,52.88499870011583,MAPPO-E,40,105600,-96.71905422210693
33,108800,"{""value_loss"": 0.017728989571332933, ""policy_loss"": -0.013411209574405803, ""dist_entropy"": 1.4662238150835036, ""actor_grad_norm"": 0.2540592551231384, ""critic_grad_norm"": 0.02844119630753994, ""ratio"": 0.9988448023796082}",29.955551147460938,0.9491248509942324,-96.81124877929688,0.012432797811925411,1.4589104652404785,0.16468749940395355,40,True,0,,,-96.59777355194092,,,,,,,54.058868299704045,MAPPO-E,40,108800,-96.59777355194092
34,112000,"{""value_loss"": 0.012857056315988302, ""policy_loss"": -0.01400302205574917, ""dist_entropy"": 1.4819326788187026, ""actor_grad_norm"": 0.2453850954771042, ""critic_grad_norm"": 0.02273404970765114, ""ratio"": 0.9971815347671509}",23.124004364013672,0.9582755831054167,-95.78645324707031,0.015255996026098728,1.466838002204895,0.18882812559604645,40,True,0,,,-88.99294090270996,,,,,,,52.73365479987115,MAPPO-E,40,112000,-88.99294090270996
35,115200,"{""value_loss"": 0.012821915047243237, ""policy_loss"": -0.010805827498552389, ""dist_entropy"": 1.4544565767049789, ""actor_grad_norm"": 0.3660403788089752, ""critic_grad_norm"": 0.022790884599089622, ""ratio"": 0.9990240335464478}",23.541460037231445,0.9580733989849952,-95.17044067382812,0.017045902088284492,1.4485670328140259,0.21781249344348907,40,True,0,,,-89.29028987884521,,,,,,,51.695012600161135,MAPPO-E,40,115200,-89.29028987884521
36,118400,"{""value_loss"": 0.01845448762178421, ""policy_loss"": -0.01318431229883572, ""dist_entropy"": 1.456294709444046, ""actor_grad_norm"": 0.35933011770248413, ""critic_grad_norm"": 0.06026994064450264, ""ratio"": 1.0002878904342651}",30.176193237304688,0.9418814095636446,-92.90023803710938,0.013156436383724213,1.4501099586486816,0.1791406273841858,40,True,0,,,-99.1939926147461,,,,,,,53.34548099990934,MAPPO-E,40,118400,-99.1939926147461
37,121600,"{""value_loss"": 0.01766495602205396, ""policy_loss"": -0.01583965782326686, ""dist_entropy"": 1.4375475853681565, ""actor_grad_norm"": 0.33801034092903137, ""critic_grad_norm"": 0.04216628521680832, ""ratio"": 0.9992178082466125}",29.745811462402344,0.944276574727532,-92.15550231933594,0.016211509704589844,1.426469087600708,0.21382811665534973,40,True,0,,,-94.36087131500244,,,,,,,52.1901846001856,MAPPO-E,40,121600,-94.36087131500244
38,124800,"{""value_loss"": 0.02203084249049425, ""policy_loss"": -0.01372743876381719, ""dist_entropy"": 1.424500235915184, ""actor_grad_norm"": 0.4284706711769104, ""critic_grad_norm"": 0.034419141709804535, ""ratio"": 0.9970184564590454}",35.17731857299805,0.9329636157952668,-95.24057006835938,0.018060849979519844,1.4091883897781372,0.21875,40,True,0,,,-96.2864294052124,,,,,,,54.45865189982578,MAPPO-E,40,124800,-96.2864294052124
39,128000,"{""value_loss"": 0.024753050692379475, ""policy_loss"": -0.012202808952861233, ""dist_entropy"": 1.4146272897720338, ""actor_grad_norm"": 0.368484228849411, ""critic_grad_norm"": 0.05377281829714775, ""ratio"": 1.0004173517227173}",41.014068603515625,0.926271890208382,-93.46302795410156,0.016302041709423065,1.409365177154541,0.21937499940395355,40,True,0,,,-87.27723169326782,,,,,,,52.74892299994826,MAPPO-E,40,128000,-87.27723169326782
40,131200,"{""value_loss"": 0.010454613855108619, ""policy_loss"": -0.01619401354691945, ""dist_entropy"": 1.4080042243003845, ""actor_grad_norm"": 0.3632991313934326, ""critic_grad_norm"": 0.0439000204205513, ""ratio"": 1.0001739263534546}",16.726266860961914,0.9699028839502103,-91.39118957519531,0.016790857538580894,1.4085623025894165,0.1997656226158142,40,True,0,,,-82.77464413642883,,,,,,,51.67802820028737,MAPPO-E,40,131200,-82.77464413642883
41,136000,"{""value_loss"": 0.014276268426328897, ""policy_loss"": -0.017222171362664084, ""dist_entropy"": 1.3843142539262772, ""actor_grad_norm"": 0.42721977829933167, ""critic_grad_norm"": 0.04007473215460777, ""ratio"": 0.998055636882782}",19.44634246826172,0.9662978936306577,-91.69039916992188,0.01580696366727352,1.3716500997543335,0.2010156214237213,40,True,0,,,-92.12304210662842,,,,,,,53.051737499888986,MAPPO-E,40,136000,-92.12304210662842
42,139200,"{""value_loss"": 0.008700851094909012, ""policy_loss"": -0.01664308366989644, ""dist_entropy"": 1.3486788064241408, ""actor_grad_norm"": 0.477434366941452, ""critic_grad_norm"": 0.034289609640836716, ""ratio"": 0.9983022809028625}",13.204120635986328,0.9758049794762704,-91.60919189453125,0.015820400789380074,1.354386568069458,0.19249999523162842,40,True,0,,,-92.08725547790527,,,,,,,53.287971899844706,MAPPO-E,40,139200,-92.08725547790527
