method,seed,requested_kl,variant,check_episodes,repeats,candidate_p_0,candidate_p_1,actual_kl,exact_return_gain,return_class,direction_gate_applicable,return_accept_rate,return_false_accept_rate,return_false_reject_rate,all_zero_pair_rate,return_check_steps,direction_check_steps,exact_direction_score,direction_accept_rate,direction_false_accept_rate,direction_false_reject_rate,reject_positive_return_rate
AN,1015,0.0003,original,8,100,0.30267783462533837,0.714192573243501,0.00030000000000002437,0.026509381071536275,positive,True,0.89,,0.10999999999999999,0.73,16,8,0.06630182043415443,0.59,,0.41000000000000003,0.41000000000000003
AN,1015,0.0003,original,32,100,0.30267783462533837,0.714192573243501,0.00030000000000002437,0.026509381071536275,positive,True,0.73,,0.27,0.31,64,32,0.06630182043415443,0.73,,0.27,0.27
AN,1015,0.0003,original,128,100,0.30267783462533837,0.714192573243501,0.00030000000000002437,0.026509381071536275,positive,True,0.72,,0.28,0.0,256,128,0.06630182043415443,0.89,,0.10999999999999999,0.10999999999999999
AN,1015,0.0003,original,512,100,0.30267783462533837,0.714192573243501,0.00030000000000002437,0.026509381071536275,positive,True,0.93,,0.06999999999999995,0.0,1024,512,0.06630182043415443,0.99,,0.010000000000000009,0.010000000000000009
AN,1015,0.0003,reversed,8,100,0.2973357547237116,0.6854130919745025,0.0003053835070020036,-0.02417547152565175,negative,True,0.82,0.82,,0.71,16,8,-0.21473217713826204,0.15,0.15,,
AN,1015,0.0003,reversed,32,100,0.2973357547237116,0.6854130919745025,0.0003053835070020036,-0.02417547152565175,negative,True,0.55,0.55,,0.26,64,32,-0.21473217713826204,0.05,0.05,,
AN,1015,0.0003,reversed,128,100,0.2973357547237116,0.6854130919745025,0.0003053835070020036,-0.02417547152565175,negative,True,0.29,0.29,,0.01,256,128,-0.21473217713826204,0.0,0.0,,
AN,1015,0.0003,reversed,512,100,0.2973357547237116,0.6854130919745025,0.0003053835070020036,-0.02417547152565175,negative,True,0.14,0.14,,0.0,1024,512,-0.21473217713826204,0.0,0.0,,
AN,1015,0.0003,near_zero,8,100,0.3000002671059356,0.7000014392650522,3.027195323881984e-12,2.5383494167141585e-06,positive,True,1.0,,0.0,1.0,16,8,1.4050957726837304e-05,0.83,,0.17000000000000004,0.17000000000000004
AN,1015,0.0003,near_zero,32,100,0.3000002671059356,0.7000014392650522,3.027195323881984e-12,2.5383494167141585e-06,positive,True,1.0,,0.0,1.0,64,32,1.4050957726837304e-05,0.86,,0.14,0.14
AN,1015,0.0003,near_zero,128,100,0.3000002671059356,0.7000014392650522,3.027195323881984e-12,2.5383494167141585e-06,positive,True,1.0,,0.0,1.0,256,128,1.4050957726837304e-05,1.0,,0.0,0.0
AN,1015,0.0003,near_zero,512,100,0.3000002671059356,0.7000014392650522,3.027195323881984e-12,2.5383494167141585e-06,positive,True,1.0,,0.0,1.0,1024,512,1.4050957726837304e-05,1.0,,0.0,0.0
SA,1015,0.0003,original,8,100,0.30268102534026625,0.7141921848628473,0.0003000000000000473,0.026509642628423535,positive,True,0.89,,0.10999999999999999,0.73,16,8,0.06628301006667978,0.59,,0.41000000000000003,0.41000000000000003
SA,1015,0.0003,original,32,100,0.30268102534026625,0.7141921848628473,0.0003000000000000473,0.026509642628423535,positive,True,0.73,,0.27,0.31,64,32,0.06628301006667978,0.73,,0.27,0.27
SA,1015,0.0003,original,128,100,0.30268102534026625,0.7141921848628473,0.0003000000000000473,0.026509642628423535,positive,True,0.72,,0.28,0.0,256,128,0.06628301006667978,0.89,,0.10999999999999999,0.10999999999999999
SA,1015,0.0003,original,512,100,0.30268102534026625,0.7141921848628473,0.0003000000000000473,0.026509642628423535,positive,True,0.93,,0.06999999999999995,0.0,1024,512,0.06628301006667978,0.99,,0.010000000000000009,0.010000000000000009
SA,1015,0.0003,reversed,8,100,0.29733259632989045,0.6854135022366596,0.00030538297456472963,-0.024175049412914817,negative,True,0.82,0.82,,0.71,16,8,-0.21539082947587038,0.15,0.15,,
SA,1015,0.0003,reversed,32,100,0.29733259632989045,0.6854135022366596,0.00030538297456472963,-0.024175049412914817,negative,True,0.55,0.55,,0.26,64,32,-0.21539082947587038,0.05,0.05,,
SA,1015,0.0003,reversed,128,100,0.29733259632989045,0.6854135022366596,0.00030538297456472963,-0.024175049412914817,negative,True,0.29,0.29,,0.01,256,128,-0.21539082947587038,0.0,0.0,,
SA,1015,0.0003,reversed,512,100,0.29733259632989045,0.6854135022366596,0.00030538297456472963,-0.024175049412914817,negative,True,0.14,0.14,,0.0,1024,512,-0.21539082947587038,0.0,0.0,,
SA,1015,0.0003,near_zero,8,100,0.3000002674233978,0.7000014392250957,3.027169153147364e-12,2.538341327906757e-06,positive,True,1.0,,0.0,1.0,16,8,1.4082946438030462e-05,0.83,,0.17000000000000004,0.17000000000000004
SA,1015,0.0003,near_zero,32,100,0.3000002674233978,0.7000014392250957,3.027169153147364e-12,2.538341327906757e-06,positive,True,1.0,,0.0,1.0,64,32,1.4082946438030462e-05,0.86,,0.14,0.14
SA,1015,0.0003,near_zero,128,100,0.3000002674233978,0.7000014392250957,3.027169153147364e-12,2.538341327906757e-06,positive,True,1.0,,0.0,1.0,256,128,1.4082946438030462e-05,1.0,,0.0,0.0
SA,1015,0.0003,near_zero,512,100,0.3000002674233978,0.7000014392250957,3.027169153147364e-12,2.538341327906757e-06,positive,True,1.0,,0.0,1.0,1024,512,1.4082946438030462e-05,1.0,,0.0,0.0
DA,1015,0.0003,original,8,100,0.31288120551411913,0.7099904290523258,0.00030000000000001174,0.021724649733706358,positive,False,0.85,,0.15000000000000002,0.71,16,0,,,,,
DA,1015,0.0003,original,32,100,0.31288120551411913,0.7099904290523258,0.00030000000000001174,0.021724649733706358,positive,False,0.7,,0.30000000000000004,0.3,64,0,,,,,
DA,1015,0.0003,original,128,100,0.31288120551411913,0.7099904290523258,0.00030000000000001174,0.021724649733706358,positive,False,0.64,,0.36,0.0,256,0,,,,,
DA,1015,0.0003,original,512,100,0.31288120551411913,0.7099904290523258,0.00030000000000001174,0.021724649733706358,positive,False,0.87,,0.13,0.0,1024,0,,,,,
DA,1015,0.0003,reversed,8,100,0.28742727422786846,0.6898157713014542,0.0002993686667702802,-0.018026849715942206,negative,False,0.76,0.76,,0.71,16,0,,,,,
DA,1015,0.0003,reversed,32,100,0.28742727422786846,0.6898157713014542,0.0002993686667702802,-0.018026849715942206,negative,False,0.55,0.55,,0.27,64,0,,,,,
DA,1015,0.0003,reversed,128,100,0.28742727422786846,0.6898157713014542,0.0002993686667702802,-0.018026849715942206,negative,False,0.33,0.33,,0.01,256,0,,,,,
DA,1015,0.0003,reversed,512,100,0.28742727422786846,0.6898157713014542,0.0002993686667702802,-0.018026849715942206,negative,False,0.18,0.18,,0.0,1024,0,,,,,
DA,1015,0.0003,near_zero,8,100,0.30000127290076745,0.7000010088328072,2.997028905897111e-12,1.987679910608886e-06,positive,False,1.0,,0.0,1.0,16,0,,,,,
DA,1015,0.0003,near_zero,32,100,0.30000127290076745,0.7000010088328072,2.997028905897111e-12,1.987679910608886e-06,positive,False,1.0,,0.0,1.0,64,0,,,,,
DA,1015,0.0003,near_zero,128,100,0.30000127290076745,0.7000010088328072,2.997028905897111e-12,1.987679910608886e-06,positive,False,1.0,,0.0,1.0,256,0,,,,,
DA,1015,0.0003,near_zero,512,100,0.30000127290076745,0.7000010088328072,2.997028905897111e-12,1.987679910608886e-06,positive,False,1.0,,0.0,1.0,1024,0,,,,,
AN,1016,0.0003,original,8,100,0.302880998015154,0.7141669022550895,0.00030000000000000095,0.026524303343630096,positive,True,0.87,,0.13,0.71,16,8,0.06639004005625579,0.65,,0.35,0.35
AN,1016,0.0003,original,32,100,0.302880998015154,0.7141669022550895,0.00030000000000000095,0.026524303343630096,positive,True,0.74,,0.26,0.24,64,32,0.06639004005625579,0.76,,0.24,0.24
AN,1016,0.0003,original,128,100,0.302880998015154,0.7141669022550895,0.00030000000000000095,0.026524303343630096,positive,True,0.83,,0.17000000000000004,0.0,256,128,0.06639004005625579,0.92,,0.07999999999999996,0.07999999999999996
AN,1016,0.0003,original,512,100,0.302880998015154,0.7141669022550895,0.00030000000000000095,0.026524303343630096,positive,True,0.9,,0.09999999999999998,0.0,1024,512,0.06639004005625579,0.98,,0.020000000000000018,0.020000000000000018
AN,1016,0.0003,reversed,8,100,0.29713472550888737,0.6854402079333629,0.00030534816957779494,-0.02414699534127973,negative,True,0.79,0.79,,0.74,16,8,-0.1897030866745271,0.17,0.17,,
AN,1016,0.0003,reversed,32,100,0.29713472550888737,0.6854402079333629,0.00030534816957779494,-0.02414699534127973,negative,True,0.58,0.58,,0.3,64,32,-0.1897030866745271,0.05,0.05,,
AN,1016,0.0003,reversed,128,100,0.29713472550888737,0.6854402079333629,0.00030534816957779494,-0.02414699534127973,negative,True,0.29,0.29,,0.0,256,128,-0.1897030866745271,0.0,0.0,,
AN,1016,0.0003,reversed,512,100,0.29713472550888737,0.6854402079333629,0.00030534816957779494,-0.02414699534127973,negative,True,0.11,0.11,,0.0,1024,512,-0.1897030866745271,0.0,0.0,,
AN,1016,0.0003,near_zero,8,100,0.3000002873160345,0.7000014366241023,3.0270455266981848e-12,2.537666396795757e-06,positive,True,1.0,,0.0,1.0,16,8,1.2804039771306052e-05,0.76,,0.24,0.24
AN,1016,0.0003,near_zero,32,100,0.3000002873160345,0.7000014366241023,3.0270455266981848e-12,2.537666396795757e-06,positive,True,1.0,,0.0,1.0,64,32,1.2804039771306052e-05,0.88,,0.12,0.12
