experiment,method,label,oracle_label_group,seed,update,source_steps_total,source_steps_training,source_steps_critic,source_steps_direction_check,source_steps_return_check,source_steps_monitor,source_complete_episodes,agent_decisions,budget,training_return,monitor_return,exact_source_return_diagnostic,actual_return_gain_diagnostic,old_new_kl,baseline_kind,baseline_missing_states,entropy,seconds,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,direction_check_score,direction_check_mode,critic_validation_mse,label_mse_against_exact_joint_advantage,critic_explained_variance,direction_error,direction_norm,exact_direction_score_diagnostic
T-L,AN,mc_learned_baseline,False,46,132,229152,33792,33792,135168,0,26400,114576,458304,262144,1.03359375,1.0050000000000001,1.0199666868623152,0.0004072369919199126,3.1054189828031672e-06,public_state_tabular_independent_mc,0,0.1072443136659762,5.421011499944143,True,accepted_return_check_disabled,0.1,1,4.3588051094686674e-11,-0.000632470973033089,100,5.0,0.0019505016855706726,empirical,0.0023263549804687514,8.164009815132078e-05,0.10816028078385487,0.0008060356480092282,0.000628704695444555,0.001536065450429054
T-L,AN,mc_learned_baseline,False,46,133,230888,34048,34048,136192,0,26600,115444,461776,262144,1.0127343750000002,1.0230000000000001,1.0199666868623152,0.0,0.0,public_state_tabular_independent_mc,0,0.1072443136659762,5.442215699935332,False,direction_rejected,0.0,0,,-0.04419789096400053,100,5.0,-0.00256824863768785,empirical,0.018225317382812502,0.0053092876045049385,0.006715767165054842,0.0037299565419906017,0.0074093586837360205,-0.0014082715315891989
T-L,AN,mc_learned_baseline,False,46,134,232624,34304,34304,137216,0,26800,116312,465248,262144,1.0195312500000002,1.0200000000000002,1.0207067245496617,0.0007400376873465397,1.0434330581365051e-05,public_state_tabular_independent_mc,0,0.10512012649546247,5.483359799953178,True,accepted_return_check_disabled,0.1,1,2.194617422665175e-10,-0.002064890211681169,100,5.0,0.0019960643476004914,empirical,0.004130859375,4.073709360714675e-05,0.01975667332485942,0.00048556716628736854,0.0020856025259681915,0.0018361178441140338
T-L,AN,mc_learned_baseline,False,46,135,234360,34560,34560,138240,0,27000,117180,468720,262144,1.0195312500000002,1.0110000000000001,1.0214463942807233,0.000739669731061543,1.063984451461665e-05,public_state_tabular_independent_mc,0,0.10298243693934682,5.525794900022447,True,accepted_return_check_disabled,0.1,1,5.684668310020848e-11,-0.002122018443182672,100,5.0,0.001039245701120814,empirical,0.004108886718750003,1.3949056393014078e-06,0.0223715271472672,0.0004909351170232251,0.0021369792876520933,0.0017932025899807694
T-L,AN,mc_learned_baseline,False,46,136,236096,34816,34816,139264,0,27200,118048,472192,262144,1.021875,1.038,1.0221418236127724,0.0006954293320491356,9.564967535398933e-06,public_state_tabular_independent_mc,0,0.10096062722577112,5.5693044000072405,True,accepted_return_check_disabled,0.1,1,2.366439549651944e-10,-0.0018928578913978225,100,5.0,0.002018368854906512,empirical,0.0041557223989943815,0.0003414707680078257,0.018939893943658803,0.0004716170597638107,0.001910256411074025,0.001774415962957882
T-L,AN,mc_learned_baseline,False,46,137,237832,35072,35072,140288,0,27400,118916,475664,262144,1.0265625000000003,1.0350000000000001,1.0227086995688812,0.0005668759561088255,6.492666765283662e-06,public_state_tabular_independent_mc,0,0.09930114228852269,5.607260699965991,True,accepted_return_check_disabled,0.1,1,5.206546816289425e-11,-0.0012897927451698372,100,5.0,0.0016755819423576613,empirical,0.003251953124999999,2.638597211805362e-06,0.050008930166101306,0.0005059798005611341,0.0013004282520051344,0.0017033699921198031
T-L,AN,mc_learned_baseline,False,46,138,239568,35328,35328,141312,0,27600,119784,479136,262144,1.0242187500000002,1.0290000000000001,1.0233262879273912,0.0006175883585100017,7.788868764678173e-06,public_state_tabular_independent_mc,0,0.09748608556143568,5.646300500025973,True,accepted_return_check_disabled,0.1,1,5.655015501364107e-11,-0.0015884777636493872,100,5.0,0.0018212638549120867,empirical,0.0042311466139190014,0.0006636385531800705,0.028845890855617395,0.0004631493135151251,0.0015786322666702364,0.001716192365980256
T-L,AN,mc_learned_baseline,False,46,139,241304,35584,35584,142336,0,27800,120652,482608,262144,1.0265625000000003,1.0203000000000002,1.0239075136665288,0.0005812257391375475,7.082961595480434e-06,public_state_tabular_independent_mc,0,0.0957643879490808,5.686510999919847,True,accepted_return_check_disabled,0.1,1,1.8690332128307505e-10,-0.0014572299091873489,100,5.0,0.0021783344444477903,empirical,0.0032409667968750014,3.0138645085521974e-06,0.05161636006429682,0.0004809191017333006,0.001442360363016193,0.0016646832314285017
T-L,AN,mc_learned_baseline,False,46,140,243040,35840,35840,143360,0,28000,121520,486080,262144,1.0101562500000003,1.0026000000000002,1.0248731207550164,0.0009656070884875856,2.0103694207637397e-05,public_state_tabular_independent_mc,0,0.09288126457278909,5.733272099983878,True,accepted_return_check_disabled,0.1,1,4.066864150417511e-11,-0.0040596051475248855,100,5.0,0.0002596244506396296,empirical,0.005457458496093757,3.5459116330358406e-05,-0.021414969972170184,0.001010185943093359,0.004062331599455889,0.001103919075722301
T-L,AN,mc_learned_baseline,False,46,141,244776,36096,36096,144384,0,28200,122388,489552,262144,1.0195312500000002,1.0290000000000001,1.0256282760608404,0.0007551553058240401,1.264378705381106e-05,public_state_tabular_independent_mc,0,0.09060596306845249,5.774726000032388,True,accepted_return_check_disabled,0.1,1,1.7186266430230755e-10,-0.0025233707069615215,100,5.0,0.0015619685725319268,empirical,0.004150085449218752,4.818973478618735e-06,0.017468676230252833,0.0005801737179407188,0.002536922509055203,0.001480817781374301
T-L,AN,mc_learned_baseline,False,46,142,246512,36352,36352,145408,0,28400,123256,493024,262144,1.0148437500000003,1.032,1.026475768303232,0.0008474922423915565,1.6399229714840967e-05,public_state_tabular_independent_mc,0,0.08803010056336256,5.820249199983664,True,accepted_return_check_disabled,0.1,1,3.2415581476191045e-10,-0.0033815910610936442,100,5.0,0.000970111595103853,empirical,0.004699401855468752,5.422196415053094e-06,0.0070292507531338755,0.0008123033255819891,0.0033507906145003714,0.0012064667029798612
T-L,AN,mc_learned_baseline,False,46,143,248248,36608,36608,146432,0,28600,124124,496496,262144,1.0312500000000002,1.0320000000000003,1.0269590904414818,0.00048332213824986425,5.452189642472889e-06,public_state_tabular_independent_mc,0,0.08655015343869919,5.881703799939714,True,accepted_return_check_disabled,0.1,1,3.530218868208334e-11,-0.0010843703592123008,100,5.0,0.0014401290493543082,empirical,0.0026806640625000036,8.305363111029367e-05,0.07711864406779645,0.000500646660538158,0.0010928103263734973,0.001470024390343274
T-L,AN,mc_learned_baseline,False,46,144,249984,36864,36864,147456,0,28800,124992,499968,262144,1.0312500000000002,1.0290000000000001,1.0274407117346898,0.00048162129320794556,5.514969792617593e-06,public_state_tabular_independent_mc,0,0.0850672710930604,5.922197000007145,True,accepted_return_check_disabled,0.1,1,1.0342474920496736e-12,-0.0011105431463682167,100,5.0,0.0010173846816511263,empirical,0.0026806640625000036,7.698753538088851e-05,0.07711864406779656,0.0004930655648636309,0.0011122047743824164,0.0014498362589202187
T-L,AN,mc_learned_baseline,False,46,145,251720,37120,37120,148480,0,29000,125860,503440,262144,1.0242187500000002,1.026,1.0280934513443754,0.0006527396096855931,1.0374251283614042e-05,public_state_tabular_independent_mc,0,0.08304419290013425,5.96312199998647,True,accepted_return_check_disabled,0.1,1,3.877321048472511e-12,-0.002105218901351484,100,5.0,0.0016412793582258314,empirical,0.0036694335937500046,7.092360888587995e-05,0.021552617399593132,0.0005270093220826087,0.0020990329281232027,0.0013879763979117036
