experiment,method,seed,variant,source_n,target_n,target_plus_type_probability,coverage_class,support_covered,density_ratio,neighbor_weight,semantic_drift,target_local_energy,target_path_derivative,target_normalized_path_derivative,old_return,return,return_gain,source_steps_total,source_steps_training,source_steps_direction_check,source_steps_return_check,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,direction_check_score,direction_check_mode,return_check_gain,return_check_mode,return_check_standard_error,target_true_coefficient_0,target_true_coefficient_1,frozen_actor_p_0,frozen_actor_p_1,source_direction_error,source_realization_residual,target_direction_error,transport_error_upper_bound,normalized_derivative_lower_bound,bound_object,direction_status
P-T,SA,47,normalized,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.262346958542801,0.06558673963570025,0.28159999999999996,0.3085764143038884,0.02697641430388842,2072,2048,8,16,True,accepted_empirical,0.1,1,6.724434391939425e-10,-0.06671321865537991,100,5.0,0.2616962224620297,empirical,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.2983569922511727,0.7151367071727549,0.0032914706920814827,1.3654130219359945e-07,0.0033223155975008077,0.003334006369904547,0.05163488831113486,specified_source_logit_path_through_finite_candidate,
P-T,SA,47,normalized,4,6,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.3935204378142015,0.06558673963570025,0.42239999999999994,0.4628646214558326,0.04046462145583268,2072,2048,8,16,True,accepted_empirical,0.1,1,6.724434391939425e-10,-0.06671321865537991,100,5.0,0.2616962224620297,empirical,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.2983569922511727,0.7151367071727549,0.0032914706920814827,1.3654130219359945e-07,0.0033223155975008077,0.003334006369904547,0.05163488831113486,specified_source_logit_path_through_finite_candidate,
P-T,SA,47,fixed-edge,4,2,0.6,A_finite_supported,True,1.0,0.6666666666666666,0.00955733333333331,0.033077333333333334,0.09464765946007907,0.047323829730039534,0.13226666666666667,0.14178173617247122,0.009515069505804552,2072,2048,8,16,True,accepted_empirical,0.1,1,6.724434391939425e-10,-0.06671321865537991,100,5.0,0.2616962224620297,empirical,0.0,empirical,0.0,-0.04666666666666674,0.2533333333333333,0.2983569922511727,0.7151367071727549,0.0032914706920814827,1.3654130219359945e-07,0.006397468742155672,0.024181018212856162,0.004795827012664209,specified_source_logit_path_through_finite_candidate,
P-T,SA,47,fixed-edge,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.262346958542801,0.06558673963570025,0.28159999999999996,0.3085764143038884,0.02697641430388842,2072,2048,8,16,True,accepted_empirical,0.1,1,6.724434391939425e-10,-0.06671321865537991,100,5.0,0.2616962224620297,empirical,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.2983569922511727,0.7151367071727549,0.0032914706920814827,1.3654130219359945e-07,0.0033223155975008077,0.003334006369904547,0.05163488831113486,specified_source_logit_path_through_finite_candidate,
P-T,SA,47,fixed-edge,4,6,0.6,A_finite_supported,True,1.0,3.333333333333333,0.009557333333333307,0.11909333333333315,0.5030978972481659,0.08384964954136098,0.44799999999999984,0.5003840343942515,0.052384034394251655,2072,2048,8,16,True,accepted_empirical,0.1,1,6.724434391939425e-10,-0.06671321865537991,100,5.0,0.2616962224620297,empirical,0.0,empirical,0.0,0.16666666666666632,0.46666666666666634,0.2983569922511727,0.7151367071727549,0.0032914706920814827,1.3654130219359945e-07,0.019361829119512557,0.024181018212856144,0.06542958334916715,specified_source_logit_path_through_finite_candidate,
P-T,SA,47,composition,4,2,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,0.02010206246420604,0.01005103123210302,0.1248,0.1269995343055823,0.0021995343055823124,2072,2048,8,16,True,accepted_empirical,0.1,1,6.724434391939425e-10,-0.06671321865537991,100,5.0,0.2616962224620297,empirical,0.0,empirical,0.0,-0.26,0.03999999999999998,0.2983569922511727,0.7151367071727549,0.0032914706920814827,1.3654130219359945e-07,0.060247637314473426,0.1324979371178013,-0.03310823592442855,specified_source_logit_path_through_finite_candidate,
P-T,SA,47,composition,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.262346958542801,0.06558673963570025,0.28159999999999996,0.3085764143038884,0.02697641430388842,2072,2048,8,16,True,accepted_empirical,0.1,1,6.724434391939425e-10,-0.06671321865537991,100,5.0,0.2616962224620297,empirical,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.2983569922511727,0.7151367071727549,0.0032914706920814827,1.3654130219359945e-07,0.0033223155975008077,0.003334006369904547,0.05163488831113486,specified_source_logit_path_through_finite_candidate,
P-T,SA,47,composition,4,6,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,0.060306187392618116,0.01005103123210302,0.3744,0.3809986029167469,0.00659860291674691,2072,2048,8,16,True,accepted_empirical,0.1,1,6.724434391939425e-10,-0.06671321865537991,100,5.0,0.2616962224620297,empirical,0.0,empirical,0.0,-0.26,0.03999999999999998,0.2983569922511727,0.7151367071727549,0.0032914706920814827,1.3654130219359945e-07,0.060247637314473426,0.1324979371178013,-0.03310823592442855,specified_source_logit_path_through_finite_candidate,
P-T,DA,47,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.3527292726736877,0.17636463633684385,0.14079999999999998,0.1750811569918792,0.034281156991879225,2064,2048,0,16,True,accepted_empirical,0.1,1,,,,,,,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.2561638153773553,0.7438362391019042,,,,,,,not_applicable
P-T,DA,47,normalized,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.7054585453473754,0.17636463633684385,0.28159999999999996,0.3501623139837584,0.06856231398375845,2064,2048,0,16,True,accepted_empirical,0.1,1,,,,,,,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.2561638153773553,0.7438362391019042,,,,,,,not_applicable
P-T,DA,47,normalized,4,6,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,1.058187818021063,0.17636463633684385,0.42239999999999994,0.5252434709756376,0.10284347097563767,2064,2048,0,16,True,accepted_empirical,0.1,1,,,,,,,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.2561638153773553,0.7438362391019042,,,,,,,not_applicable
P-T,DA,47,fixed-edge,4,2,0.6,A_finite_supported,True,1.0,0.6666666666666666,0.00955733333333331,0.033077333333333334,0.3135370351982368,0.1567685175991184,0.13226666666666667,0.16239717520298452,0.03013050853631785,2064,2048,0,16,True,accepted_empirical,0.1,1,,,,,,,0.0,empirical,0.0,-0.04666666666666674,0.2533333333333333,0.2561638153773553,0.7438362391019042,,,,,,,not_applicable
