target,seed,n_agents,type0_probability,rho,source_dataset_sha256,source_error,target_error,direction_shift,coverage_kappa,neighbor_variation,shift_bound,transport_bound,mechanism_transport_bound,bound_holds,team_return,return_per_agent
agents_2,1009,2,0.6,0.7,0225806418b207af5967a3d8bbc091b6159d2234a1309859ab45786f987cd27a,0.00015953477456895517,0.00015953477456895517,0.0,1.0,0.0,0.0,0.00015953477456895517,0.00015953477456895517,True,0.47952000000000006,0.23976000000000003
agents_6,1009,6,0.6,0.7,0225806418b207af5967a3d8bbc091b6159d2234a1309859ab45786f987cd27a,0.00015953477456895517,0.00015953477456895517,0.0,1.0,0.0,0.0,0.00015953477456895517,0.00015953477456895517,True,1.4385600000000003,0.23976000000000006
agents_8,1009,8,0.6,0.7,0225806418b207af5967a3d8bbc091b6159d2234a1309859ab45786f987cd27a,0.00015953477456895517,0.00015953477456895517,0.0,1.0,0.0,0.0,0.00015953477456895517,0.00015953477456895517,True,1.9180800000000002,0.23976000000000003
composition_0.3,1009,4,0.3,0.7,0225806418b207af5967a3d8bbc091b6159d2234a1309859ab45786f987cd27a,0.00015953477456895517,0.004027748857017524,0.002540160000000004,1.7499999999999998,0.41999999999999993,0.17639999999999995,0.004503598500078293,0.19071462456035077,True,1.04616,0.26154
composition_0.9,1009,4,0.9,0.7,0225806418b207af5967a3d8bbc091b6159d2234a1309859ab45786f987cd27a,0.00015953477456895517,0.002801372073389369,0.002540160000000004,1.5,0.42000000000000004,0.17640000000000003,0.004338777113303101,0.18963359342393402,True,0.9626400000000004,0.2406600000000001
strength_0.0,1009,4,0.6,0.0,0225806418b207af5967a3d8bbc091b6159d2234a1309859ab45786f987cd27a,0.00015953477456895517,0.06059782840914674,0.06547968,1.0,0.7,0.48999999999999994,0.07210335771471107,0.5078425254196819,True,0.5760000000000001,0.14400000000000002
strength_0.35,1009,4,0.6,0.35,0225806418b207af5967a3d8bbc091b6159d2234a1309859ab45786f987cd27a,0.00015953477456895517,0.014008761591857854,0.01636992000000001,1.0,0.35,0.12249999999999998,0.01976152624464003,0.1315010300971254,True,0.7675200000000001,0.19188000000000002
strength_1.4,1009,4,0.6,1.4,0225806418b207af5967a3d8bbc091b6159d2234a1309859ab45786f987cd27a,0.00015953477456895517,0.07068060113999118,0.06547968000000001,1.0,0.7,0.48999999999999994,0.07210335771471107,0.5078425254196819,True,1.3420800000000002,0.33552000000000004
source,1010,4,0.6,0.7,7e29f39e948ce14a78a2affe4d242aeeec0d409312b7b96eaeae27db0f240217,1.4575883639278824e-05,1.4575883639278824e-05,0.0,1.0,0.0,0.0,1.4575883639278824e-05,1.4575883639278824e-05,True,0.9590400000000001,0.23976000000000003
agents_2,1010,2,0.6,0.7,7e29f39e948ce14a78a2affe4d242aeeec0d409312b7b96eaeae27db0f240217,1.4575883639278824e-05,1.4575883639278824e-05,0.0,1.0,0.0,0.0,1.4575883639278824e-05,1.4575883639278824e-05,True,0.47952000000000006,0.23976000000000003
