experiment,method,seed,variant,source_n,target_n,target_plus_type_probability,coverage_class,support_covered,density_ratio,neighbor_weight,semantic_drift,target_local_energy,target_path_derivative,target_normalized_path_derivative,old_return,return,return_gain,source_steps_total,source_steps_training,source_steps_direction_check,source_steps_return_check,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,return_check_gain,return_check_mode,return_check_standard_error,target_true_coefficient_0,target_true_coefficient_1,frozen_actor_p_0,frozen_actor_p_1,source_direction_error,source_realization_residual,target_direction_error,transport_error_upper_bound,normalized_derivative_lower_bound,bound_object,direction_status
P-T,SA,43,normalized,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.2505330918449202,0.06263327296123004,0.28159999999999996,0.3074939175670343,0.025893917567034352,2064,2048,0,16,True,accepted_empirical,0.1,1,4.666860832758518e-09,-0.06059437424711007,100,5.0,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.30014748588505225,0.7142794506712357,0.0011920939680745285,9.604318518321126e-07,0.00118845273666781,0.001260727881211594,0.05736974118725366,specified_source_logit_path_through_finite_candidate,
P-T,SA,43,normalized,4,6,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.37579963776738023,0.06263327296123004,0.42239999999999994,0.46124087635055144,0.0388408763505515,2064,2048,0,16,True,accepted_empirical,0.1,1,4.666860832758518e-09,-0.06059437424711007,100,5.0,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.30014748588505225,0.7142794506712357,0.0011920939680745285,9.604318518321126e-07,0.00118845273666781,0.001260727881211594,0.05736974118725366,specified_source_logit_path_through_finite_candidate,
P-T,SA,43,fixed-edge,4,2,0.6,A_finite_supported,True,1.0,0.6666666666666666,0.00955733333333331,0.033077333333333334,0.0879408040630071,0.04397040203150355,0.13226666666666667,0.14113601198156223,0.008869345314895555,2064,2048,0,16,True,accepted_empirical,0.1,1,4.666860832758518e-09,-0.06059437424711007,100,5.0,0.0,empirical,0.0,-0.04666666666666674,0.2533333333333333,0.30014748588505225,0.7142794506712357,0.0011920939680745285,9.604318518321126e-07,0.005063527929454194,0.01776045175480299,0.008839586267151554,specified_source_logit_path_through_finite_candidate,
P-T,SA,43,fixed-edge,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.2505330918449202,0.06263327296123004,0.28159999999999996,0.3074939175670343,0.025893917567034352,2064,2048,0,16,True,accepted_empirical,0.1,1,4.666860832758518e-09,-0.06059437424711007,100,5.0,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.30014748588505225,0.7142794506712357,0.0011920939680745285,9.604318518321126e-07,0.00118845273666781,0.001260727881211594,0.05736974118725366,specified_source_logit_path_through_finite_candidate,
P-T,SA,43,fixed-edge,4,6,0.6,A_finite_supported,True,1.0,3.333333333333333,0.009557333333333307,0.11909333333333315,0.4877768633457392,0.08129614389095653,0.44799999999999984,0.49907371675641615,0.05107371675641631,2064,2048,0,16,True,accepted_empirical,0.1,1,4.666860832758518e-09,-0.06059437424711007,100,5.0,0.0,empirical,0.0,0.16666666666666632,0.46666666666666634,0.30014748588505225,0.7142794506712357,0.0011920939680745285,9.604318518321126e-07,0.01642804421054804,0.017760451754802984,0.07310255816063864,specified_source_logit_path_through_finite_candidate,
P-T,SA,43,composition,4,2,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,0.008348334279871802,0.004174167139935901,0.1248,0.12589099887427346,0.0010909988742734689,2064,2048,0,16,True,accepted_empirical,0.1,1,4.666860832758518e-09,-0.06059437424711007,100,5.0,0.0,empirical,0.0,-0.26,0.03999999999999998,0.30014748588505225,0.7142794506712357,0.0011920939680745285,9.604318518321126e-07,0.06621444990218947,0.11341506344995304,-0.028042367244541955,specified_source_logit_path_through_finite_candidate,
P-T,SA,43,composition,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.2505330918449202,0.06263327296123004,0.28159999999999996,0.3074939175670343,0.025893917567034352,2064,2048,0,16,True,accepted_empirical,0.1,1,4.666860832758518e-09,-0.06059437424711007,100,5.0,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.30014748588505225,0.7142794506712357,0.0011920939680745285,9.604318518321126e-07,0.00118845273666781,0.001260727881211594,0.05736974118725366,specified_source_logit_path_through_finite_candidate,
P-T,SA,43,composition,4,6,0.4,A_finite_supported,True,1.4999999999999998,2.0,0.08601599999999993,0.034608,0.025045002839615405,0.004174167139935901,0.3744,0.3776729966228204,0.003272996622820379,2064,2048,0,16,True,accepted_empirical,0.1,1,4.666860832758518e-09,-0.06059437424711007,100,5.0,0.0,empirical,0.0,-0.26,0.03999999999999998,0.30014748588505225,0.7142794506712357,0.0011920939680745285,9.604318518321126e-07,0.06621444990218947,0.11341506344995304,-0.028042367244541955,specified_source_logit_path_through_finite_candidate,
P-T,DA,43,normalized,4,2,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.4524515580254629,0.22622577901273144,0.14079999999999998,0.2050645238633782,0.06426452386337822,2064,2048,0,16,True,accepted_empirical,0.1,1,,,,,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.3609254968424846,0.7438362389341115,,,,,,,not_applicable
P-T,DA,43,normalized,4,4,0.6,A_finite_supported,True,1.0,2.0,0.0,0.06652799999999993,0.9049031160509258,0.22622577901273144,0.28159999999999996,0.4101290477267564,0.12852904772675644,2064,2048,0,16,True,accepted_empirical,0.1,1,,,,,0.0,empirical,0.0,0.059999999999999803,0.3599999999999998,0.3609254968424846,0.7438362389341115,,,,,,,not_applicable
