experiment,method,label,actor_class,sample_episodes,fit_steps,direction_method,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-A,DA,mc_raw,table,2048,100,,False,source_steps_total,2548.0,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,100,,False,actual_return_gain,2.8709478981975636,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,100,,False,realized_path_derivative,0.9049030561492681,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,100,,False,old_new_kl,0.5540464163956104,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,100,,False,candidate_p_0,0.8712643516449539,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,100,,False,candidate_p_1,0.9541024344665147,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1000,AN,False,source_steps_total,2548.0,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1000,AN,False,eta,0.1,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1000,AN,False,ideal_return_gain,0.02624840661190414,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1000,AN,False,actual_return_gain,0.02624840661190414,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1000,AN,False,learned_direction_derivative,0.25388684134834383,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1000,AN,False,projected_direction_derivative,0.25388684134834383,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1000,AN,False,realized_path_derivative,0.2538868413483436,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1000,AN,False,forward_kl_training,0.0,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1000,AN,False,forward_kl_validation,0.0,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1000,AN,False,forward_kl_exact,0.0,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1000,AN,False,old_new_kl,0.00030494372230922926,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1000,AN,False,direction_realization_residual,4.9583197622226844e-31,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1000,AN,False,seconds,0.0617492999881506,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1000,AN,False,learned_q_0,0.0028363028342749024,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1000,AN,False,learned_q_1,0.3495068919309249,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1000,AN,False,candidate_p_0,0.300119138232329,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,table,2048,1000,AN,False,candidate_p_1,0.7144710877557197,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,1000,,False,source_steps_total,2548.0,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,1000,,False,actual_return_gain,4.003070306030303,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,1000,,False,realized_path_derivative,2.294086050972295,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,1000,,False,old_new_kl,2.1718173386889035,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,1000,,False,candidate_p_0,0.996969928051375,,1,,,training_seed_or_data_batch,True
P-A,DA,mc_raw,table,2048,1000,,False,candidate_p_1,0.9983917914226913,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,source_steps_total,2548.0,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,eta,0.1,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,ideal_return_gain,0.02624840661190414,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,actual_return_gain,0.012670926588024545,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,learned_direction_derivative,0.25388684134834383,,1,,,training_seed_or_data_batch,True
P-A,AN,mc_raw,shared_offset,2048,1,AN,False,projected_direction_derivative,0.1700202924340823,,1,,,training_seed_or_data_batch,True
