suite,condition,seed,dir_count,dir_reject,return_reject,false_reject,bad_candidates,declines,check_fraction,last5_gain,final_return,budget_normalized_auc,seconds,cost_1.95,cost_1.96
suite_20260917_073641_674847,no_direction_check,40,0,0,24,4,0,0,0.9568627450980393,3.233344703090779e-10,1.962665597912492,1.7469303849214939,43.714161900104955,43264,43264
suite_20260917_073641_674847,no_direction_check,41,0,0,21,0,0,0,0.953125,3.047699870251108e-10,1.9626655983754335,1.7928566197610991,48.817848100094125,34816,34816
suite_20260917_073641_674847,no_direction_check,42,0,0,18,4,0,0,0.953125,1.723421405586123e-10,1.9626655984215189,1.7866812801347929,48.309550300007686,34816,34816
suite_20260917_073641_674847,no_return_check,40,113,0,0,0,0,0,0.8888888888888888,1.6312062811607575e-11,1.962665599663842,1.8709513656080035,95.39251110004261,18432,19584
suite_20260917_073641_674847,no_return_check,41,113,0,0,0,0,0,0.8888888888888888,1.8305135185414656e-11,1.9626655996677382,1.8739407408998117,94.42797299986705,18432,18432
suite_20260917_073641_674847,no_return_check,42,113,0,0,0,0,0,0.8888888888888888,2.052424896703542e-11,1.9626655996478128,1.8743758966734196,94.73503379989415,17280,18432
suite_20260917_084754_226808,ours,40,33,0,17,0,0,0,0.967032967032967,2.2901813778730684e-10,1.9626655986863613,1.8217539076155094,32.046968099894,28800,28800
suite_20260917_084754_226808,ours,41,33,0,17,2,0,0,0.967551622418879,3.384659219562991e-10,1.9626655987703165,1.8209205842167386,30.60903439996764,30848,30848
suite_20260917_084754_226808,ours,42,32,0,20,0,0,0,0.96875,1.8764634290846516e-10,1.9626655985849644,1.8257079342669091,32.66868819994852,25600,25600
suite_20260917_084754_226808,no_direction_check,40,0,0,28,0,0,0,0.9587426326129665,1.3163070633481766e-10,1.962665599001029,1.8688480329233277,37.658805300015956,17408,19584
suite_20260917_084754_226808,no_direction_check,41,0,0,24,0,0,0,0.9559255631733594,1.2302270313568897e-10,1.9626655992255804,1.869819293888935,38.56492100004107,17408,17408
suite_20260917_084754_226808,no_direction_check,42,0,0,22,2,0,0,0.9549902152641878,5.589928520066678e-11,1.9626655992521007,1.8658239466875297,43.505426299991086,17408,23808
suite_20260917_084754_226808,no_return_check,40,113,0,0,0,0,0,0.8888888888888888,8.051781463791485e-12,1.9626655998235354,1.9113164030547252,85.94305339991115,9216,10368
suite_20260917_084754_226808,no_return_check,41,113,0,0,0,0,0,0.8888888888888888,8.882672375420952e-12,1.962665599825755,1.914831719251281,82.29316220013425,9216,9216
suite_20260917_084754_226808,no_return_check,42,113,0,0,0,0,0,0.8888888888888888,9.564571357145724e-12,1.9626655998206322,1.9127193503954505,81.49523040000349,10368,10368
suite_20260917_085818_967224,ours,40,30,0,5,0,0,0,0.7619047619047619,2.3931967518819874e-10,1.9626655996307192,1.6357626514027919,87.43373539997265,65536,69632
suite_20260917_085818_967224,ours,41,29,0,11,4,0,0,0.7734375,4.1983261311884235e-10,1.962665599382351,1.636769946202927,82.57833149982616,71680,71680
suite_20260917_085818_967224,ours,42,28,0,11,1,0,0,0.78125,8.899578851639944e-10,1.9626655993302713,1.6376015299455804,83.26056400011294,65536,71680
suite_20260917_085818_967224,no_direction_check,40,0,0,17,3,0,0,0.7244094488188977,7.83733078435489e-11,1.9626655995924291,1.725034898774203,115.8789540999569,49152,49152
suite_20260917_085818_967224,no_direction_check,41,0,0,14,0,0,0,0.7086614173228346,4.0614622776047327e-11,1.96266559968993,1.7246400334143877,105.80255390005186,46080,49152
suite_20260917_085818_967224,no_direction_check,42,0,0,9,0,0,0,0.703125,1.0341016931647573e-10,1.9626655997680136,1.7180562654828009,106.41035709995776,49152,52224
suite_20260917_085818_967224,no_return_check,40,64,0,0,0,0,0,0.5,9.664491429361988e-12,1.9626655999194735,1.800241970171054,173.98433790006675,32768,34816
suite_20260917_085818_967224,no_return_check,41,64,0,0,0,0,0,0.5,9.954703727999004e-12,1.9626655999175984,1.7981232876622486,165.2067106999457,32768,34816
suite_20260917_085818_967224,no_return_check,42,64,0,0,0,0,0,0.5,9.64073265663501e-12,1.9626655999196319,1.8005759709731368,173.8174417000264,32768,34816
suite_20260917_091832_859045,ours,40,27,0,13,2,0,0,0.7857142857142857,9.342171480852812e-11,1.9626655998154883,1.784234182241962,83.2803420999553,32768,38912
suite_20260917_091832_859045,ours,41,27,0,18,2,0,0,0.7890625,1.1673595423644656e-10,1.9626655997343045,1.7813931962943779,83.49677490000613,32768,36864
suite_20260917_091832_859045,ours,42,27,0,13,0,0,0,0.7890625,7.954259473308412e-11,1.96266559980343,1.7824723525583426,92.64941329997964,32768,36864
suite_20260917_091832_859045,no_direction_check,40,0,0,21,0,0,0,0.7401574803149606,2.4515944829772707e-11,1.9626655998284381,1.830858879572929,101.46078060008585,24576,27648
suite_20260917_091832_859045,no_direction_check,41,0,0,17,0,0,0,0.7244094488188977,1.3242074103914092e-11,1.9626655998693305,1.8305097308911666,102.87022130005062,24576,27648
suite_20260917_091832_859045,no_direction_check,42,0,0,14,2,0,0,0.71875,3.9086289760348336e-11,1.962665599886652,1.826216673062115,113.9533140999265,24576,32768
suite_20260917_091832_859045,no_return_check,40,64,0,0,0,0,0,0.5,4.167555189837913e-12,1.962665599958983,1.870330058647169,162.8372483998537,18432,18432
suite_20260917_091832_859045,no_return_check,41,64,0,0,0,0,0,0.5,4.211742066217994e-12,1.9626655999590672,1.873205844811249,166.71334980009124,16384,18432
suite_20260917_091832_859045,no_return_check,42,64,0,0,0,0,0,0.5,4.174660617195514e-12,1.9626655999589735,1.8713205894351643,170.28186349989846,16384,18432
suite_20260917_160336_474853,ours,40,55,0,30,0,0,0,0.78515625,1.6546541914408408e-11,1.962665599833562,1.799214125579009,173.24613679992035,65536,69632
suite_20260917_160336_474853,ours,41,56,0,24,4,0,0,0.78125,2.0910162490395123e-11,1.9626655998589053,1.799717772960593,167.3269301999826,71680,71680
suite_20260917_160336_474853,ours,42,53,0,31,1,0,0,0.7913385826771654,2.4904300843786586e-11,1.9626655998144535,1.800133564792282,175.42771920002997,65536,71680
suite_20260917_160336_474853,sampled,40,55,0,30,0,0,0,0.78515625,1.5517365170580888e-11,1.962665599844402,1.7998951178230347,158.36535800015554,65536,69632
suite_20260917_160336_474853,sampled,41,56,0,24,4,0,0,0.78125,2.0223600571966927e-11,1.96266559986225,1.7998620262195517,176.06782510015182,71680,71680
suite_20260917_160336_474853,sampled,42,53,0,31,1,0,0,0.7913385826771654,2.4021673539209587e-11,1.9626655998149483,1.8004646542936344,156.94138279999606,65536,71680
suite_20260917_160336_474853,pg,40,0,0,0,0,0,0,0.0,4.284821237732217e-05,1.961242732645375,1.8712656308413242,94.68883770005777,57344,169984
suite_20260917_160336_474853,pg,41,0,0,0,0,0,0,0.0,3.8822057139897836e-05,1.961403473004614,1.870523773809672,94.78976180008613,56320,158720
suite_20260917_160336_474853,pg,42,0,0,0,0,0,0,0.0,3.7835867629398834e-05,1.9614968652740956,1.8736114654809521,94.44627499999478,55296,152576
