round,source_episodes,round_source_episodes,direction_passed,candidate_count,fit_kl,accepted,experiment,method,label,seed,source_steps_total
87,175456,1380,,1,1.0674761727135989e-13,True,P-L,AN,mc_learned_baseline,44,175456
88,176836,1380,,1,5.108949343528783e-13,True,P-L,AN,mc_learned_baseline,44,176836
89,180264,3428,,3,1.1148679275723456e-13,True,P-L,AN,mc_learned_baseline,44,180264
90,181644,1380,,1,1.2326483126842798e-13,True,P-L,AN,mc_learned_baseline,44,181644
91,183024,1380,,1,1.9550049135932667e-13,True,P-L,AN,mc_learned_baseline,44,183024
92,184404,1380,,1,7.688754265913828e-14,True,P-L,AN,mc_learned_baseline,44,184404
93,185784,1380,,1,1.821057670688799e-13,True,P-L,AN,mc_learned_baseline,44,185784
94,187164,1380,,1,4.9868220142803373e-14,True,P-L,AN,mc_learned_baseline,44,187164
95,188544,1380,,1,1.9288535367447183e-13,True,P-L,AN,mc_learned_baseline,44,188544
96,189924,1380,,1,1.2665722597761338e-13,True,P-L,AN,mc_learned_baseline,44,189924
97,192328,2404,,2,5.5970263420714184e-14,True,P-L,AN,mc_learned_baseline,44,192328
98,194732,2404,,2,1.3244187424246337e-13,True,P-L,AN,mc_learned_baseline,44,194732
99,196112,1380,,1,3.920067065452021e-14,True,P-L,AN,mc_learned_baseline,44,196112
100,197492,1380,,1,1.0170107387285542e-13,True,P-L,AN,mc_learned_baseline,44,197492
101,199896,2404,,2,1.3442861582725795e-13,True,P-L,AN,mc_learned_baseline,44,199896
102,201276,1380,,1,8.150101497166392e-14,True,P-L,AN,mc_learned_baseline,44,201276
103,202656,1380,,1,4.693572565027774e-13,True,P-L,AN,mc_learned_baseline,44,202656
104,205060,2404,,2,1.0264176900272313e-13,True,P-L,AN,mc_learned_baseline,44,205060
105,206440,1380,,1,3.3204732782804535e-13,True,P-L,AN,mc_learned_baseline,44,206440
106,209868,3428,,3,2.140316469158904e-13,False,P-L,AN,mc_learned_baseline,44,209868
107,211248,1380,,1,1.7129999017768004e-11,True,P-L,AN,mc_learned_baseline,44,211248
108,214676,3428,,3,3.308840500324258e-14,False,P-L,AN,mc_learned_baseline,44,214676
109,217080,2404,,2,1.3920201490517788e-13,True,P-L,AN,mc_learned_baseline,44,217080
110,218460,1380,,1,2.0515338301554585e-13,True,P-L,AN,mc_learned_baseline,44,218460
111,219840,1380,,1,6.270966714394953e-14,True,P-L,AN,mc_learned_baseline,44,219840
112,221220,1380,,1,1.3629094914061726e-14,True,P-L,AN,mc_learned_baseline,44,221220
113,224648,3428,,3,3.202116575240264e-14,True,P-L,AN,mc_learned_baseline,44,224648
114,226028,1380,,1,4.927676654798333e-14,True,P-L,AN,mc_learned_baseline,44,226028
115,228432,2404,,2,1.798536689219542e-14,True,P-L,AN,mc_learned_baseline,44,228432
116,231860,3428,,3,3.2229440181563756e-13,True,P-L,AN,mc_learned_baseline,44,231860
117,233240,1380,,1,8.050346420990581e-14,True,P-L,AN,mc_learned_baseline,44,233240
118,234620,1380,,1,9.613424067345781e-14,True,P-L,AN,mc_learned_baseline,44,234620
119,237024,2404,,2,2.6583130389054893e-13,True,P-L,AN,mc_learned_baseline,44,237024
120,238404,1380,,1,3.8745318402772536e-13,True,P-L,AN,mc_learned_baseline,44,238404
121,239784,1380,,1,6.1717516866117e-14,True,P-L,AN,mc_learned_baseline,44,239784
122,241164,1380,,1,1.9777570330036859e-13,True,P-L,AN,mc_learned_baseline,44,241164
123,242544,1380,,1,4.959338528999184e-14,True,P-L,AN,mc_learned_baseline,44,242544
124,243924,1380,,1,6.912556270955942e-14,True,P-L,AN,mc_learned_baseline,44,243924
125,247352,3428,,3,1.201289385578397e-13,True,P-L,AN,mc_learned_baseline,44,247352
126,249756,2404,,2,6.342244754677834e-15,True,P-L,AN,mc_learned_baseline,44,249756
127,251136,1380,,1,8.132540011119822e-14,True,P-L,AN,mc_learned_baseline,44,251136
128,252516,1380,,1,9.797529242704766e-14,True,P-L,AN,mc_learned_baseline,44,252516
129,253896,1380,,1,2.00703936191615e-14,True,P-L,AN,mc_learned_baseline,44,253896
130,256300,2404,,2,8.954269965678385e-14,True,P-L,AN,mc_learned_baseline,44,256300
131,259728,3428,,3,3.315275033661015e-13,False,P-L,AN,mc_learned_baseline,44,259728
132,262132,2404,,2,1.643019145938711e-14,True,P-L,AN,mc_learned_baseline,44,262132
1,1480,1380,,1,5.337179387149787e-09,True,P-L,SA,mc_learned_baseline,44,1480
2,2860,1380,,1,5.222277301654913e-10,True,P-L,SA,mc_learned_baseline,44,2860
3,5264,2404,,2,4.6713081327445805e-11,True,P-L,SA,mc_learned_baseline,44,5264
4,6644,1380,,1,1.7052616141503195e-09,True,P-L,SA,mc_learned_baseline,44,6644
5,8024,1380,,1,1.192450847840917e-09,True,P-L,SA,mc_learned_baseline,44,8024
6,9404,1380,,1,1.3789776450687968e-08,True,P-L,SA,mc_learned_baseline,44,9404
7,10784,1380,,1,2.1618860106485698e-08,True,P-L,SA,mc_learned_baseline,44,10784
8,12164,1380,,1,1.5278327510863313e-08,True,P-L,SA,mc_learned_baseline,44,12164
9,13544,1380,,1,1.4763066620023418e-08,True,P-L,SA,mc_learned_baseline,44,13544
10,15948,2404,,2,5.666745396412943e-09,True,P-L,SA,mc_learned_baseline,44,15948
11,17328,1380,,1,1.0753463844143694e-08,True,P-L,SA,mc_learned_baseline,44,17328
12,18708,1380,,1,1.4349592387455126e-08,True,P-L,SA,mc_learned_baseline,44,18708
13,20088,1380,,1,2.6561717630022182e-08,True,P-L,SA,mc_learned_baseline,44,20088
14,21468,1380,,1,3.7657898975268236e-08,True,P-L,SA,mc_learned_baseline,44,21468
15,22848,1380,,1,2.963914536025959e-08,True,P-L,SA,mc_learned_baseline,44,22848
16,24228,1380,,1,7.898837370203795e-08,True,P-L,SA,mc_learned_baseline,44,24228
17,25608,1380,,1,2.3919851830515878e-08,True,P-L,SA,mc_learned_baseline,44,25608
18,26988,1380,,1,1.1151226051258574e-08,True,P-L,SA,mc_learned_baseline,44,26988
19,28368,1380,,1,5.953305823487679e-08,True,P-L,SA,mc_learned_baseline,44,28368
20,29748,1380,,1,4.9111350609308453e-08,True,P-L,SA,mc_learned_baseline,44,29748
21,31128,1380,,1,4.052460982049659e-08,True,P-L,SA,mc_learned_baseline,44,31128
22,32508,1380,,1,3.6388027615458083e-08,True,P-L,SA,mc_learned_baseline,44,32508
23,33888,1380,,1,2.2076139580835833e-08,True,P-L,SA,mc_learned_baseline,44,33888
24,35268,1380,,1,1.2850810955783872e-08,True,P-L,SA,mc_learned_baseline,44,35268
25,36648,1380,,1,1.325236621624492e-08,True,P-L,SA,mc_learned_baseline,44,36648
26,38028,1380,,1,1.137023416989324e-08,True,P-L,SA,mc_learned_baseline,44,38028
27,39408,1380,,1,7.331363320311658e-10,True,P-L,SA,mc_learned_baseline,44,39408
28,41812,2404,,2,6.428904247744127e-10,True,P-L,SA,mc_learned_baseline,44,41812
29,43192,1380,,1,9.801912724927617e-10,True,P-L,SA,mc_learned_baseline,44,43192
30,46620,3428,,3,7.372244424212189e-11,True,P-L,SA,mc_learned_baseline,44,46620
31,48000,1380,,1,1.6908189069876295e-09,True,P-L,SA,mc_learned_baseline,44,48000
32,49380,1380,,1,1.6389204052111325e-09,True,P-L,SA,mc_learned_baseline,44,49380
33,51784,2404,,2,5.395237069869107e-10,True,P-L,SA,mc_learned_baseline,44,51784
34,53164,1380,,1,8.100297120819016e-10,True,P-L,SA,mc_learned_baseline,44,53164
35,56592,3428,,3,5.219104632414794e-13,False,P-L,SA,mc_learned_baseline,44,56592
36,57972,1380,,1,1.57245103107436e-09,True,P-L,SA,mc_learned_baseline,44,57972
37,59352,1380,,1,9.830370866395126e-13,True,P-L,SA,mc_learned_baseline,44,59352
38,61756,2404,,2,6.2382142004775214e-12,True,P-L,SA,mc_learned_baseline,44,61756
39,65184,3428,,3,6.442675849301059e-11,False,P-L,SA,mc_learned_baseline,44,65184
40,66564,1380,,1,4.855710926572323e-12,True,P-L,SA,mc_learned_baseline,44,66564
41,67944,1380,,1,5.850391753224162e-12,True,P-L,SA,mc_learned_baseline,44,67944
42,70348,2404,,2,1.355568062569992e-10,True,P-L,SA,mc_learned_baseline,44,70348
43,73776,3428,,3,1.1245893695731634e-10,False,P-L,SA,mc_learned_baseline,44,73776
44,75156,1380,,1,1.972905880540984e-09,True,P-L,SA,mc_learned_baseline,44,75156
45,78584,3428,,3,7.015559053650514e-11,False,P-L,SA,mc_learned_baseline,44,78584
46,82012,3428,,3,1.590669736415241e-11,False,P-L,SA,mc_learned_baseline,44,82012
47,83392,1380,,1,6.18045352009786e-11,True,P-L,SA,mc_learned_baseline,44,83392
48,86820,3428,,3,1.815206086726347e-11,False,P-L,SA,mc_learned_baseline,44,86820
49,88200,1380,,1,1.7573153255345626e-10,True,P-L,SA,mc_learned_baseline,44,88200
50,89580,1380,,1,5.320360237705725e-13,True,P-L,SA,mc_learned_baseline,44,89580
51,90960,1380,,1,6.327273490205736e-10,True,P-L,SA,mc_learned_baseline,44,90960
52,94388,3428,,3,2.045368131232479e-11,False,P-L,SA,mc_learned_baseline,44,94388
53,96792,2404,,2,1.336632654235538e-12,True,P-L,SA,mc_learned_baseline,44,96792
54,98172,1380,,1,9.314609591107824e-13,True,P-L,SA,mc_learned_baseline,44,98172
55,99552,1380,,1,9.309101920476979e-13,True,P-L,SA,mc_learned_baseline,44,99552
56,101956,2404,,2,1.1432444378244693e-12,True,P-L,SA,mc_learned_baseline,44,101956
57,104360,2404,,2,6.19875988011308e-14,True,P-L,SA,mc_learned_baseline,44,104360
58,106764,2404,,2,1.3609953879839723e-13,True,P-L,SA,mc_learned_baseline,44,106764
59,110192,3428,,3,1.3295698203099666e-12,True,P-L,SA,mc_learned_baseline,44,110192
60,111572,1380,,1,1.3400780006229172e-12,True,P-L,SA,mc_learned_baseline,44,111572
61,112952,1380,,1,8.190517128521075e-13,True,P-L,SA,mc_learned_baseline,44,112952
62,114332,1380,,1,2.1625330301358996e-12,True,P-L,SA,mc_learned_baseline,44,114332
63,115712,1380,,1,2.058662538427041e-12,True,P-L,SA,mc_learned_baseline,44,115712
64,117092,1380,,1,2.2706349641010404e-13,True,P-L,SA,mc_learned_baseline,44,117092
65,120520,3428,,3,1.5691434905874738e-12,False,P-L,SA,mc_learned_baseline,44,120520
66,121900,1380,,1,1.1005028057049427e-12,True,P-L,SA,mc_learned_baseline,44,121900
67,123280,1380,,1,1.4245109312819132e-10,True,P-L,SA,mc_learned_baseline,44,123280
68,125684,2404,,2,4.027673171276094e-13,True,P-L,SA,mc_learned_baseline,44,125684
69,127064,1380,,1,1.2752888518733346e-09,True,P-L,SA,mc_learned_baseline,44,127064
70,128444,1380,,1,2.3178256731738954e-12,True,P-L,SA,mc_learned_baseline,44,128444
71,131872,3428,,3,9.314446059046436e-15,False,P-L,SA,mc_learned_baseline,44,131872
72,135300,3428,,3,7.737370179980993e-13,True,P-L,SA,mc_learned_baseline,44,135300
73,136680,1380,,1,1.1702242240695723e-12,True,P-L,SA,mc_learned_baseline,44,136680
74,138060,1380,,1,1.4449948046549837e-10,True,P-L,SA,mc_learned_baseline,44,138060
75,139440,1380,,1,2.4273533644076046e-15,True,P-L,SA,mc_learned_baseline,44,139440
76,142868,3428,,3,1.389544439697635e-12,False,P-L,SA,mc_learned_baseline,44,142868
77,146296,3428,,3,3.5339740171602556e-13,True,P-L,SA,mc_learned_baseline,44,146296
78,147676,1380,,1,3.294553727087584e-13,True,P-L,SA,mc_learned_baseline,44,147676
79,151104,3428,,3,2.769764682360584e-13,False,P-L,SA,mc_learned_baseline,44,151104
