target,condition,seed,n_agents,type0_probability,interaction_strength,team_return,per_agent_return,optimal_team_return,optimality_gap_per_agent,action1_type0,action1_type1
source,pg,103,4,0.6,0.7,1.961364345145383,0.49034108628634576,1.9626655999999998,0.00032531371365418504,0.010186071956618447,0.9897465961085615
source,pg,104,4,0.6,0.7,1.9614077293883487,0.4903519323470872,1.9626655999999998,0.00031446765291276435,0.01017775059315579,0.989751998537728
source,pg,105,4,0.6,0.7,1.9613075314884085,0.49032688287210213,1.9626655999999998,0.00033951712789781485,0.010190098217407666,0.9897296296932431
source,pg,106,4,0.6,0.7,1.9614252506286034,0.49035631265715085,1.9626655999999998,0.0003100873428490969,0.0101740042288877,0.9897536250895091
source,pg,107,4,0.6,0.7,1.9612919019201265,0.4903229754800316,1.9626655999999998,0.00034342451996832724,0.010193766055735824,0.9897286478213768
source,pg,108,4,0.6,0.7,1.961341683546903,0.49033542088672577,1.9626655999999998,0.00033097911327417684,0.010188691076486952,0.989741287170835
source,pg,109,4,0.6,0.7,1.961515896344728,0.490378974086182,1.9626655999999998,0.00028742591381797356,0.010160913407468802,0.9897710959920422
source,sampled,100,4,0.6,0.7,1.9626655998040092,0.4906663999510023,1.9626655999999998,4.899763927923573e-11,0.010000000042998527,0.9899999999834002
source,sampled,101,4,0.6,0.7,1.9626655997874691,0.4906663999468673,1.9626655999999998,5.313266493445212e-11,0.01000000004884279,0.9899999999851888
source,sampled,102,4,0.6,0.7,1.9626655998771116,0.4906663999692779,1.9626655999999998,3.07220360262761e-11,0.010000000025376588,0.9899999999873114
source,sampled,103,4,0.6,0.7,1.9626655998577192,0.4906663999644298,1.9626655999999998,3.5570157930209234e-11,0.010000000029807237,0.9899999999859226
source,sampled,104,4,0.6,0.7,1.9626655998585252,0.4906663999646313,1.9626655999999998,3.536865245123977e-11,0.010000000033943642,0.9899999999922001
source,sampled,105,4,0.6,0.7,1.962665599799487,0.49066639994987177,1.9626655999999998,5.0128179385211524e-11,0.010000000028898207,0.9899999999612896
source,sampled,106,4,0.6,0.7,1.9626655998455087,0.4906663999613772,1.9626655999999998,3.8622771647567333e-11,0.010000000027582131,0.9899999999778285
source,sampled,107,4,0.6,0.7,1.9626655998727447,0.4906663999681862,1.9626655999999998,3.181377383754125e-11,0.010000000030207018,0.9899999999925163
source,sampled,108,4,0.6,0.7,1.9626655998565807,0.4906663999641452,1.9626655999999998,3.585476360257189e-11,0.010000000034972516,0.9899999999929026
source,sampled,109,4,0.6,0.7,1.9626655998176452,0.4906663999544113,1.9626655999999998,4.558864397097295e-11,0.010000000037154667,0.989999999980449
agents_2,fit_quarter,100,2,0.6,0.7,0.9813327995711211,0.49066639978556054,0.9813327999999999,2.144394106728953e-10,0.010000000167868596,0.9899999998981039
agents_2,fit_quarter,101,2,0.6,0.7,0.9813327995378185,0.49066639976890924,0.9813327999999999,2.3109070212967708e-10,0.010000000163647766,0.9899999998653496
agents_2,fit_quarter,102,2,0.6,0.7,0.9813327997147332,0.4906663998573666,0.9813327999999999,1.4263334957576035e-10,0.01000000009420061,0.9899999999070936
agents_2,fit_quarter,103,2,0.6,0.7,0.9813327996884595,0.4906663998442298,0.9813327999999999,1.5577017453693998e-10,0.010000000110739172,0.9899999999098559
agents_2,fit_quarter,104,2,0.6,0.7,0.9813327996815805,0.49066639984079025,0.9813327999999999,1.5920970097837994e-10,0.010000000127939215,0.9899999999291069
agents_2,fit_quarter,105,2,0.6,0.7,0.9813327995937291,0.49066639979686455,0.9813327999999999,2.031353973919181e-10,0.010000000122598926,0.9899999998510433
agents_2,fit_quarter,106,2,0.6,0.7,0.9813327996712167,0.49066639983560834,0.9813327999999999,1.6439161143466663e-10,0.01000000010558935,0.9899999998886291
agents_2,fit_quarter,107,2,0.6,0.7,0.9813327997101023,0.49066639985505117,0.9813327999999999,1.4494877520476734e-10,0.010000000110347568,0.9899999999266293
agents_2,fit_quarter,108,2,0.6,0.7,0.9813327996881047,0.49066639984405236,0.9813327999999999,1.5594758817627508e-10,0.010000000127594624,0.9899999999338371
agents_2,fit_quarter,109,2,0.6,0.7,0.9813327995961095,0.49066639979805476,0.9813327999999999,2.019451827983687e-10,0.010000000143708011,0.9899999998833393
agents_2,no_direction_check,100,2,0.6,0.7,0.9813327999436847,0.49066639997184236,0.9813327999999999,2.8157587372845683e-11,0.010000000024707403,0.9899999999904566
