condition,seed,budget_checkpoint,actor_source_steps,episodes,distance,coverage,all_covered,collision_pairs,collisions_per_agent,J,mean_reward,mean_coverage,tail_coverage,tail_all_covered,J_se,coverage_se,distance_se,mean_reward_se,mean_coverage_se,tail_coverage_se,tail_all_covered_se
ippo,40,7500000,7499200,1024,0.1274155178870905,0.57373046875,0.1630859375,0.114208984375,0.0571044921875,-28.799345949117082,-0.4082517618512763,0.450810546875,0.5619091796875,0.14240234375,0.3504670642768362,0.008823612338066437,0.00280384155163774,0.005454730081672423,0.004314469940562545,0.005607058092186385,0.00490618805202817
ippo,40,8000000,8000000,1024,0.1282784855450959,0.60693359375,0.185546875,0.128681640625,0.0643408203125,-29.187815775015988,-0.41509163617759454,0.46430908203125,0.5774560546875,0.1683203125,0.38014945629883223,0.008727473462454048,0.0031133932272074337,0.0059760456878573415,0.004571370465461236,0.005966437306765779,0.005598659999738412
ippo,40,8500000,8499200,1024,0.12511777399080737,0.619873046875,0.2119140625,0.1129296875,0.05646484375,-28.548989063300926,-0.40421152285537204,0.48026123046875,0.5979443359375001,0.1826171875,0.37914637851952887,0.008723770838399703,0.003058243436888666,0.005975000953497332,0.004551559212807023,0.006009059998957004,0.0058496685395891855
ippo,40,9000000,9000000,1024,0.13189815938513855,0.567138671875,0.1337890625,0.132646484375,0.0663232421875,-29.669847729906007,-0.4237434842571764,0.43043212890625,0.534189453125,0.1154296875,0.3801740065770275,0.008387572238428086,0.0030071880334197414,0.005960237233224689,0.004232850655951086,0.005371792919078126,0.004359678841702473
ippo,40,9500000,9499200,1024,0.12435336468301383,0.582275390625,0.150390625,0.12717773437500002,0.06358886718750001,-29.015769513292298,-0.4123538200793561,0.44582519531250003,0.5493896484375,0.1279296875,0.3709148403765148,0.008538946676312756,0.002798916953300327,0.005768757225963438,0.004154303663943498,0.005358690247226561,0.00429537704800273
ippo,40,10000000,10000000,1024,0.12867359385236943,0.567626953125,0.142578125,0.1200390625,0.06001953125,-29.2241299788858,-0.4158157476228662,0.43935302734375,0.5446435546874999,0.12496093750000001,0.3719316346771077,0.008524878905540769,0.0027949711108535336,0.005767653968565133,0.004162772740286418,0.0053526212050579,0.004416694739664864
ippo,40,10500000,10499200,1024,0.12777926404672907,0.57177734375,0.1416015625,0.125791015625,0.0628955078125,-28.785029087777694,-0.40939088729221274,0.44797119140625,0.5531298828125,0.13230468750000002,0.36576418854877285,0.008459965726123776,0.0027809512129203066,0.005704164301278198,0.004111390536039253,0.005316410760619242,0.004491510093320958
ippo,40,11000000,11000000,1024,0.12010028300960969,0.62548828125,0.203125,0.12243164062500002,0.06121582031250001,-27.894111260034812,-0.3947268288002999,0.4922119140625,0.6036425781250001,0.18408203125,0.37115071597896615,0.008489556020121945,0.002837472527829647,0.005777462073965346,0.004398907848221064,0.005604756732937992,0.005471503994225092
ippo,40,11500000,11499200,1024,0.12794316884550685,0.5859375,0.1552734375,0.11802734375000001,0.05901367187500001,-28.700314510767313,-0.4071176057972682,0.4704345703125,0.58392578125,0.15861328125000002,0.3807870756279157,0.008479021508937366,0.0030072927972088414,0.005966292826156988,0.004292302993532479,0.005467850379798027,0.005000461135735226
ippo,40,12000000,12000000,1024,0.12706220375086824,0.591552734375,0.171875,0.12211914062500001,0.061059570312500006,-28.953904715314977,-0.41175020917335003,0.45933837890625,0.5664111328125001,0.14658203125000002,0.37581930075843695,0.00862092511712541,0.002868035587385834,0.00588333748542647,0.004263346343679989,0.005467223368913093,0.004718367040249646
ippo,40,12500000,12499200,1024,0.12042314338291311,0.630126953125,0.208984375,0.13326171875,0.066630859375,-28.458913552124766,-0.40394245056531564,0.49072021484375,0.6010791015625,0.18859375,0.3803436077116989,0.008459893411351655,0.0028556440133330153,0.005937120522681225,0.004517404838275467,0.005735537751478641,0.005754454792751068
ippo,40,13000000,13000000,1024,0.12106404007530494,0.606689453125,0.1806640625,0.11482421875000001,0.057412109375000006,-27.974426524858288,-0.39546925968608704,0.47922119140624997,0.590751953125,0.17652343750000002,0.34896719922779257,0.008568291415970375,0.0028008068990889477,0.005426061145413667,0.004376614094679246,0.005678989787807106,0.005412449197717474
ippo,40,13500000,13499200,1024,0.13240077162206276,0.558349609375,0.138671875,0.125849609375,0.0629248046875,-29.541453656643856,-0.42117338977854546,0.4340869140625,0.5339160156249999,0.11513671875,0.36989352968295836,0.008556832518593316,0.00280411167427137,0.0057171838806374,0.004114963758364966,0.005281082237590631,0.004354680336300481
ippo,40,14000000,14000000,1024,0.1263579993827114,0.5810546875,0.158203125,0.11375976562500001,0.056879882812500004,-28.838569993976733,-0.40909104375920874,0.45487060546874997,0.5618994140625,0.1399609375,0.36348777965299517,0.008671603491886936,0.0028435402059815143,0.005650274562721265,0.0042873497968720625,0.005464970034918568,0.004636153532177393
ippo,40,14500000,14499200,1024,0.12730321616110307,0.589111328125,0.1748046875,0.11891601562500001,0.059458007812500005,-28.178567726099896,-0.4001591086368812,0.47523193359375004,0.5813818359374999,0.16279296875000002,0.36880526836930055,0.00867345438063805,0.002942071328902428,0.00575181729088494,0.004361271802181939,0.005544484554730361,0.005226094968736196
ippo,40,15000000,15000000,1024,0.12566790990541127,0.59130859375,0.154296875,0.11134765625000001,0.055673828125000005,-28.38839518543576,-0.4026101852064322,0.4563232421875,0.561025390625,0.13685546875,0.36359952172655047,0.008352840595368139,0.0027892931965982325,0.005634303069008909,0.00421904635680644,0.005353091872974399,0.004516996662029723
ippo,40,15500000,15499200,1024,0.12796069108341707,0.574951171875,0.1552734375,0.11068359375,0.055341796875,-28.775350662935047,-0.4098294969290333,0.446396484375,0.5510986328125,0.13398437500000002,0.3758793927004144,0.008762635189688107,0.0029727537335831416,0.005877786726426397,0.004260680422389483,0.0055703635778268255,0.004558384260173899
ippo,40,16000000,16000000,1024,0.13120192795548724,0.57958984375,0.1328125,0.10724609375000001,0.053623046875000004,-29.333600990091046,-0.4182269101238113,0.4361474609375,0.5397216796875,0.12367187500000001,0.38350135395710455,0.008433919974178155,0.0029671660397289365,0.005972421444747986,0.004354308574618001,0.0055117419425435455,0.004302858126714818
ippo,40,16500000,16499200,1024,0.13783291137354184,0.525634765625,0.109375,0.1275390625,0.06376953125,-29.63784928757039,-0.42506340674135235,0.4221875,0.5101513671875,0.09916015625,0.37625391803878616,0.008684920415848384,0.003015683167574857,0.005887507022089765,0.003920743822071281,0.00517577047689365,0.003688875119277716
ippo,40,17000000,17000000,1024,0.1335514648185198,0.546875,0.134765625,0.12515625000000002,0.06257812500000001,-29.599037532298016,-0.42333785111278865,0.43218017578125,0.5258203124999999,0.10919921875000001,0.37892445908360173,0.008772978573011677,0.002949772114919383,0.005915535599114225,0.004178428650959218,0.0053401999565014175,0.004006022775082124
ippo,40,17500000,17499200,1024,0.11955940995670036,0.60888671875,0.1748046875,0.09864257812500002,0.04932128906250001,-27.967640300330466,-0.39568254270066516,0.47281738281249996,0.580419921875,0.15845703125000002,0.3597743186180252,0.008607333187977257,0.002679779550301519,0.0055443100403527006,0.004367559672150041,0.0055206044622319525,0.00493043715407072
ippo,40,18000000,18000000,1024,0.12260821928145117,0.5791015625,0.1552734375,0.09098632812500002,0.04549316406250001,-27.60786402007657,-0.39007550060908747,0.4626416015625,0.5691650390625,0.14527343750000002,0.3438141110643689,0.008620279655796748,0.0027087796366547,0.005326853690170953,0.004331729661195072,0.005460722018158364,0.004965315633679905
ippo,40,18500000,18499200,1024,0.1205316225743812,0.62255859375,0.1904296875,0.11788085937500001,0.058940429687500004,-28.043078013370653,-0.39719133237905146,0.4885205078125,0.59673828125,0.1832421875,0.36916214437093614,0.008318842970806982,0.0028630304544477333,0.005736955373947271,0.0045065574071773045,0.005713770011038928,0.005653239429834978
ippo,40,19000000,19000000,1024,0.11591803341459436,0.6337890625,0.2109375,0.116572265625,0.0582861328125,-27.688008945419078,-0.3912472518515302,0.49638671874999996,0.6055175781250001,0.19568359375000002,0.3808167249017181,0.00836473219475681,0.002814645611703906,0.005922202745461129,0.004598382906885357,0.005853489177529173,0.005991709041305717
ippo,40,19500000,19499200,1024,0.12148501237765295,0.608154296875,0.1884765625,0.105498046875,0.0527490234375,-27.98523642550856,-0.3961850328211517,0.47746582031250007,0.584248046875,0.163203125,0.3696193872405906,0.008592085650455016,0.0028200565747441104,0.00573214652378371,0.004342732454697227,0.005566839214221736,0.005203568239628604
ippo,40,20000000,20000000,1024,0.1140212029433974,0.643310546875,0.22265625,0.10148437500000002,0.05074218750000001,-26.956560243756208,-0.37910825780708957,0.51032958984375,0.6242919921874999,0.20847656250000002,0.3699606966808652,0.008484321302552415,0.0027359414435015406,0.005692303138002718,0.0045268732879685395,0.005607796008020514,0.006028708841159902
