experiment,method,label,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample,variant,source_n,target_n
P-L,DA,mc_learned_baseline,False,budget,262144.0,0.0,10,262144.0,262144.0,training_seed_or_data_batch,False,,,
P-L,DA,mc_learned_baseline,False,unused_budget,28.0,0.0,10,28.0,28.0,training_seed_or_data_batch,False,,,
P-L,DA,mc_learned_baseline,False,updates,736.0,0.0,10,736.0,736.0,training_seed_or_data_batch,False,,,
P-L,DA,mc_learned_baseline,False,final_source_return_diagnostic,3.9039999385611717,1.1090256230845483,10,3.199999921797289,4.319999948883593,training_seed_or_data_batch,False,,,
P-L,DA,mc_learned_baseline,False,source_report_only_steps,500.0,0.0,10,500.0,500.0,training_seed_or_data_batch,False,,,
P-L,DA,mc_learned_baseline,False,target_report_only_steps,3000.0,0.0,10,3000.0,3000.0,training_seed_or_data_batch,False,,,
P-L,DA,mc_learned_baseline,False,source_steps_training,94208.0,0.0,10,94208.0,94208.0,training_seed_or_data_batch,False,,,
P-L,DA,mc_learned_baseline,False,source_steps_critic,94208.0,0.0,10,94208.0,94208.0,training_seed_or_data_batch,False,,,
P-L,DA,mc_learned_baseline,False,source_steps_direction_check,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,,,
P-L,DA,mc_learned_baseline,False,source_steps_return_check,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,,,
P-L,DA,mc_learned_baseline,False,source_steps_monitor,73700.0,0.0,10,73700.0,73700.0,training_seed_or_data_batch,False,,,
P-L-final-transfer,DA,mc_learned_baseline,False,source_steps_total,262116.0,0.0,10,262116.0,262116.0,training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,DA,mc_learned_baseline,False,frozen_actor_return_diagnostic,1.9519999692805858,0.5545128115422742,10,1.5999999608986446,2.1599999744417966,training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,DA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,normalized,4,2
P-L-final-transfer,DA,mc_learned_baseline,False,source_steps_total,262116.0,0.0,10,262116.0,262116.0,training_seed_or_data_batch,False,normalized,4,6
P-L-final-transfer,DA,mc_learned_baseline,False,frozen_actor_return_diagnostic,5.855999907841758,1.6635384346268227,10,4.799999882695936,6.479999923325389,training_seed_or_data_batch,False,normalized,4,6
P-L-final-transfer,DA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,normalized,4,6
P-L-final-transfer,DA,mc_learned_baseline,False,source_steps_total,262116.0,0.0,10,262116.0,262116.0,training_seed_or_data_batch,False,fixed-edge,4,2
P-L-final-transfer,DA,mc_learned_baseline,False,frozen_actor_return_diagnostic,0.7466666539132054,0.17281975831580876,10,0.6346666515333363,0.826666656817653,training_seed_or_data_batch,False,fixed-edge,4,2
P-L-final-transfer,DA,mc_learned_baseline,False,target_training_steps,0.0,0.0,10,0.0,0.0,training_seed_or_data_batch,False,fixed-edge,4,2
