experiment,method,label,actor_class,sample_episodes,fit_steps,direction_method,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-A,AN,mc_raw,table,2048,100,AN,False,realized_path_derivative,0.269039290006031,0.033832853252925996,10,0.24981348536959483,0.2901036819802793,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,100,AN,False,forward_kl_training,3.326599021451087e-09,2.9145240519885228e-09,10,1.6275356076891302e-09,5.118383969958492e-09,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,100,AN,False,forward_kl_validation,3.334216960856734e-09,2.941307471196065e-09,10,1.624645037356849e-09,5.145778331723783e-09,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,100,AN,False,forward_kl_exact,3.3392206283328742e-09,2.9332504602826004e-09,10,1.6264813353038495e-09,5.155851878330903e-09,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,100,AN,False,old_new_kl,0.00034540387067810545,8.644990417617446e-05,10,0.0002968934469578777,0.0003982815395534923,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,100,AN,False,direction_realization_residual,6.87690628001654e-07,6.07044151417734e-07,10,3.335301584374462e-07,1.0634460071195917e-06,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,100,AN,False,seconds,0.0064171401783823965,0.0003452048940928826,10,0.006234870700864121,0.006623106662882492,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,100,AN,False,learned_q_0,0.047796754880908406,0.05223633653812122,10,0.01711915834341735,0.07872300189482168,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,100,AN,False,learned_q_1,0.36525904506792617,0.04451961442341994,10,0.3389202291671817,0.3925180948558074,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,100,AN,False,candidate_p_0,0.3020127570455565,0.002200529039528118,10,0.30071657492030035,0.3033186757537148,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,100,AN,False,candidate_p_1,0.7151158572144936,0.00180058443929823,10,0.7140516181165016,0.716213736038229,training_seed_or_data_batch,False
P-A,DA,mc_raw,table,2048,100,,False,source_steps_total,2548.0,0.0,10,2548.0,2548.0,training_seed_or_data_batch,False
P-A,DA,mc_raw,table,2048,100,,False,actual_return_gain,2.6270350957248745,0.7713884795789174,10,2.139162419216444,2.870975418919455,training_seed_or_data_batch,False
P-A,DA,mc_raw,table,2048,100,,False,realized_path_derivative,0.884959988183639,0.06307037807727912,10,0.8450705145901327,0.9049050076013984,training_seed_or_data_batch,False
P-A,DA,mc_raw,table,2048,100,,False,old_new_kl,0.5332923417992168,0.06565767035716336,10,0.4917652714811896,0.554057478664609,training_seed_or_data_batch,False
P-A,DA,mc_raw,table,2048,100,,False,candidate_p_0,0.7887315302959769,0.2610052062887773,10,0.6236566000994412,0.8712697804916929,training_seed_or_data_batch,False
P-A,DA,mc_raw,table,2048,100,,False,candidate_p_1,0.9541024346001411,1.2318078356658852e-09,10,0.9541024338449848,0.9541024353184929,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,1000,AN,False,source_steps_total,2548.0,0.0,10,2548.0,2548.0,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,1000,AN,False,eta,0.1,0.0,10,0.1,0.1,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,1000,AN,False,ideal_return_gain,0.028095038930868323,0.003819092414698901,10,0.025932588426519534,0.030450052617563,training_seed_or_data_batch,False
P-A,AN,mc_raw,table,2048,1000,AN,False,actual_return_gain,0.02809503893086825,0.003819092414698972,10,0.025932588426519375,0.03045005261756296,training_seed_or_data_batch,False
