experiment,method,label,oracle_label_group,seed,update,source_steps_total,source_steps_training,source_steps_critic,source_steps_direction_check,source_steps_return_check,source_steps_monitor,source_complete_episodes,agent_decisions,budget,training_return,monitor_return,exact_source_return_diagnostic,actual_return_gain_diagnostic,old_new_kl,baseline_kind,baseline_missing_states,entropy,seconds,accepted,reason,eta,attempts,forward_kl_training,direction_loss,direction_steps,q_bound,return_check_gain,return_check_mode,return_check_standard_error,critic_validation_mse,label_mse_against_exact_joint_advantage,critic_explained_variance,direction_error,direction_norm,exact_direction_score_diagnostic
T-L,AN,mc_learned_baseline,False,45,12,33120,3072,3072,0,24576,2400,16560,66240,262144,0.662578125,0.6855,0.6962778007840017,0.025589268967862844,0.0003664427618145109,public_state_tabular_independent_mc,0,0.4786840256183027,0.5174120999872684,True,accepted_empirical,0.1,1,4.626031233808649e-09,-0.07469066936199643,100,5.0,0.01751953125,empirical,0.008538995041888809,0.2908678829509238,0.1243648660072062,0.002867623216674775,0.0011350558943005768,0.07517131433520371,0.06474622033829533
T-L,AN,mc_learned_baseline,False,45,13,35880,3328,3328,0,26624,2600,17940,71760,262144,0.68953125,0.7005,0.7181208409102495,0.021843040126247826,0.0002826294620323402,public_state_tabular_independent_mc,0,0.4669845786684845,0.563360899919644,True,accepted_empirical,0.1,1,4.045276557100931e-10,-0.05866426872716874,100,5.0,0.016523437499999998,empirical,0.007449995289952884,0.26120684754152224,0.10625867192875992,0.014451924842286412,0.0001581347034273106,0.058269057089355855,0.0612858204173994
T-L,AN,mc_learned_baseline,False,45,14,38640,3584,3584,0,28672,2800,19320,77280,262144,0.7352343750000001,0.6809999999999999,0.738548652106584,0.020427811196334522,0.0002740271725066907,public_state_tabular_independent_mc,0,0.45506764603969807,0.6054404999595135,True,accepted_empirical,0.1,1,3.942182832846718e-09,-0.056116806000933245,100,5.0,0.02642578125,empirical,0.008755667890071397,0.22668903227306544,0.09594590943654917,-0.03660967914214308,0.0018377747485160104,0.0564279099505577,0.055592478381189456
T-L,AN,mc_learned_baseline,False,45,15,41400,3840,3840,0,30720,3000,20700,82800,262144,0.68578125,0.7565999999999998,0.7627404472829908,0.024191795176406794,0.00041646220937538957,public_state_tabular_independent_mc,0,0.44112594099983826,0.6477944999933243,True,accepted_empirical,0.1,1,4.090709237416338e-09,-0.0877344519669153,100,5.0,0.0308203125,empirical,0.0084899537975276,0.2705463993400088,0.11065171608077905,0.014237213634547996,0.005610134458774198,0.08730183033459692,0.04782099497346774
T-L,AN,mc_learned_baseline,False,45,16,44160,4096,4096,0,32768,3200,22080,88320,262144,0.7521093750000001,0.6651,0.7806640587395015,0.01792361145651067,0.00025999506116535366,public_state_tabular_independent_mc,0,0.4302434091821613,0.6881906000198796,True,accepted_empirical,0.1,1,2.0086380001561357e-09,-0.05420552263972353,100,5.0,0.01271484375,empirical,0.00563875193264886,0.2115623914930556,0.08877840345829344,-0.012115108365370109,0.0030166317105441228,0.054115048786103515,0.04522015758407871
T-L,AN,mc_learned_baseline,False,45,17,46920,4352,4352,0,34816,3400,23460,93840,262144,0.8001562500000001,0.816,0.7951656786509783,0.014501619911476804,0.00018893004033827078,public_state_tabular_independent_mc,0,0.4208420544113622,0.7339907999848947,True,accepted_empirical,0.1,1,1.2407321350926413e-09,-0.03916677441728873,100,5.0,0.00861328125,empirical,0.0043893545218639425,0.1648205588679323,0.06855253302978188,-0.015355768655213264,0.0032376743984464493,0.0391250466055392,0.04089987285935601
T-L,AN,mc_learned_baseline,False,45,18,49680,4608,4608,0,36864,3600,24840,99360,262144,0.8437500000000002,0.7794,0.8062744324917218,0.011108753840743502,0.00011215212640573228,public_state_tabular_independent_mc,0,0.4132470052935656,0.7819888999219984,True,accepted_empirical,0.1,1,1.1950211727465479e-09,-0.02263538461945287,100,5.0,0.009140625,empirical,0.004556876961375439,0.12398762580023871,0.05042125891422123,0.006083024853939856,0.0032001524795608233,0.022873477466841888,0.037531231456062034
T-L,AN,mc_learned_baseline,False,45,19,52440,4864,4864,0,38912,3800,26220,104880,262144,0.7816406250000001,0.8373,0.8203911585195707,0.014116726027848858,0.00023301913037252506,public_state_tabular_independent_mc,0,0.4034666546817758,0.8270850999979302,True,accepted_empirical,0.1,1,1.3915128270826466e-09,-0.05105032529807085,100,5.0,0.011484374999999998,empirical,0.005524097672880984,0.18919485808493136,0.07106273390521692,0.031001425227939916,0.00809358859328456,0.04866463737063474,0.03003610958284804
T-L,AN,mc_learned_baseline,False,45,20,55200,5120,5120,0,40960,4000,27600,110400,262144,0.7659375000000002,0.8184,0.8380339982092966,0.01764283968972591,0.00034675369284472825,public_state_tabular_independent_mc,0,0.3909664526631513,0.8701803999720141,True,accepted_empirical,0.1,1,4.437733045448637e-09,-0.07274840735857935,100,5.0,0.01828125,empirical,0.006676405669099985,0.21606058682528412,0.09106272523035644,0.0075884343517984565,0.00784514672468713,0.07309247057714614,0.027003617877500927
T-L,AN,mc_learned_baseline,False,45,21,57960,5376,5376,0,43008,4200,28980,115920,262144,0.8013281250000002,0.8181,0.8510701381656136,0.013036139956317028,0.00021082870031342504,public_state_tabular_independent_mc,0,0.38106790527932605,0.9201265999581665,True,accepted_empirical,0.1,1,2.417973274329946e-09,-0.045094816112101796,100,5.0,0.015468749999999998,empirical,0.005653023089962633,0.1503613577426557,0.05974617356312998,0.022412980041708885,0.0012519205588202625,0.0436805967271075,0.0290345005492679
