experiment,method,label,data_seed,dataset_sha256,sample_episodes,source_steps_total,source_steps_training,source_steps_validation,direction_error,direction_norm,exact_score,validation_score,validation_score_variance,validation_gradient_trace_variance,fixed_oracle_q_score_variance,fixed_oracle_q_gradient_trace_variance,curvature_min,curvature_max,optimization_seconds,direction_loss,direction_steps,q_bound,q_coefficient_0,q_coefficient_1
P-E,AN,mc_raw,1002,5611e1dbe7a7be4a4dcba9c2ce8f1012a1d306922dd5a74381c6f001f10c1ae6,32,532,32,500,0.05597935202856583,0.17023523890455267,0.010548647971434094,0.07574731504216442,1.71169124271047,5.610046362181194,0.4527643795025741,5.558760725863676,0.84,0.8400000000000001,0.005092399660497904,-0.1714371811073256,100,5.0,0.4537624062430274,0.4477738829813383
P-E,SA,mc_raw,1002,5611e1dbe7a7be4a4dcba9c2ce8f1012a1d306922dd5a74381c6f001f10c1ae6,32,532,32,500,0.048907889326310156,0.15411619477483526,0.017620110673689765,0.07978545098560053,1.5510573963978826,5.736810132519072,0.47894517264758407,5.893956065021998,0.36,1.9599999999999997,0.005847400054335594,-0.16273056553141796,100,5.0,0.43308804910382404,0.42513832481442626
P-E,AN,exact_advantage,1003,5ff65f409ab050b6b6b3515e68e18051dd0aed66d3038febcb7f6c65158cd6f2,32,532,32,500,0.005247551106039499,0.10914437869387078,0.06128044889396042,0.08474659395504636,0.48047084686385916,3.2447112559614895,0.29583496667814146,3.2772833716838177,0.84,0.8400000000000001,0.005259899888187647,-0.1156743570887422,100,5.0,0.07712914951477019,0.46107523225142133
P-E,SA,exact_advantage,1003,5ff65f409ab050b6b6b3515e68e18051dd0aed66d3038febcb7f6c65158cd6f2,32,532,32,500,0.017334933270360675,0.15161158034586922,0.04919306672963927,0.07712362575523951,0.6475649356563726,3.4889664564086473,0.30748461925401316,3.4348443345054522,0.36,1.9599999999999997,0.005843199789524078,-0.13540715942851184,100,5.0,0.0746051565092783,0.5450743142775972
P-E,AN,mc_raw,1003,5ff65f409ab050b6b6b3515e68e18051dd0aed66d3038febcb7f6c65158cd6f2,32,532,32,500,0.015541736682700308,0.1452340749222479,0.05098626331729961,0.08143073116954781,0.7012133679611883,3.66347538437725,0.3440521634380356,3.7293650503976856,0.84,0.8400000000000001,0.005699200090020895,-0.15180966966508913,100,5.0,0.04842861918116576,0.5353496922237737
P-E,SA,mc_raw,1003,5ff65f409ab050b6b6b3515e68e18051dd0aed66d3038febcb7f6c65158cd6f2,32,532,32,500,0.034963600173921285,0.1964635164957564,0.031564399826078615,0.06739466731737376,0.9307725722966086,4.128248714808391,0.36169823188857503,3.9738563921211307,0.36,1.9599999999999997,0.004999199882149696,-0.17805768936325062,100,5.0,0.04692703233234649,0.6231696935025214
P-E,AN,exact_advantage,1000,f592b0d7d25100193b69cc011f1eb8d2607b3b1e1a4a67fc5fad7a4d94d72512,128,628,128,500,0.10235267813373525,0.2993814626634492,-0.035824678133735355,0.03276392564671172,1.4294762263079082,3.1412869812959467,0.24590288604890387,3.1196751665258953,0.84,0.8400000000000001,0.008861000183969736,-0.29875371313744714,100,5.0,0.45362730446489796,0.6758888106638266
P-E,SA,exact_advantage,1000,f592b0d7d25100193b69cc011f1eb8d2607b3b1e1a4a67fc5fad7a4d94d72512,128,628,128,500,0.10847810380782327,0.3189454109247828,-0.041950103807823325,0.02749319826251507,1.47005502995861,3.35850813275783,0.2544492187411684,3.2288178602333204,0.36,1.9599999999999997,0.008466600440442562,-0.30677106237509827,100,5.0,0.4240380769593748,0.7162094682924318
P-E,AN,mc_raw,1000,f592b0d7d25100193b69cc011f1eb8d2607b3b1e1a4a67fc5fad7a4d94d72512,128,628,128,500,0.11237307069504669,0.3208235423003465,-0.045845070695046786,0.01966856382331541,1.7051454226425562,3.491616683695268,0.2821353912346353,3.4732892836062916,0.84,0.8400000000000001,0.010153499897569418,-0.318543193334087,100,5.0,0.4513987677733382,0.7076115335336168
P-E,SA,mc_raw,1000,f592b0d7d25100193b69cc011f1eb8d2607b3b1e1a4a67fc5fad7a4d94d72512,128,628,128,500,0.11983778989467234,0.3416630797982973,-0.05330978989467239,0.01298628363025356,1.760179257685077,3.887785866932736,0.2966145490280332,3.6694690376744195,0.36,1.9599999999999997,0.00911679957062006,-0.3277566283722859,100,5.0,0.42218134406295427,0.7477153276868573
