round,source_steps,accepted,candidates,direction_pass,direction_score,train_J,critic_mse,train_value_target,explained_variance,return_difference,fit_kl_before,fit_kl_after,fit_kl_p95,fit_kl_max,target_below_floor,update_seconds,method,seed,source_steps_total,train_discounted_return,policy_step_kl,policy_entropy
16,139200,False,0,False,-0.010682073030984333,-159.71476888656616,5911.00927734375,-159.71478271484375,-0.00020754337310791016,,,,,,,93.72383869998157,AN,40,139200,-159.71476888656616,,
17,152000,True,1,True,0.01188122883594716,-164.22175312042236,4554.5810546875,-164.2217559814453,-0.00035881996154785156,3.314818564665501,0.00024601054610684514,5.6291133660124615e-05,0.0001983167021535337,0.0011407751590013504,0.0,185.64173539960757,AN,40,152000,-164.22175312042236,0.00021283621026668698,1.6090859174728394
18,158400,False,0,False,-0.07068437080001398,-145.58683061599731,3767.38525390625,-145.58682250976562,-0.00019025802612304688,,,,,,,93.60012280009687,AN,40,158400,-145.58683061599731,,
19,164800,False,0,False,-0.019638655714880007,-142.67222499847412,1880.796875,-142.67222595214844,-0.0005887746810913086,,,,,,,93.5575620001182,AN,40,164800,-142.67222499847412,,
20,171200,False,0,False,-0.02331959757531248,-147.7618179321289,5348.4736328125,-147.76181030273438,-0.00028336048126220703,,,,,,,94.53023319970816,AN,40,171200,-147.7618179321289,,
21,177600,False,0,False,-0.1048689061966215,-149.53700304031372,12566.6826171875,-149.53701782226562,-8.356571197509766e-05,,,,,,,94.47192030027509,AN,40,177600,-149.53700304031372,,
22,184000,False,0,False,-0.013382998031135091,-137.63822603225708,1034.3179931640625,-137.63821411132812,-0.0002193450927734375,,,,,,,91.34528589993715,AN,40,184000,-137.63822603225708,,
23,190400,False,0,False,-0.0708813480338715,-145.78258085250854,3423.351318359375,-145.78257751464844,-4.8160552978515625e-05,,,,,,,95.80693010007963,AN,40,190400,-145.78258085250854,,
24,196800,False,0,False,-0.03944185224031918,-128.64080667495728,1510.3438720703125,-128.64080810546875,-0.00018453598022460938,,,,,,,93.64319430012256,AN,40,196800,-128.64080667495728,,
25,204800,False,0,False,-0.00606469437799359,-155.5789179801941,2392.1748046875,-155.57891845703125,-8.33272933959961e-05,,,,,,,93.99648980004713,AN,40,204800,-155.5789179801941,,
26,211200,False,0,False,-0.006369076420245851,-151.13655138015747,2716.655517578125,-151.1365509033203,-0.00011730194091796875,,,,,,,97.22925020009279,AN,40,211200,-151.13655138015747,,
27,217600,False,0,False,-0.02545757185198358,-146.24323177337646,3157.19580078125,-146.24322509765625,-5.8650970458984375e-05,,,,,,,95.03662260016426,AN,40,217600,-146.24323177337646,,
28,236800,False,2,True,0.07092905599063054,-147.83553743362427,2497.319580078125,-147.83554077148438,1.0192394256591797e-05,-9.207858185416512,4.9898706492967904e-05,5.776539637736278e-06,2.436115210002754e-05,0.00012406765017658472,0.0,277.259041399695,AN,40,236800,-147.83553743362427,4.443876241566613e-05,1.6090117692947388
29,243200,False,0,False,-0.10223264405798055,-136.78754901885986,1587.293212890625,-136.78753662109375,-4.6372413635253906e-05,,,,,,,95.90526479994878,AN,40,243200,-136.78754901885986,,
30,249600,False,0,False,-0.006763574182358666,-145.47403621673584,2591.5,-145.4740447998047,-0.00011968612670898438,,,,,,,92.31773169990629,AN,40,249600,-145.47403621673584,,
