experiment,method,label,sample_episodes,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-E,SA,mc_raw,32,False,q_bound,5.0,0.0,20,5.0,5.0,training_seed_or_data_batch,False
P-E,SA,mc_raw,32,False,q_coefficient_0,0.13705555688926027,0.30777358603164656,20,-0.0015798711929249079,0.2627385018181789,training_seed_or_data_batch,False
P-E,SA,mc_raw,32,False,q_coefficient_1,0.4431741814266089,0.25016919569469703,20,0.3297262399985742,0.5446064119448375,training_seed_or_data_batch,False
P-E,AN,exact_advantage,128,False,source_steps_total,628.0,0.0,20,628.0,628.0,training_seed_or_data_batch,False
P-E,AN,exact_advantage,128,False,source_steps_training,128.0,0.0,20,128.0,128.0,training_seed_or_data_batch,False
P-E,AN,exact_advantage,128,False,source_steps_validation,500.0,0.0,20,500.0,500.0,training_seed_or_data_batch,False
P-E,AN,exact_advantage,128,False,direction_error,0.020904774338120533,0.024211862441209483,20,0.011828354408065338,0.032502060952256766,training_seed_or_data_batch,False
P-E,AN,exact_advantage,128,False,direction_norm,0.0958521958569358,0.07094036624721099,20,0.06901643913577184,0.1286120042517263,training_seed_or_data_batch,False
P-E,AN,exact_advantage,128,False,exact_score,0.04562322566187939,0.02421186244120949,20,0.03402593904774316,0.05469964559193459,training_seed_or_data_batch,False
P-E,AN,exact_advantage,128,False,validation_score,0.04574725736948907,0.021133225452656543,20,0.03698132084263254,0.05494984327113772,training_seed_or_data_batch,False
P-E,AN,exact_advantage,128,False,validation_score_variance,0.5026903484644316,0.42346283786007466,20,0.33941484118509413,0.6941606033651498,training_seed_or_data_batch,False
P-E,AN,exact_advantage,128,False,validation_gradient_trace_variance,3.8245140343789443,0.4716162548148189,20,3.6318342811887905,4.036637649872329,training_seed_or_data_batch,False
P-E,AN,exact_advantage,128,False,fixed_oracle_q_score_variance,0.3461672554400973,0.04403229591403669,20,0.32772456795172644,0.3643420662012247,training_seed_or_data_batch,False
P-E,AN,exact_advantage,128,False,fixed_oracle_q_gradient_trace_variance,3.816574117969,0.4601598330563073,20,3.6262162709244112,4.020127993218905,training_seed_or_data_batch,False
