seed,method,sample_episodes,requested_kl,dataset_sha256,q_0,q_1,reachable,eta,actual_kl,candidate_p_0,candidate_p_1,return_gain,normalized_derivative
1002,DA,2048,0.0001,0bfd590baad43a6530efea83e5d70fd21a165528b1ca88576a8c1d82312ed156,1.3797659159719848,1.0935305642350561,True,0.012684279559059998,0.00010000000000002959,0.30740162099583573,0.7057931584378777,0.01209455447947122,0.22622626644080363
1002,DA,2048,0.0003,0bfd590baad43a6530efea83e5d70fd21a165528b1ca88576a8c1d82312ed156,1.3797659159719848,1.0935305642350561,True,0.021965412159875825,0.00030000000000001553,0.31288120664957997,0.7099904281175521,0.02172464829837356,0.22622626644080363
1002,DA,2048,0.001,0bfd590baad43a6530efea83e5d70fd21a165528b1ca88576a8c1d82312ed156,1.3797659159719848,1.0935305642350561,True,0.04008887069215848,0.0010000000000000037,0.32373245724856353,0.7180834476516489,0.04242626523684018,0.22622626644080363
1003,AN,2048,0.0001,0735c7b2e4b33120b08c662164a498819bd1333ac22bd4191ec0376957a90d33,0.0795238673569722,0.3664918966571078,True,0.053657500851932105,0.00010000000000001735,0.30179521504657403,0.7081938076759521,0.015011519070281143,0.06809949089538217
1003,AN,2048,0.0003,0735c7b2e4b33120b08c662164a498819bd1333ac22bd4191ec0376957a90d33,0.0795238673569722,0.3664918966571078,True,0.09311439676995677,0.0003000000000000183,0.3031192049607217,0.71413435805246,0.02653729421007922,0.06809949089538217
1003,AN,2048,0.001,0735c7b2e4b33120b08c662164a498819bd1333ac22bd4191ec0376957a90d33,0.0795238673569722,0.3664918966571078,True,0.17065078791549185,0.0010000000000000189,0.3057304956651609,0.7255940505731544,0.05031036002711681,0.06809949089538217
1003,SA,2048,0.0001,0735c7b2e4b33120b08c662164a498819bd1333ac22bd4191ec0376957a90d33,0.0787315940363513,0.36766985555059406,True,0.05350704253215117,0.00010000000000002317,0.3017723077877412,0.708197067587754,0.015011455421983455,0.06829724752687259
1003,SA,2048,0.0003,0735c7b2e4b33120b08c662164a498819bd1333ac22bd4191ec0376957a90d33,0.0787315940363513,0.36766985555059406,True,0.09285356078959921,0.0003000000000000176,0.30307936354684595,0.714139985686198,0.02653546174128374,0.06829724752687259
1003,SA,2048,0.001,0735c7b2e4b33120b08c662164a498819bd1333ac22bd4191ec0376957a90d33,0.0787315940363513,0.36766985555059406,True,0.1701737236149174,0.0010000000000000234,0.3056571598434143,0.7256042516994252,0.05030080566505718,0.06829724752687259
1003,DA,2048,0.0001,0735c7b2e4b33120b08c662164a498819bd1333ac22bd4191ec0376957a90d33,1.379765758723534,1.093530553812275,True,0.012684280366161432,0.00010000000000004172,0.30740162062070747,0.7057931587495111,0.012094554953555214,0.22622626137956545
