condition,seed,budget_checkpoint,actor_source_steps,episodes,distance,coverage,all_covered,collision_pairs,collisions_per_agent,J
ippo,42,160000,160000,20,0.39321624301875674,0.025,0.0,0.09900000000000002,0.04950000000000001,-57.50781771012036
ippo,42,200000,200000,20,0.4403750437826129,0.0375,0.0,0.08049999999999999,0.040249999999999994,-61.4111262145189
no_direction_check,40,0,0,20,1.0074337643743954,0.0125,0.0,0.04950000000000001,0.024750000000000005,-92.61258410110365
no_direction_check,40,40000,40000,20,1.0275497125151287,0.0,0.0,0.06000000000000001,0.030000000000000006,-98.42614664424903
no_direction_check,40,80000,78400,20,0.9816884046978662,0.0125,0.0,0.05850000000000001,0.029250000000000005,-95.58433249643106
no_direction_check,40,120000,116800,20,0.8687920419935669,0.0125,0.0,0.06950000000000002,0.03475000000000001,-90.62885490729033
no_direction_check,40,160000,156800,20,0.6257189715787754,0.0,0.0,0.08149999999999999,0.040749999999999995,-87.66454607394878
no_direction_check,40,200000,198400,20,0.7084575793805503,0.025,0.0,0.0855,0.04275,-84.47616433966839
no_direction_check,41,0,0,20,0.9009798005790364,0.0,0.0,0.05600000000000001,0.028000000000000004,-91.6717488137638
no_direction_check,41,40000,36800,20,0.7399125367337054,0.025,0.0,0.07300000000000001,0.036500000000000005,-86.87319788247314
no_direction_check,41,80000,78400,20,0.8563059710103499,0.025,0.0,0.06150000000000001,0.030750000000000006,-84.8821446789185
no_direction_check,41,120000,118400,20,0.7511504703312675,0.0125,0.0,0.06000000000000001,0.030000000000000006,-88.46126765638914
no_direction_check,41,160000,156800,20,0.6869445268519495,0.025,0.0,0.07650000000000001,0.038250000000000006,-83.29402081104384
no_direction_check,41,200000,198400,20,0.5317259950372343,0.0625,0.0,0.1,0.05,-79.37160947265046
no_direction_check,42,0,0,20,0.8822704124418422,0.0125,0.0,0.067,0.0335,-93.33392418505505
no_direction_check,42,40000,40000,20,0.7314223224884346,0.0125,0.0,0.07850000000000001,0.03925000000000001,-81.86626107143384
no_direction_check,42,80000,78400,20,0.7624178397977931,0.0125,0.0,0.07500000000000002,0.03750000000000001,-85.83166524753764
no_direction_check,42,120000,118400,20,0.7099928794475484,0.0125,0.0,0.08750000000000001,0.043750000000000004,-79.97314239392776
no_direction_check,42,160000,160000,20,0.7634502766015527,0.0,0.0,0.08050000000000002,0.04025000000000001,-80.8425218360297
no_direction_check,42,200000,198400,20,0.6047991586219859,0.0125,0.0,0.09050000000000002,0.04525000000000001,-78.61898821570026
no_return_check,40,0,0,20,1.1189047793329077,0.0125,0.0,0.044,0.022,-101.57608996655716
no_return_check,40,40000,38400,20,0.9678836687141302,0.0,0.0,0.054000000000000006,0.027000000000000003,-100.74816445412722
no_return_check,40,80000,79200,20,0.8418380972925401,0.0,0.0,0.06350000000000001,0.03175000000000001,-86.79526401095147
no_return_check,40,120000,120000,20,0.6515402381627199,0.0,0.0,0.08750000000000002,0.04375000000000001,-78.02178970368286
no_return_check,40,160000,158400,20,0.5840396649888044,0.0375,0.0,0.119,0.0595,-75.39707781159642
no_return_check,40,200000,199200,20,0.6011896713321248,0.0125,0.0,0.15000000000000002,0.07500000000000001,-75.7695458545733
no_return_check,41,0,0,20,0.873756005205801,0.0125,0.0,0.06700000000000002,0.03350000000000001,-87.83992251583244
no_return_check,41,40000,38400,20,0.801754890338804,0.0125,0.0,0.07200000000000001,0.036000000000000004,-83.51445971756468
no_return_check,41,80000,79200,20,0.703970469684409,0.0,0.0,0.08750000000000001,0.043750000000000004,-81.10582424362593
no_return_check,41,120000,120000,20,0.6244902607929577,0.025,0.0,0.08850000000000001,0.044250000000000005,-77.62860494889495
no_return_check,41,160000,158400,20,0.5810173524145401,0.0125,0.0,0.0975,0.04875,-76.04929732852358
no_return_check,41,200000,199200,20,0.5493265383820376,0.05,0.0,0.11500000000000003,0.057500000000000016,-73.31043660733981
no_return_check,42,0,0,20,0.9553197069313928,0.0,0.0,0.0455,0.02275,-91.68122349361772
no_return_check,42,40000,38400,20,1.0095895458917794,0.0,0.0,0.05850000000000001,0.029250000000000005,-91.41333912791148
no_return_check,42,80000,79200,20,0.7587632093263945,0.025,0.0,0.06650000000000002,0.03325000000000001,-86.7892534033737
no_return_check,42,120000,120000,20,0.6658197728635888,0.0125,0.0,0.0945,0.04725,-77.54209556116714
no_return_check,42,160000,158400,20,0.6254822185526838,0.0375,0.0,0.16,0.08,-77.36751553005884
no_return_check,42,200000,199200,20,0.5781624737268647,0.05,0.0,0.15599999999999997,0.07799999999999999,-73.24635813143718
fit_quarter,40,0,0,20,1.0866978895066375,0.025,0.0,0.044,0.022,-94.83454246732687
fit_quarter,40,40000,36800,20,0.9855620149853743,0.0125,0.0,0.04,0.02,-95.01978650777497
fit_quarter,40,80000,77600,20,1.0188213747727548,0.0,0.0,0.0445,0.02225,-95.44065732363879
fit_quarter,40,120000,118400,20,0.8711759844359637,0.0125,0.0,0.05800000000000001,0.029000000000000005,-89.33692792448403
fit_quarter,40,160000,160000,20,0.71554215223138,0.025,0.0,0.088,0.044,-83.51603878338564
