target,kind,condition,metric,ci_method,count,mean,std,ci_low,ci_high
agents_6,method,no_direction_check,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,3.005210154801338e-11,5.0439558812537596e-12,2.734994009045977e-11,3.323547400254275e-11
agents_6,paired_ours_minus_comparator,no_direction_check,optimality_gap_per_agent,paired_seed_bootstrap_95_pointwise,10,1.036006095726331e-11,7.446165719881017e-12,6.255525542009367e-12,1.49933843118788e-11
agents_6,method,no_return_check,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,8.385174036599587e-12,1.7441655044021284e-13,8.289028537629878e-12,8.491421454870361e-12
agents_6,paired_ours_minus_comparator,no_return_check,optimality_gap_per_agent,paired_seed_bootstrap_95_pointwise,10,3.2026988468677095e-11,6.974238773224655e-12,2.8180921670302913e-11,3.62670217931201e-11
agents_6,method,fit_quarter,optimality_gap_per_agent,seed_bootstrap_95_pointwise,10,1.7735121519516876e-10,3.198840061334239e-11,1.5962186294959933e-10,1.969768618585258e-10
agents_6,paired_ours_minus_comparator,fit_quarter,optimality_gap_per_agent,paired_seed_bootstrap_95_pointwise,10,-1.369390526898921e-10,2.5089622425130538e-11,-1.522108302361621e-10,-1.2302748727173924e-10
agents_8,method,ours,team_return,seed_bootstrap_95_pointwise,10,3.925331199676703,5.5712229751130805e-11,3.925331199642743,3.9253311997074225
agents_8,method,sampled,team_return,seed_bootstrap_95_pointwise,10,3.9253311996753597,6.516286492486282e-11,3.92533119963636,3.925331199712049
agents_8,paired_ours_minus_comparator,sampled,team_return,paired_seed_bootstrap_95_pointwise,10,1.3424816813767393e-12,1.3901611970808203e-11,-6.239065930557786e-12,9.92986137759999e-12
agents_8,method,pg,team_return,seed_bootstrap_95_pointwise,10,3.922736026141313,0.0001319405356031319,3.922666608294872,3.922818416548451
agents_8,paired_ours_minus_comparator,pg,team_return,paired_seed_bootstrap_95_pointwise,10,0.0025951735353895167,0.00013194053613304542,0.0025127830996077927,0.0026645914017238816
agents_8,method,no_direction_check,team_return,seed_bootstrap_95_pointwise,10,3.925331199759584,4.035171957496084e-11,3.9253311997341163,3.9253311997812004
agents_8,paired_ours_minus_comparator,no_direction_check,team_return,paired_seed_bootstrap_95_pointwise,10,-8.288045805215916e-11,5.956920135842215e-11,-1.1994704118833967e-10,-5.004411662845599e-11
agents_8,method,no_return_check,team_return,seed_bootstrap_95_pointwise,10,3.9253311999329186,1.3953097110598968e-12,3.925331199932068,3.925331199933688
agents_8,paired_ours_minus_comparator,no_return_check,team_return,paired_seed_bootstrap_95_pointwise,10,-2.562158929464431e-10,5.579391601737919e-11,-2.9013615954198715e-10,-2.254473996377016e-10
agents_8,method,fit_quarter,team_return,seed_bootstrap_95_pointwise,10,3.9253311985811905,2.5590727122646027e-10,3.9253311984241854,3.9253311987230246
agents_8,paired_ours_minus_comparator,fit_quarter,team_return,paired_seed_bootstrap_95_pointwise,10,1.0955125695488732e-09,2.0071714146387198e-10,9.842199855114586e-10,1.2176868802171725e-09
agents_8,method,ours,per_agent_return,seed_bootstrap_95_pointwise,10,0.4906663999595879,6.9640287188913506e-12,0.4906663999553429,0.4906663999634278
agents_8,method,sampled,per_agent_return,seed_bootstrap_95_pointwise,10,0.49066639995941996,8.145358115607853e-12,0.490666399954545,0.49066639996400613
agents_8,paired_ours_minus_comparator,sampled,per_agent_return,paired_seed_bootstrap_95_pointwise,10,1.678102101720924e-13,1.7377014963510254e-12,-7.798832413197232e-13,1.2412326721999988e-12
agents_8,method,pg,per_agent_return,seed_bootstrap_95_pointwise,10,0.49034200326766414,1.6492566950391488e-05,0.490333326036859,0.4903523020685564
agents_8,paired_ours_minus_comparator,pg,per_agent_return,paired_seed_bootstrap_95_pointwise,10,0.0003243966919236896,1.6492567016630677e-05,0.0003140978874509741,0.0003330739252154852
agents_8,method,no_direction_check,per_agent_return,seed_bootstrap_95_pointwise,10,0.490666399969948,5.043964946870105e-12,0.49066639996676453,0.49066639997265005
