experiment,method,label,actor_class,sample_episodes,fit_steps,direction_method,smoke_only,metric,mean,std,independent_units,ci95_low,ci95_high,interval_unit,small_sample
P-EA,AN,mc_raw,table,2048,1000,AN,False,old_new_kl,0.00035136186043406873,3.9549398730898055e-05,20,0.0003347712227459944,0.00036859504448586583,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,direction_realization_residual,1.103255139818235e-29,1.2947898468094245e-29,20,6.1414254127708886e-30,1.6883964839626706e-29,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,seconds,0.198758075007936,0.03158909831591399,20,0.185544807639817,0.21287340763010434,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,learned_q_0,0.0699898847449624,0.03371911298896812,20,0.056316260990376996,0.08453654727028094,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,learned_q_1,0.3692935409644048,0.021207155992480905,20,0.360408145998457,0.378259362282867,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,candidate_p_0,0.3029495778800409,0.0014237789279525172,20,0.30237177838707274,0.30356423099676844,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,candidate_p_1,0.7152769566942274,0.0008638936497753849,20,0.7149151238882162,0.7156420536168423,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,source_direction_error,0.0006553232254683497,0.0004983222221628919,20,0.00046233315134882756,0.0008889429804766495,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,source_exact_score,0.06587267677453158,0.000498322222162897,20,0.06563905701952329,0.0660656668486511,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,additional_training_environment_steps,0.0,0.0,20,0.0,0.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,replayed_source_episodes,2048.0,0.0,20,2048.0,2048.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,table,2048,1000,AN,False,report_validation_episodes,500.0,0.0,20,500.0,500.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,source_steps_total,2548.0,0.0,20,2548.0,2548.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,eta,0.10000000000000002,1.4238309865648918e-17,20,0.10000000000000002,0.10000000000000002,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,ideal_return_gain,0.02868671818466374,0.0017334661156398752,20,0.027960674022591375,0.029437710358190376,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,actual_return_gain,0.01267092871773666,1.024041941241176e-09,20,0.012670928269364919,0.012670929153728146,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,learned_direction_derivative,0.27366246459616006,0.015679426830761744,20,0.2670607318741485,0.2804244984776837,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,projected_direction_derivative,0.20125492408355253,0.015091009557275449,20,0.1948872195496864,0.2078765932777091,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,realized_path_derivative,0.12095988240677444,9.352911275910879e-09,20,0.12095987831164812,0.12095988638882783,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,forward_kl_training,0.00013196159669058818,2.454633598654244e-05,20,0.00012137413439711619,0.0001422081197562118,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,forward_kl_validation,0.000131991969241559,2.4204200955938678e-05,20,0.00012154783315153461,0.00014204651282803102,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,forward_kl_exact,0.00013193489301466384,2.4340368804592986e-05,20,0.00012149001823992776,0.00014217709052522312,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,old_new_kl,9.442237890731385e-05,1.459581219749253e-11,20,9.442237251661673e-05,9.44223851215662e-05,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,direction_realization_residual,0.02696641579795859,0.0049947493736760724,20,0.024833403070311365,0.029075552929249238,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,seconds,0.0007230650109704584,0.0002387749567158832,20,0.0006313996425888035,0.0008270062548399437,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,learned_q_0,0.0699898847449624,0.03371911298896812,20,0.056316260990376996,0.08453654727028094,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,learned_q_1,0.3692935409644048,0.021207155992480905,20,0.360408145998457,0.378259362282867,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,candidate_p_0,0.3063375437934156,4.929180237965089e-10,20,0.3063375435775939,0.30633754400327823,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,candidate_p_1,0.7062619525580464,4.812295661263572e-10,20,0.7062619523473423,0.7062619527629325,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,source_direction_error,0.0006553232254683497,0.0004983222221628919,20,0.00046233315134882756,0.0008889429804766495,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,source_exact_score,0.06587267677453158,0.000498322222162897,20,0.06563905701952329,0.0660656668486511,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,additional_training_environment_steps,0.0,0.0,20,0.0,0.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,replayed_source_episodes,2048.0,0.0,20,2048.0,2048.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,1,AN,False,report_validation_episodes,500.0,0.0,20,500.0,500.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,10,AN,False,source_steps_total,2548.0,0.0,20,2548.0,2548.0,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,10,AN,False,eta,0.10000000000000002,1.4238309865648918e-17,20,0.10000000000000002,0.10000000000000002,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,10,AN,False,ideal_return_gain,0.02868671818466374,0.0017334661156398752,20,0.027960674022591375,0.029437710358190376,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,10,AN,False,actual_return_gain,0.013265129148212365,0.00218535810323229,20,0.012376245128938552,0.014259517678253253,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,10,AN,False,learned_direction_derivative,0.27366246459616006,0.015679426830761744,20,0.2670607318741485,0.2804244984776837,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,10,AN,False,projected_direction_derivative,0.20125492408355253,0.015091009557275449,20,0.1948872195496864,0.2078765932777091,training_seed_or_data_batch,False
P-EA,AN,mc_raw,shared_offset,2048,10,AN,False,realized_path_derivative,0.12624364782217307,0.019853082347351832,20,0.11815181465213541,0.13526444300033402,training_seed_or_data_batch,False
